sample_id,drug,response
S0,AZD8055,0
S1,AZD8055,1
S2,AZD8055,0
S3,AZD8055,1
S4,AZD8055,1
S5,AZD8055,1
S6,AZD8055,1
S7,AZD8055,0
S8,AZD8055,0
S9,AZD8055,1
S10,AZD8055,1
S11,AZD8055,0
S12,AZD8055,0
S13,AZD8055,1
S14,AZD8055,0
S15,AZD8055,1
S16,AZD8055,0
S17,AZD8055,1
S18,AZD8055,1
S19,AZD8055,1
S20,AZD8055,0
S21,AZD8055,1
S22,AZD8055,1
S23,AZD8055,1
S24,AZD8055,0
S25,AZD8055,0
S26,AZD8055,1
S27,AZD8055,0
S28,AZD8055,1
S29,AZD8055,1
S30,AZD8055,0
S31,AZD8055,1
S32,AZD8055,1
S33,AZD8055,0
S34,AZD8055,1
S35,AZD8055,0
S36,AZD8055,1
S37,AZD8055,1
S38,AZD8055,0
S39,AZD8055,0
S40,AZD8055,0
S41,AZD8055,1
S42,AZD8055,1
S43,AZD8055,1
S44,AZD8055,1
S45,AZD8055,0
S46,AZD8055,0
S47,AZD8055,1
S48,AZD8055,0
S49,AZD8055,1
S50,AZD8055,0
S51,AZD8055,0
S52,AZD8055,1
S53,AZD8055,0
S54,AZD8055,0
S55,AZD8055,0
S56,AZD8055,0
S57,AZD8055,1
S58,AZD8055,0
S59,AZD8055,1
S60,AZD8055,0
S61,AZD8055,1
S62,AZD8055,1
S63,AZD8055,1
S64,AZD8055,0
S65,AZD8055,0
S66,AZD8055,0
S67,AZD8055,0
S68,AZD8055,1
S69,AZD8055,1
S70,AZD8055,1
S71,AZD8055,0
S72,AZD8055,0
S73,AZD8055,1
S74,AZD8055,0
S75,AZD8055,1
S76,AZD8055,1
S77,AZD8055,1
S78,AZD8055,0
S79,AZD8055,0
S80,AZD8055,1
S81,AZD8055,1
S82,AZD8055,1
S83,AZD8055,0
S84,AZD8055,0
S85,AZD8055,1
S86,AZD8055,0
S87,AZD8055,1
S88,AZD8055,0
S89,AZD8055,0
S90,AZD8055,1
S91,AZD8055,1
S92,AZD8055,1
S93,AZD8055,1
S94,AZD8055,1
S95,AZD8055,0
S96,AZD8055,1
S97,AZD8055,1
S98,AZD8055,0
S99,AZD8055,0
S100,AZD8055,0
S101,AZD8055,1
S102,AZD8055,1
S103,AZD8055,1
S104,AZD8055,1
S105,AZD8055,1
S106,AZD8055,0
S107,AZD8055,0
S108,AZD8055,1
S109,AZD8055,1
S110,AZD8055,0
S111,AZD8055,1
S112,AZD8055,1
S113,AZD8055,0
S114,AZD8055,0
S115,AZD8055,0
S116,AZD8055,1
S117,AZD8055,1
S118,AZD8055,1
S119,AZD8055,1
