sample_id,drug,response
S0,Afatinib,1
S1,Afatinib,0
S2,Afatinib,1
S3,Afatinib,1
S4,Afatinib,1
S5,Afatinib,0
S6,Afatinib,1
S7,Afatinib,0
S8,Afatinib,0
S9,Afatinib,0
S10,Afatinib,1
S11,Afatinib,0
S12,Afatinib,0
S13,Afatinib,0
S14,Afatinib,0
S15,Afatinib,1
S16,Afatinib,1
S17,Afatinib,0
S18,Afatinib,0
S19,Afatinib,1
S20,Afatinib,0
S21,Afatinib,1
S22,Afatinib,1
S23,Afatinib,1
S24,Afatinib,0
S25,Afatinib,0
S26,Afatinib,1
S27,Afatinib,1
S28,Afatinib,1
S29,Afatinib,0
S30,Afatinib,1
S31,Afatinib,1
S32,Afatinib,1
S33,Afatinib,1
S34,Afatinib,1
S35,Afatinib,1
S36,Afatinib,1
S37,Afatinib,1
S38,Afatinib,1
S39,Afatinib,1
S40,Afatinib,1
S41,Afatinib,1
S42,Afatinib,0
S43,Afatinib,1
S44,Afatinib,0
S45,Afatinib,1
S46,Afatinib,0
S47,Afatinib,1
S48,Afatinib,0
S49,Afatinib,0
S50,Afatinib,1
S51,Afatinib,1
S52,Afatinib,1
S53,Afatinib,0
S54,Afatinib,1
S55,Afatinib,0
S56,Afatinib,1
S57,Afatinib,1
S58,Afatinib,0
S59,Afatinib,1
S60,Afatinib,0
S61,Afatinib,0
S62,Afatinib,1
S63,Afatinib,1
S64,Afatinib,0
S65,Afatinib,0
S66,Afatinib,0
S67,Afatinib,0
S68,Afatinib,1
S69,Afatinib,1
S70,Afatinib,1
S71,Afatinib,1
S72,Afatinib,1
S73,Afatinib,1
S74,Afatinib,0
S75,Afatinib,0
S76,Afatinib,1
S77,Afatinib,0
S78,Afatinib,0
S79,Afatinib,1
S80,Afatinib,1
S81,Afatinib,1
S82,Afatinib,1
S83,Afatinib,1
S84,Afatinib,1
S85,Afatinib,1
S86,Afatinib,0
S87,Afatinib,0
S88,Afatinib,1
S89,Afatinib,0
S90,Afatinib,0
S91,Afatinib,1
S92,Afatinib,0
S93,Afatinib,1
S94,Afatinib,0
S95,Afatinib,1
S96,Afatinib,1
S97,Afatinib,1
S98,Afatinib,1
S99,Afatinib,0
S100,Afatinib,1
S101,Afatinib,0
S102,Afatinib,1
S103,Afatinib,0
S104,Afatinib,1
S105,Afatinib,0
S106,Afatinib,0
S107,Afatinib,1
S108,Afatinib,0
S109,Afatinib,0
S110,Afatinib,0
S111,Afatinib,0
S112,Afatinib,0
S113,Afatinib,0
S114,Afatinib,0
S115,Afatinib,1
S116,Afatinib,1
S117,Afatinib,0
S118,Afatinib,0
S119,Afatinib,1
