sample_id,drug,response
S0,BI-2536,1
S1,BI-2536,0
S2,BI-2536,1
S3,BI-2536,1
S4,BI-2536,0
S5,BI-2536,1
S6,BI-2536,0
S7,BI-2536,1
S8,BI-2536,1
S9,BI-2536,1
S10,BI-2536,1
S11,BI-2536,0
S12,BI-2536,1
S13,BI-2536,1
S14,BI-2536,0
S15,BI-2536,0
S16,BI-2536,1
S17,BI-2536,0
S18,BI-2536,1
S19,BI-2536,0
S20,BI-2536,1
S21,BI-2536,1
S22,BI-2536,1
S23,BI-2536,1
S24,BI-2536,0
S25,BI-2536,1
S26,BI-2536,1
S27,BI-2536,1
S28,BI-2536,1
S29,BI-2536,1
S30,BI-2536,1
S31,BI-2536,1
S32,BI-2536,0
S33,BI-2536,0
S34,BI-2536,0
S35,BI-2536,1
S36,BI-2536,1
S37,BI-2536,0
S38,BI-2536,0
S39,BI-2536,1
S40,BI-2536,1
S41,BI-2536,1
S42,BI-2536,1
S43,BI-2536,1
S44,BI-2536,1
S45,BI-2536,1
S46,BI-2536,1
S47,BI-2536,0
S48,BI-2536,0
S49,BI-2536,1
S50,BI-2536,1
S51,BI-2536,0
S52,BI-2536,0
S53,BI-2536,0
S54,BI-2536,0
S55,BI-2536,0
S56,BI-2536,0
S57,BI-2536,1
S58,BI-2536,1
S59,BI-2536,0
S60,BI-2536,0
S61,BI-2536,0
S62,BI-2536,0
S63,BI-2536,0
S64,BI-2536,1
S65,BI-2536,0
S66,BI-2536,1
S67,BI-2536,1
S68,BI-2536,0
S69,BI-2536,1
S70,BI-2536,0
S71,BI-2536,0
S72,BI-2536,1
S73,BI-2536,1
S74,BI-2536,1
S75,BI-2536,1
S76,BI-2536,0
S77,BI-2536,0
S78,BI-2536,0
S79,BI-2536,1
S80,BI-2536,1
S81,BI-2536,0
S82,BI-2536,0
S83,BI-2536,1
S84,BI-2536,1
S85,BI-2536,1
S86,BI-2536,1
S87,BI-2536,1
S88,BI-2536,0
S89,BI-2536,1
S90,BI-2536,0
S91,BI-2536,0
S92,BI-2536,1
S93,BI-2536,0
S94,BI-2536,1
S95,BI-2536,0
S96,BI-2536,0
S97,BI-2536,1
S98,BI-2536,0
S99,BI-2536,0
S100,BI-2536,1
S101,BI-2536,1
S102,BI-2536,1
S103,BI-2536,1
S104,BI-2536,1
S105,BI-2536,1
S106,BI-2536,0
S107,BI-2536,0
S108,BI-2536,1
S109,BI-2536,1
S110,BI-2536,0
S111,BI-2536,0
S112,BI-2536,0
S113,BI-2536,1
S114,BI-2536,0
S115,BI-2536,0
S116,BI-2536,0
S117,BI-2536,1
S118,BI-2536,0
S119,BI-2536,1
