sample_id,drug,response
S0,BMS-754807,1
S1,BMS-754807,1
S2,BMS-754807,1
S3,BMS-754807,1
S4,BMS-754807,1
S5,BMS-754807,1
S6,BMS-754807,1
S7,BMS-754807,1
S8,BMS-754807,0
S9,BMS-754807,0
S10,BMS-754807,0
S11,BMS-754807,0
S12,BMS-754807,1
S13,BMS-754807,1
S14,BMS-754807,1
S15,BMS-754807,0
S16,BMS-754807,1
S17,BMS-754807,0
S18,BMS-754807,1
S19,BMS-754807,1
S20,BMS-754807,1
S21,BMS-754807,0
S22,BMS-754807,1
S23,BMS-754807,0
S24,BMS-754807,1
S25,BMS-754807,0
S26,BMS-754807,1
S27,BMS-754807,1
S28,BMS-754807,1
S29,BMS-754807,1
S30,BMS-754807,1
S31,BMS-754807,0
S32,BMS-754807,0
S33,BMS-754807,1
S34,BMS-754807,0
S35,BMS-754807,0
S36,BMS-754807,1
S37,BMS-754807,1
S38,BMS-754807,0
S39,BMS-754807,1
S40,BMS-754807,0
S41,BMS-754807,0
S42,BMS-754807,0
S43,BMS-754807,1
S44,BMS-754807,0
S45,BMS-754807,1
S46,BMS-754807,0
S47,BMS-754807,0
S48,BMS-754807,1
S49,BMS-754807,1
S50,BMS-754807,1
S51,BMS-754807,1
S52,BMS-754807,1
S53,BMS-754807,1
S54,BMS-754807,1
S55,BMS-754807,1
S56,BMS-754807,1
S57,BMS-754807,1
S58,BMS-754807,0
S59,BMS-754807,0
S60,BMS-754807,1
S61,BMS-754807,1
S62,BMS-754807,0
S63,BMS-754807,0
S64,BMS-754807,1
S65,BMS-754807,0
S66,BMS-754807,0
S67,BMS-754807,1
S68,BMS-754807,0
S69,BMS-754807,1
S70,BMS-754807,1
S71,BMS-754807,1
S72,BMS-754807,0
S73,BMS-754807,0
S74,BMS-754807,0
S75,BMS-754807,1
S76,BMS-754807,0
S77,BMS-754807,1
S78,BMS-754807,1
S79,BMS-754807,0
S80,BMS-754807,0
S81,BMS-754807,0
S82,BMS-754807,1
S83,BMS-754807,0
S84,BMS-754807,1
S85,BMS-754807,0
S86,BMS-754807,0
S87,BMS-754807,0
S88,BMS-754807,1
S89,BMS-754807,1
S90,BMS-754807,1
S91,BMS-754807,1
S92,BMS-754807,0
S93,BMS-754807,1
S94,BMS-754807,0
S95,BMS-754807,1
S96,BMS-754807,1
S97,BMS-754807,0
S98,BMS-754807,1
S99,BMS-754807,1
S100,BMS-754807,1
S101,BMS-754807,1
S102,BMS-754807,0
S103,BMS-754807,0
S104,BMS-754807,0
S105,BMS-754807,0
S106,BMS-754807,1
S107,BMS-754807,1
S108,BMS-754807,1
S109,BMS-754807,0
S110,BMS-754807,0
S111,BMS-754807,0
S112,BMS-754807,0
S113,BMS-754807,1
S114,BMS-754807,0
S115,BMS-754807,0
S116,BMS-754807,1
S117,BMS-754807,1
S118,BMS-754807,0
S119,BMS-754807,0
