sample_id,drug,response
S0,Cetuximab,1
S1,Cetuximab,1
S2,Cetuximab,1
S3,Cetuximab,0
S4,Cetuximab,1
S5,Cetuximab,1
S6,Cetuximab,1
S7,Cetuximab,0
S8,Cetuximab,1
S9,Cetuximab,1
S10,Cetuximab,1
S11,Cetuximab,0
S12,Cetuximab,1
S13,Cetuximab,1
S14,Cetuximab,0
S15,Cetuximab,0
S16,Cetuximab,0
S17,Cetuximab,1
S18,Cetuximab,1
S19,Cetuximab,1
S20,Cetuximab,1
S21,Cetuximab,1
S22,Cetuximab,0
S23,Cetuximab,0
S24,Cetuximab,1
S25,Cetuximab,0
S26,Cetuximab,1
S27,Cetuximab,1
S28,Cetuximab,1
S29,Cetuximab,1
S30,Cetuximab,1
S31,Cetuximab,0
S32,Cetuximab,1
S33,Cetuximab,1
S34,Cetuximab,1
S35,Cetuximab,0
S36,Cetuximab,0
S37,Cetuximab,0
S38,Cetuximab,0
S39,Cetuximab,1
S40,Cetuximab,1
S41,Cetuximab,1
S42,Cetuximab,1
S43,Cetuximab,1
S44,Cetuximab,0
S45,Cetuximab,0
S46,Cetuximab,0
S47,Cetuximab,1
S48,Cetuximab,1
S49,Cetuximab,0
S50,Cetuximab,1
S51,Cetuximab,1
S52,Cetuximab,0
S53,Cetuximab,1
S54,Cetuximab,1
S55,Cetuximab,0
S56,Cetuximab,1
S57,Cetuximab,0
S58,Cetuximab,0
S59,Cetuximab,0
S60,Cetuximab,0
S61,Cetuximab,1
S62,Cetuximab,1
S63,Cetuximab,0
S64,Cetuximab,1
S65,Cetuximab,1
S66,Cetuximab,0
S67,Cetuximab,0
S68,Cetuximab,1
S69,Cetuximab,1
S70,Cetuximab,0
S71,Cetuximab,1
S72,Cetuximab,0
S73,Cetuximab,0
S74,Cetuximab,0
S75,Cetuximab,0
S76,Cetuximab,1
S77,Cetuximab,0
S78,Cetuximab,1
S79,Cetuximab,1
S80,Cetuximab,0
S81,Cetuximab,0
S82,Cetuximab,1
S83,Cetuximab,1
S84,Cetuximab,0
S85,Cetuximab,0
S86,Cetuximab,0
S87,Cetuximab,0
S88,Cetuximab,0
S89,Cetuximab,0
S90,Cetuximab,0
S91,Cetuximab,0
S92,Cetuximab,1
S93,Cetuximab,1
S94,Cetuximab,0
S95,Cetuximab,0
S96,Cetuximab,1
S97,Cetuximab,1
S98,Cetuximab,0
S99,Cetuximab,1
S100,Cetuximab,1
S101,Cetuximab,1
S102,Cetuximab,0
S103,Cetuximab,1
S104,Cetuximab,1
S105,Cetuximab,0
S106,Cetuximab,1
S107,Cetuximab,0
S108,Cetuximab,1
S109,Cetuximab,0
S110,Cetuximab,1
S111,Cetuximab,0
S112,Cetuximab,1
S113,Cetuximab,1
S114,Cetuximab,0
S115,Cetuximab,1
S116,Cetuximab,0
S117,Cetuximab,1
S118,Cetuximab,1
S119,Cetuximab,1
