sample_id,drug,response
S0,Cisplatin,0
S1,Cisplatin,1
S2,Cisplatin,0
S3,Cisplatin,1
S4,Cisplatin,1
S5,Cisplatin,0
S6,Cisplatin,1
S7,Cisplatin,1
S8,Cisplatin,1
S9,Cisplatin,1
S10,Cisplatin,0
S11,Cisplatin,1
S12,Cisplatin,1
S13,Cisplatin,0
S14,Cisplatin,1
S15,Cisplatin,0
S16,Cisplatin,1
S17,Cisplatin,1
S18,Cisplatin,1
S19,Cisplatin,0
S20,Cisplatin,1
S21,Cisplatin,1
S22,Cisplatin,0
S23,Cisplatin,0
S24,Cisplatin,0
S25,Cisplatin,1
S26,Cisplatin,1
S27,Cisplatin,1
S28,Cisplatin,1
S29,Cisplatin,1
S30,Cisplatin,1
S31,Cisplatin,1
S32,Cisplatin,0
S33,Cisplatin,1
S34,Cisplatin,1
S35,Cisplatin,0
S36,Cisplatin,0
S37,Cisplatin,1
S38,Cisplatin,0
S39,Cisplatin,0
S40,Cisplatin,1
S41,Cisplatin,0
S42,Cisplatin,0
S43,Cisplatin,0
S44,Cisplatin,0
S45,Cisplatin,0
S46,Cisplatin,0
S47,Cisplatin,1
S48,Cisplatin,1
S49,Cisplatin,1
S50,Cisplatin,0
S51,Cisplatin,1
S52,Cisplatin,1
S53,Cisplatin,1
S54,Cisplatin,1
S55,Cisplatin,0
S56,Cisplatin,0
S57,Cisplatin,1
S58,Cisplatin,1
S59,Cisplatin,1
S60,Cisplatin,0
S61,Cisplatin,1
S62,Cisplatin,1
S63,Cisplatin,0
S64,Cisplatin,1
S65,Cisplatin,1
S66,Cisplatin,0
S67,Cisplatin,1
S68,Cisplatin,1
S69,Cisplatin,0
S70,Cisplatin,0
S71,Cisplatin,0
S72,Cisplatin,1
S73,Cisplatin,1
S74,Cisplatin,0
S75,Cisplatin,1
S76,Cisplatin,0
S77,Cisplatin,1
S78,Cisplatin,1
S79,Cisplatin,0
S80,Cisplatin,0
S81,Cisplatin,1
S82,Cisplatin,0
S83,Cisplatin,1
S84,Cisplatin,0
S85,Cisplatin,0
S86,Cisplatin,1
S87,Cisplatin,1
S88,Cisplatin,1
S89,Cisplatin,0
S90,Cisplatin,0
S91,Cisplatin,0
S92,Cisplatin,0
S93,Cisplatin,1
S94,Cisplatin,0
S95,Cisplatin,1
S96,Cisplatin,0
S97,Cisplatin,0
S98,Cisplatin,0
S99,Cisplatin,1
S100,Cisplatin,0
S101,Cisplatin,0
S102,Cisplatin,0
S103,Cisplatin,1
S104,Cisplatin,0
S105,Cisplatin,0
S106,Cisplatin,1
S107,Cisplatin,0
S108,Cisplatin,1
S109,Cisplatin,1
S110,Cisplatin,1
S111,Cisplatin,1
S112,Cisplatin,1
S113,Cisplatin,1
S114,Cisplatin,1
S115,Cisplatin,0
S116,Cisplatin,0
S117,Cisplatin,1
S118,Cisplatin,1
S119,Cisplatin,1
