sample_id,drug,response
S0,Crizotinib,1
S1,Crizotinib,0
S2,Crizotinib,1
S3,Crizotinib,0
S4,Crizotinib,1
S5,Crizotinib,0
S6,Crizotinib,1
S7,Crizotinib,0
S8,Crizotinib,1
S9,Crizotinib,1
S10,Crizotinib,1
S11,Crizotinib,0
S12,Crizotinib,1
S13,Crizotinib,0
S14,Crizotinib,1
S15,Crizotinib,0
S16,Crizotinib,0
S17,Crizotinib,0
S18,Crizotinib,1
S19,Crizotinib,1
S20,Crizotinib,0
S21,Crizotinib,0
S22,Crizotinib,1
S23,Crizotinib,0
S24,Crizotinib,0
S25,Crizotinib,1
S26,Crizotinib,1
S27,Crizotinib,1
S28,Crizotinib,1
S29,Crizotinib,1
S30,Crizotinib,0
S31,Crizotinib,0
S32,Crizotinib,1
S33,Crizotinib,0
S34,Crizotinib,1
S35,Crizotinib,1
S36,Crizotinib,0
S37,Crizotinib,0
S38,Crizotinib,0
S39,Crizotinib,0
S40,Crizotinib,0
S41,Crizotinib,1
S42,Crizotinib,0
S43,Crizotinib,0
S44,Crizotinib,0
S45,Crizotinib,0
S46,Crizotinib,0
S47,Crizotinib,0
S48,Crizotinib,1
S49,Crizotinib,1
S50,Crizotinib,1
S51,Crizotinib,1
S52,Crizotinib,0
S53,Crizotinib,1
S54,Crizotinib,1
S55,Crizotinib,1
S56,Crizotinib,1
S57,Crizotinib,1
S58,Crizotinib,1
S59,Crizotinib,1
S60,Crizotinib,0
S61,Crizotinib,0
S62,Crizotinib,0
S63,Crizotinib,1
S64,Crizotinib,1
S65,Crizotinib,0
S66,Crizotinib,0
S67,Crizotinib,0
S68,Crizotinib,1
S69,Crizotinib,0
S70,Crizotinib,0
S71,Crizotinib,1
S72,Crizotinib,0
S73,Crizotinib,0
S74,Crizotinib,1
S75,Crizotinib,1
S76,Crizotinib,0
S77,Crizotinib,0
S78,Crizotinib,0
S79,Crizotinib,1
S80,Crizotinib,1
S81,Crizotinib,1
S82,Crizotinib,1
S83,Crizotinib,1
S84,Crizotinib,0
S85,Crizotinib,1
S86,Crizotinib,1
S87,Crizotinib,0
S88,Crizotinib,1
S89,Crizotinib,1
S90,Crizotinib,1
S91,Crizotinib,0
S92,Crizotinib,1
S93,Crizotinib,1
S94,Crizotinib,0
S95,Crizotinib,1
S96,Crizotinib,0
S97,Crizotinib,0
S98,Crizotinib,1
S99,Crizotinib,1
S100,Crizotinib,0
S101,Crizotinib,0
S102,Crizotinib,1
S103,Crizotinib,1
S104,Crizotinib,0
S105,Crizotinib,1
S106,Crizotinib,1
S107,Crizotinib,1
S108,Crizotinib,0
S109,Crizotinib,0
S110,Crizotinib,1
S111,Crizotinib,1
S112,Crizotinib,0
S113,Crizotinib,1
S114,Crizotinib,1
S115,Crizotinib,1
S116,Crizotinib,1
S117,Crizotinib,1
S118,Crizotinib,1
S119,Crizotinib,1
