sample_id,drug,response
S0,Dabrafenib,1
S1,Dabrafenib,0
S2,Dabrafenib,1
S3,Dabrafenib,0
S4,Dabrafenib,1
S5,Dabrafenib,0
S6,Dabrafenib,1
S7,Dabrafenib,1
S8,Dabrafenib,0
S9,Dabrafenib,0
S10,Dabrafenib,0
S11,Dabrafenib,0
S12,Dabrafenib,0
S13,Dabrafenib,0
S14,Dabrafenib,1
S15,Dabrafenib,0
S16,Dabrafenib,1
S17,Dabrafenib,1
S18,Dabrafenib,1
S19,Dabrafenib,1
S20,Dabrafenib,0
S21,Dabrafenib,1
S22,Dabrafenib,0
S23,Dabrafenib,1
S24,Dabrafenib,1
S25,Dabrafenib,0
S26,Dabrafenib,1
S27,Dabrafenib,0
S28,Dabrafenib,0
S29,Dabrafenib,1
S30,Dabrafenib,1
S31,Dabrafenib,0
S32,Dabrafenib,0
S33,Dabrafenib,1
S34,Dabrafenib,1
S35,Dabrafenib,1
S36,Dabrafenib,0
S37,Dabrafenib,1
S38,Dabrafenib,1
S39,Dabrafenib,0
S40,Dabrafenib,1
S41,Dabrafenib,1
S42,Dabrafenib,0
S43,Dabrafenib,0
S44,Dabrafenib,1
S45,Dabrafenib,1
S46,Dabrafenib,0
S47,Dabrafenib,1
S48,Dabrafenib,0
S49,Dabrafenib,0
S50,Dabrafenib,1
S51,Dabrafenib,1
S52,Dabrafenib,1
S53,Dabrafenib,1
S54,Dabrafenib,0
S55,Dabrafenib,1
S56,Dabrafenib,1
S57,Dabrafenib,1
S58,Dabrafenib,0
S59,Dabrafenib,0
S60,Dabrafenib,0
S61,Dabrafenib,1
S62,Dabrafenib,0
S63,Dabrafenib,0
S64,Dabrafenib,0
S65,Dabrafenib,1
S66,Dabrafenib,1
S67,Dabrafenib,0
S68,Dabrafenib,1
S69,Dabrafenib,1
S70,Dabrafenib,1
S71,Dabrafenib,0
S72,Dabrafenib,0
S73,Dabrafenib,0
S74,Dabrafenib,1
S75,Dabrafenib,0
S76,Dabrafenib,1
S77,Dabrafenib,0
S78,Dabrafenib,0
S79,Dabrafenib,0
S80,Dabrafenib,1
S81,Dabrafenib,1
S82,Dabrafenib,1
S83,Dabrafenib,1
S84,Dabrafenib,0
S85,Dabrafenib,0
S86,Dabrafenib,1
S87,Dabrafenib,0
S88,Dabrafenib,0
S89,Dabrafenib,0
S90,Dabrafenib,0
S91,Dabrafenib,1
S92,Dabrafenib,1
S93,Dabrafenib,1
S94,Dabrafenib,0
S95,Dabrafenib,1
S96,Dabrafenib,1
S97,Dabrafenib,0
S98,Dabrafenib,1
S99,Dabrafenib,1
S100,Dabrafenib,1
S101,Dabrafenib,1
S102,Dabrafenib,1
S103,Dabrafenib,1
S104,Dabrafenib,0
S105,Dabrafenib,0
S106,Dabrafenib,1
S107,Dabrafenib,1
S108,Dabrafenib,1
S109,Dabrafenib,0
S110,Dabrafenib,0
S111,Dabrafenib,1
S112,Dabrafenib,1
S113,Dabrafenib,1
S114,Dabrafenib,1
S115,Dabrafenib,1
S116,Dabrafenib,0
S117,Dabrafenib,1
S118,Dabrafenib,0
S119,Dabrafenib,1
