sample_id,drug,response
S0,Docetaxel,1
S1,Docetaxel,0
S2,Docetaxel,1
S3,Docetaxel,1
S4,Docetaxel,0
S5,Docetaxel,1
S6,Docetaxel,0
S7,Docetaxel,1
S8,Docetaxel,0
S9,Docetaxel,0
S10,Docetaxel,0
S11,Docetaxel,0
S12,Docetaxel,0
S13,Docetaxel,0
S14,Docetaxel,0
S15,Docetaxel,1
S16,Docetaxel,1
S17,Docetaxel,0
S18,Docetaxel,0
S19,Docetaxel,1
S20,Docetaxel,0
S21,Docetaxel,0
S22,Docetaxel,0
S23,Docetaxel,0
S24,Docetaxel,0
S25,Docetaxel,1
S26,Docetaxel,1
S27,Docetaxel,1
S28,Docetaxel,1
S29,Docetaxel,0
S30,Docetaxel,1
S31,Docetaxel,1
S32,Docetaxel,1
S33,Docetaxel,1
S34,Docetaxel,0
S35,Docetaxel,1
S36,Docetaxel,0
S37,Docetaxel,0
S38,Docetaxel,0
S39,Docetaxel,0
S40,Docetaxel,0
S41,Docetaxel,1
S42,Docetaxel,1
S43,Docetaxel,1
S44,Docetaxel,1
S45,Docetaxel,0
S46,Docetaxel,1
S47,Docetaxel,1
S48,Docetaxel,0
S49,Docetaxel,0
S50,Docetaxel,1
S51,Docetaxel,1
S52,Docetaxel,0
S53,Docetaxel,1
S54,Docetaxel,1
S55,Docetaxel,1
S56,Docetaxel,1
S57,Docetaxel,0
S58,Docetaxel,1
S59,Docetaxel,1
S60,Docetaxel,0
S61,Docetaxel,1
S62,Docetaxel,1
S63,Docetaxel,0
S64,Docetaxel,1
S65,Docetaxel,0
S66,Docetaxel,0
S67,Docetaxel,1
S68,Docetaxel,1
S69,Docetaxel,1
S70,Docetaxel,0
S71,Docetaxel,1
S72,Docetaxel,0
S73,Docetaxel,1
S74,Docetaxel,1
S75,Docetaxel,1
S76,Docetaxel,1
S77,Docetaxel,0
S78,Docetaxel,1
S79,Docetaxel,0
S80,Docetaxel,0
S81,Docetaxel,0
S82,Docetaxel,1
S83,Docetaxel,1
S84,Docetaxel,1
S85,Docetaxel,1
S86,Docetaxel,1
S87,Docetaxel,1
S88,Docetaxel,1
S89,Docetaxel,0
S90,Docetaxel,1
S91,Docetaxel,1
S92,Docetaxel,1
S93,Docetaxel,1
S94,Docetaxel,1
S95,Docetaxel,1
S96,Docetaxel,0
S97,Docetaxel,1
S98,Docetaxel,1
S99,Docetaxel,1
S100,Docetaxel,0
S101,Docetaxel,0
S102,Docetaxel,0
S103,Docetaxel,0
S104,Docetaxel,0
S105,Docetaxel,1
S106,Docetaxel,0
S107,Docetaxel,0
S108,Docetaxel,0
S109,Docetaxel,1
S110,Docetaxel,1
S111,Docetaxel,0
S112,Docetaxel,0
S113,Docetaxel,0
S114,Docetaxel,1
S115,Docetaxel,1
S116,Docetaxel,1
S117,Docetaxel,1
S118,Docetaxel,1
S119,Docetaxel,0
