sample_id,drug,response
S0,Doxorubicin,1
S1,Doxorubicin,1
S2,Doxorubicin,1
S3,Doxorubicin,1
S4,Doxorubicin,0
S5,Doxorubicin,1
S6,Doxorubicin,1
S7,Doxorubicin,0
S8,Doxorubicin,0
S9,Doxorubicin,0
S10,Doxorubicin,1
S11,Doxorubicin,1
S12,Doxorubicin,1
S13,Doxorubicin,1
S14,Doxorubicin,1
S15,Doxorubicin,1
S16,Doxorubicin,1
S17,Doxorubicin,0
S18,Doxorubicin,0
S19,Doxorubicin,1
S20,Doxorubicin,0
S21,Doxorubicin,1
S22,Doxorubicin,0
S23,Doxorubicin,1
S24,Doxorubicin,1
S25,Doxorubicin,1
S26,Doxorubicin,1
S27,Doxorubicin,0
S28,Doxorubicin,1
S29,Doxorubicin,1
S30,Doxorubicin,0
S31,Doxorubicin,1
S32,Doxorubicin,0
S33,Doxorubicin,0
S34,Doxorubicin,0
S35,Doxorubicin,0
S36,Doxorubicin,0
S37,Doxorubicin,1
S38,Doxorubicin,1
S39,Doxorubicin,1
S40,Doxorubicin,0
S41,Doxorubicin,0
S42,Doxorubicin,0
S43,Doxorubicin,0
S44,Doxorubicin,0
S45,Doxorubicin,0
S46,Doxorubicin,0
S47,Doxorubicin,1
S48,Doxorubicin,0
S49,Doxorubicin,0
S50,Doxorubicin,1
S51,Doxorubicin,0
S52,Doxorubicin,1
S53,Doxorubicin,1
S54,Doxorubicin,0
S55,Doxorubicin,1
S56,Doxorubicin,1
S57,Doxorubicin,1
S58,Doxorubicin,1
S59,Doxorubicin,0
S60,Doxorubicin,0
S61,Doxorubicin,0
S62,Doxorubicin,1
S63,Doxorubicin,1
S64,Doxorubicin,0
S65,Doxorubicin,1
S66,Doxorubicin,1
S67,Doxorubicin,1
S68,Doxorubicin,1
S69,Doxorubicin,0
S70,Doxorubicin,1
S71,Doxorubicin,0
S72,Doxorubicin,1
S73,Doxorubicin,0
S74,Doxorubicin,0
S75,Doxorubicin,0
S76,Doxorubicin,1
S77,Doxorubicin,1
S78,Doxorubicin,1
S79,Doxorubicin,0
S80,Doxorubicin,0
S81,Doxorubicin,1
S82,Doxorubicin,1
S83,Doxorubicin,1
S84,Doxorubicin,0
S85,Doxorubicin,0
S86,Doxorubicin,0
S87,Doxorubicin,0
S88,Doxorubicin,0
S89,Doxorubicin,0
S90,Doxorubicin,0
S91,Doxorubicin,1
S92,Doxorubicin,1
S93,Doxorubicin,0
S94,Doxorubicin,0
S95,Doxorubicin,0
S96,Doxorubicin,0
S97,Doxorubicin,1
S98,Doxorubicin,1
S99,Doxorubicin,1
S100,Doxorubicin,0
S101,Doxorubicin,0
S102,Doxorubicin,1
S103,Doxorubicin,1
S104,Doxorubicin,0
S105,Doxorubicin,1
S106,Doxorubicin,1
S107,Doxorubicin,1
S108,Doxorubicin,1
S109,Doxorubicin,1
S110,Doxorubicin,0
S111,Doxorubicin,1
S112,Doxorubicin,1
S113,Doxorubicin,0
S114,Doxorubicin,1
S115,Doxorubicin,1
S116,Doxorubicin,1
S117,Doxorubicin,1
S118,Doxorubicin,1
S119,Doxorubicin,1
