sample_id,drug,response
S0,EX-527,0
S1,EX-527,1
S2,EX-527,1
S3,EX-527,0
S4,EX-527,1
S5,EX-527,1
S6,EX-527,1
S7,EX-527,1
S8,EX-527,1
S9,EX-527,1
S10,EX-527,0
S11,EX-527,0
S12,EX-527,0
S13,EX-527,0
S14,EX-527,0
S15,EX-527,0
S16,EX-527,0
S17,EX-527,1
S18,EX-527,0
S19,EX-527,0
S20,EX-527,1
S21,EX-527,0
S22,EX-527,1
S23,EX-527,1
S24,EX-527,1
S25,EX-527,1
S26,EX-527,1
S27,EX-527,1
S28,EX-527,1
S29,EX-527,1
S30,EX-527,1
S31,EX-527,0
S32,EX-527,1
S33,EX-527,1
S34,EX-527,0
S35,EX-527,1
S36,EX-527,1
S37,EX-527,1
S38,EX-527,1
S39,EX-527,1
S40,EX-527,0
S41,EX-527,0
S42,EX-527,0
S43,EX-527,0
S44,EX-527,0
S45,EX-527,1
S46,EX-527,0
S47,EX-527,0
S48,EX-527,1
S49,EX-527,1
S50,EX-527,1
S51,EX-527,1
S52,EX-527,0
S53,EX-527,1
S54,EX-527,0
S55,EX-527,0
S56,EX-527,0
S57,EX-527,1
S58,EX-527,0
S59,EX-527,1
S60,EX-527,1
S61,EX-527,1
S62,EX-527,1
S63,EX-527,0
S64,EX-527,1
S65,EX-527,1
S66,EX-527,0
S67,EX-527,0
S68,EX-527,0
S69,EX-527,0
S70,EX-527,1
S71,EX-527,0
S72,EX-527,0
S73,EX-527,1
S74,EX-527,1
S75,EX-527,1
S76,EX-527,0
S77,EX-527,0
S78,EX-527,1
S79,EX-527,0
S80,EX-527,1
S81,EX-527,1
S82,EX-527,1
S83,EX-527,0
S84,EX-527,1
S85,EX-527,0
S86,EX-527,0
S87,EX-527,1
S88,EX-527,1
S89,EX-527,1
S90,EX-527,0
S91,EX-527,0
S92,EX-527,1
S93,EX-527,1
S94,EX-527,0
S95,EX-527,1
S96,EX-527,1
S97,EX-527,0
S98,EX-527,0
S99,EX-527,1
S100,EX-527,0
S101,EX-527,0
S102,EX-527,0
S103,EX-527,0
S104,EX-527,1
S105,EX-527,1
S106,EX-527,0
S107,EX-527,1
S108,EX-527,1
S109,EX-527,1
S110,EX-527,1
S111,EX-527,0
S112,EX-527,0
S113,EX-527,1
S114,EX-527,1
S115,EX-527,0
S116,EX-527,1
S117,EX-527,1
S118,EX-527,1
S119,EX-527,0
