sample_id,drug,response
S0,Etoposide,1
S1,Etoposide,1
S2,Etoposide,1
S3,Etoposide,1
S4,Etoposide,0
S5,Etoposide,1
S6,Etoposide,1
S7,Etoposide,1
S8,Etoposide,1
S9,Etoposide,0
S10,Etoposide,0
S11,Etoposide,1
S12,Etoposide,0
S13,Etoposide,1
S14,Etoposide,0
S15,Etoposide,1
S16,Etoposide,1
S17,Etoposide,1
S18,Etoposide,0
S19,Etoposide,0
S20,Etoposide,1
S21,Etoposide,1
S22,Etoposide,1
S23,Etoposide,0
S24,Etoposide,0
S25,Etoposide,0
S26,Etoposide,1
S27,Etoposide,1
S28,Etoposide,1
S29,Etoposide,1
S30,Etoposide,0
S31,Etoposide,0
S32,Etoposide,0
S33,Etoposide,1
S34,Etoposide,0
S35,Etoposide,1
S36,Etoposide,0
S37,Etoposide,1
S38,Etoposide,1
S39,Etoposide,0
S40,Etoposide,0
S41,Etoposide,1
S42,Etoposide,1
S43,Etoposide,0
S44,Etoposide,1
S45,Etoposide,1
S46,Etoposide,0
S47,Etoposide,1
S48,Etoposide,0
S49,Etoposide,0
S50,Etoposide,1
S51,Etoposide,1
S52,Etoposide,1
S53,Etoposide,0
S54,Etoposide,1
S55,Etoposide,0
S56,Etoposide,1
S57,Etoposide,0
S58,Etoposide,1
S59,Etoposide,1
S60,Etoposide,1
S61,Etoposide,1
S62,Etoposide,1
S63,Etoposide,0
S64,Etoposide,1
S65,Etoposide,0
S66,Etoposide,1
S67,Etoposide,1
S68,Etoposide,1
S69,Etoposide,1
S70,Etoposide,0
S71,Etoposide,0
S72,Etoposide,0
S73,Etoposide,0
S74,Etoposide,1
S75,Etoposide,1
S76,Etoposide,0
S77,Etoposide,1
S78,Etoposide,1
S79,Etoposide,1
S80,Etoposide,0
S81,Etoposide,1
S82,Etoposide,0
S83,Etoposide,1
S84,Etoposide,1
S85,Etoposide,1
S86,Etoposide,0
S87,Etoposide,0
S88,Etoposide,0
S89,Etoposide,0
S90,Etoposide,0
S91,Etoposide,1
S92,Etoposide,1
S93,Etoposide,0
S94,Etoposide,0
S95,Etoposide,0
S96,Etoposide,0
S97,Etoposide,1
S98,Etoposide,0
S99,Etoposide,0
S100,Etoposide,1
S101,Etoposide,0
S102,Etoposide,1
S103,Etoposide,1
S104,Etoposide,1
S105,Etoposide,0
S106,Etoposide,0
S107,Etoposide,1
S108,Etoposide,1
S109,Etoposide,1
S110,Etoposide,1
S111,Etoposide,0
S112,Etoposide,0
S113,Etoposide,0
S114,Etoposide,1
S115,Etoposide,1
S116,Etoposide,0
S117,Etoposide,1
S118,Etoposide,0
S119,Etoposide,0
