sample_id,drug,response
S0,Gefitinib,0
S1,Gefitinib,1
S2,Gefitinib,1
S3,Gefitinib,0
S4,Gefitinib,1
S5,Gefitinib,1
S6,Gefitinib,0
S7,Gefitinib,0
S8,Gefitinib,1
S9,Gefitinib,1
S10,Gefitinib,1
S11,Gefitinib,1
S12,Gefitinib,0
S13,Gefitinib,0
S14,Gefitinib,0
S15,Gefitinib,1
S16,Gefitinib,1
S17,Gefitinib,1
S18,Gefitinib,1
S19,Gefitinib,1
S20,Gefitinib,1
S21,Gefitinib,1
S22,Gefitinib,1
S23,Gefitinib,0
S24,Gefitinib,1
S25,Gefitinib,1
S26,Gefitinib,1
S27,Gefitinib,0
S28,Gefitinib,1
S29,Gefitinib,0
S30,Gefitinib,0
S31,Gefitinib,0
S32,Gefitinib,0
S33,Gefitinib,1
S34,Gefitinib,0
S35,Gefitinib,0
S36,Gefitinib,1
S37,Gefitinib,0
S38,Gefitinib,0
S39,Gefitinib,0
S40,Gefitinib,1
S41,Gefitinib,0
S42,Gefitinib,0
S43,Gefitinib,1
S44,Gefitinib,0
S45,Gefitinib,1
S46,Gefitinib,1
S47,Gefitinib,1
S48,Gefitinib,1
S49,Gefitinib,0
S50,Gefitinib,1
S51,Gefitinib,0
S52,Gefitinib,1
S53,Gefitinib,0
S54,Gefitinib,1
S55,Gefitinib,0
S56,Gefitinib,0
S57,Gefitinib,1
S58,Gefitinib,0
S59,Gefitinib,1
S60,Gefitinib,0
S61,Gefitinib,1
S62,Gefitinib,1
S63,Gefitinib,1
S64,Gefitinib,0
S65,Gefitinib,0
S66,Gefitinib,1
S67,Gefitinib,0
S68,Gefitinib,0
S69,Gefitinib,0
S70,Gefitinib,0
S71,Gefitinib,0
S72,Gefitinib,1
S73,Gefitinib,0
S74,Gefitinib,1
S75,Gefitinib,1
S76,Gefitinib,1
S77,Gefitinib,1
S78,Gefitinib,0
S79,Gefitinib,0
S80,Gefitinib,1
S81,Gefitinib,0
S82,Gefitinib,1
S83,Gefitinib,1
S84,Gefitinib,1
S85,Gefitinib,1
S86,Gefitinib,1
S87,Gefitinib,0
S88,Gefitinib,1
S89,Gefitinib,1
S90,Gefitinib,1
S91,Gefitinib,0
S92,Gefitinib,1
S93,Gefitinib,0
S94,Gefitinib,0
S95,Gefitinib,0
S96,Gefitinib,1
S97,Gefitinib,1
S98,Gefitinib,0
S99,Gefitinib,1
S100,Gefitinib,0
S101,Gefitinib,0
S102,Gefitinib,1
S103,Gefitinib,1
S104,Gefitinib,1
S105,Gefitinib,1
S106,Gefitinib,1
S107,Gefitinib,0
S108,Gefitinib,0
S109,Gefitinib,1
S110,Gefitinib,1
S111,Gefitinib,1
S112,Gefitinib,0
S113,Gefitinib,1
S114,Gefitinib,1
S115,Gefitinib,1
S116,Gefitinib,0
S117,Gefitinib,1
S118,Gefitinib,0
S119,Gefitinib,0
