sample_id,drug,response
S0,Gemcitabine,1
S1,Gemcitabine,1
S2,Gemcitabine,1
S3,Gemcitabine,0
S4,Gemcitabine,1
S5,Gemcitabine,0
S6,Gemcitabine,0
S7,Gemcitabine,1
S8,Gemcitabine,1
S9,Gemcitabine,1
S10,Gemcitabine,0
S11,Gemcitabine,1
S12,Gemcitabine,1
S13,Gemcitabine,1
S14,Gemcitabine,0
S15,Gemcitabine,0
S16,Gemcitabine,0
S17,Gemcitabine,0
S18,Gemcitabine,1
S19,Gemcitabine,0
S20,Gemcitabine,0
S21,Gemcitabine,1
S22,Gemcitabine,0
S23,Gemcitabine,0
S24,Gemcitabine,0
S25,Gemcitabine,0
S26,Gemcitabine,0
S27,Gemcitabine,1
S28,Gemcitabine,1
S29,Gemcitabine,1
S30,Gemcitabine,0
S31,Gemcitabine,0
S32,Gemcitabine,1
S33,Gemcitabine,0
S34,Gemcitabine,0
S35,Gemcitabine,1
S36,Gemcitabine,1
S37,Gemcitabine,0
S38,Gemcitabine,1
S39,Gemcitabine,1
S40,Gemcitabine,1
S41,Gemcitabine,1
S42,Gemcitabine,0
S43,Gemcitabine,0
S44,Gemcitabine,1
S45,Gemcitabine,0
S46,Gemcitabine,1
S47,Gemcitabine,0
S48,Gemcitabine,1
S49,Gemcitabine,0
S50,Gemcitabine,0
S51,Gemcitabine,0
S52,Gemcitabine,1
S53,Gemcitabine,0
S54,Gemcitabine,0
S55,Gemcitabine,0
S56,Gemcitabine,1
S57,Gemcitabine,1
S58,Gemcitabine,0
S59,Gemcitabine,1
S60,Gemcitabine,0
S61,Gemcitabine,1
S62,Gemcitabine,1
S63,Gemcitabine,1
S64,Gemcitabine,1
S65,Gemcitabine,1
S66,Gemcitabine,1
S67,Gemcitabine,1
S68,Gemcitabine,1
S69,Gemcitabine,0
S70,Gemcitabine,1
S71,Gemcitabine,1
S72,Gemcitabine,1
S73,Gemcitabine,0
S74,Gemcitabine,1
S75,Gemcitabine,0
S76,Gemcitabine,1
S77,Gemcitabine,1
S78,Gemcitabine,1
S79,Gemcitabine,0
S80,Gemcitabine,1
S81,Gemcitabine,0
S82,Gemcitabine,1
S83,Gemcitabine,0
S84,Gemcitabine,1
S85,Gemcitabine,1
S86,Gemcitabine,1
S87,Gemcitabine,0
S88,Gemcitabine,0
S89,Gemcitabine,1
S90,Gemcitabine,1
S91,Gemcitabine,0
S92,Gemcitabine,1
S93,Gemcitabine,1
S94,Gemcitabine,1
S95,Gemcitabine,0
S96,Gemcitabine,0
S97,Gemcitabine,1
S98,Gemcitabine,1
S99,Gemcitabine,1
S100,Gemcitabine,0
S101,Gemcitabine,0
S102,Gemcitabine,0
S103,Gemcitabine,0
S104,Gemcitabine,0
S105,Gemcitabine,1
S106,Gemcitabine,1
S107,Gemcitabine,0
S108,Gemcitabine,1
S109,Gemcitabine,0
S110,Gemcitabine,1
S111,Gemcitabine,1
S112,Gemcitabine,1
S113,Gemcitabine,0
S114,Gemcitabine,1
S115,Gemcitabine,1
S116,Gemcitabine,0
S117,Gemcitabine,0
S118,Gemcitabine,1
S119,Gemcitabine,1
