sample_id,drug,response
S0,Imatinib,0
S1,Imatinib,0
S2,Imatinib,1
S3,Imatinib,1
S4,Imatinib,0
S5,Imatinib,0
S6,Imatinib,0
S7,Imatinib,0
S8,Imatinib,0
S9,Imatinib,1
S10,Imatinib,1
S11,Imatinib,1
S12,Imatinib,0
S13,Imatinib,1
S14,Imatinib,0
S15,Imatinib,0
S16,Imatinib,1
S17,Imatinib,1
S18,Imatinib,1
S19,Imatinib,0
S20,Imatinib,1
S21,Imatinib,0
S22,Imatinib,1
S23,Imatinib,1
S24,Imatinib,0
S25,Imatinib,0
S26,Imatinib,0
S27,Imatinib,0
S28,Imatinib,1
S29,Imatinib,0
S30,Imatinib,1
S31,Imatinib,0
S32,Imatinib,1
S33,Imatinib,1
S34,Imatinib,0
S35,Imatinib,1
S36,Imatinib,1
S37,Imatinib,0
S38,Imatinib,0
S39,Imatinib,1
S40,Imatinib,1
S41,Imatinib,0
S42,Imatinib,1
S43,Imatinib,0
S44,Imatinib,1
S45,Imatinib,0
S46,Imatinib,1
S47,Imatinib,1
S48,Imatinib,1
S49,Imatinib,1
S50,Imatinib,1
S51,Imatinib,0
S52,Imatinib,1
S53,Imatinib,0
S54,Imatinib,0
S55,Imatinib,0
S56,Imatinib,1
S57,Imatinib,0
S58,Imatinib,0
S59,Imatinib,0
S60,Imatinib,1
S61,Imatinib,0
S62,Imatinib,0
S63,Imatinib,0
S64,Imatinib,1
S65,Imatinib,1
S66,Imatinib,1
S67,Imatinib,1
S68,Imatinib,1
S69,Imatinib,1
S70,Imatinib,1
S71,Imatinib,1
S72,Imatinib,1
S73,Imatinib,1
S74,Imatinib,0
S75,Imatinib,1
S76,Imatinib,1
S77,Imatinib,1
S78,Imatinib,0
S79,Imatinib,0
S80,Imatinib,1
S81,Imatinib,0
S82,Imatinib,1
S83,Imatinib,1
S84,Imatinib,1
S85,Imatinib,0
S86,Imatinib,1
S87,Imatinib,1
S88,Imatinib,1
S89,Imatinib,0
S90,Imatinib,1
S91,Imatinib,0
S92,Imatinib,0
S93,Imatinib,1
S94,Imatinib,1
S95,Imatinib,1
S96,Imatinib,0
S97,Imatinib,0
S98,Imatinib,1
S99,Imatinib,0
S100,Imatinib,0
S101,Imatinib,1
S102,Imatinib,1
S103,Imatinib,1
S104,Imatinib,0
S105,Imatinib,1
S106,Imatinib,0
S107,Imatinib,1
S108,Imatinib,1
S109,Imatinib,0
S110,Imatinib,1
S111,Imatinib,1
S112,Imatinib,1
S113,Imatinib,0
S114,Imatinib,0
S115,Imatinib,0
S116,Imatinib,1
S117,Imatinib,1
S118,Imatinib,0
S119,Imatinib,1
