sample_id,drug,response
S0,Lapatinib,0
S1,Lapatinib,0
S2,Lapatinib,1
S3,Lapatinib,0
S4,Lapatinib,1
S5,Lapatinib,1
S6,Lapatinib,0
S7,Lapatinib,0
S8,Lapatinib,1
S9,Lapatinib,0
S10,Lapatinib,0
S11,Lapatinib,0
S12,Lapatinib,0
S13,Lapatinib,1
S14,Lapatinib,0
S15,Lapatinib,0
S16,Lapatinib,1
S17,Lapatinib,0
S18,Lapatinib,1
S19,Lapatinib,1
S20,Lapatinib,0
S21,Lapatinib,0
S22,Lapatinib,1
S23,Lapatinib,0
S24,Lapatinib,0
S25,Lapatinib,1
S26,Lapatinib,1
S27,Lapatinib,1
S28,Lapatinib,0
S29,Lapatinib,1
S30,Lapatinib,1
S31,Lapatinib,0
S32,Lapatinib,0
S33,Lapatinib,1
S34,Lapatinib,1
S35,Lapatinib,0
S36,Lapatinib,1
S37,Lapatinib,1
S38,Lapatinib,1
S39,Lapatinib,1
S40,Lapatinib,1
S41,Lapatinib,1
S42,Lapatinib,0
S43,Lapatinib,1
S44,Lapatinib,1
S45,Lapatinib,1
S46,Lapatinib,1
S47,Lapatinib,0
S48,Lapatinib,1
S49,Lapatinib,1
S50,Lapatinib,0
S51,Lapatinib,1
S52,Lapatinib,1
S53,Lapatinib,1
S54,Lapatinib,0
S55,Lapatinib,1
S56,Lapatinib,0
S57,Lapatinib,1
S58,Lapatinib,0
S59,Lapatinib,1
S60,Lapatinib,0
S61,Lapatinib,1
S62,Lapatinib,0
S63,Lapatinib,0
S64,Lapatinib,0
S65,Lapatinib,1
S66,Lapatinib,1
S67,Lapatinib,1
S68,Lapatinib,0
S69,Lapatinib,1
S70,Lapatinib,1
S71,Lapatinib,0
S72,Lapatinib,0
S73,Lapatinib,1
S74,Lapatinib,1
S75,Lapatinib,1
S76,Lapatinib,1
S77,Lapatinib,1
S78,Lapatinib,1
S79,Lapatinib,0
S80,Lapatinib,0
S81,Lapatinib,1
S82,Lapatinib,1
S83,Lapatinib,1
S84,Lapatinib,0
S85,Lapatinib,0
S86,Lapatinib,0
S87,Lapatinib,0
S88,Lapatinib,0
S89,Lapatinib,1
S90,Lapatinib,1
S91,Lapatinib,0
S92,Lapatinib,0
S93,Lapatinib,1
S94,Lapatinib,0
S95,Lapatinib,1
S96,Lapatinib,1
S97,Lapatinib,1
S98,Lapatinib,1
S99,Lapatinib,1
S100,Lapatinib,1
S101,Lapatinib,0
S102,Lapatinib,1
S103,Lapatinib,0
S104,Lapatinib,0
S105,Lapatinib,1
S106,Lapatinib,0
S107,Lapatinib,0
S108,Lapatinib,0
S109,Lapatinib,0
S110,Lapatinib,1
S111,Lapatinib,1
S112,Lapatinib,0
S113,Lapatinib,1
S114,Lapatinib,1
S115,Lapatinib,1
S116,Lapatinib,0
S117,Lapatinib,0
S118,Lapatinib,1
S119,Lapatinib,1
