sample_id,drug,response
S0,MK-2206,1
S1,MK-2206,1
S2,MK-2206,0
S3,MK-2206,0
S4,MK-2206,1
S5,MK-2206,1
S6,MK-2206,1
S7,MK-2206,1
S8,MK-2206,0
S9,MK-2206,1
S10,MK-2206,1
S11,MK-2206,0
S12,MK-2206,1
S13,MK-2206,0
S14,MK-2206,0
S15,MK-2206,0
S16,MK-2206,1
S17,MK-2206,0
S18,MK-2206,1
S19,MK-2206,0
S20,MK-2206,1
S21,MK-2206,0
S22,MK-2206,1
S23,MK-2206,0
S24,MK-2206,0
S25,MK-2206,0
S26,MK-2206,1
S27,MK-2206,0
S28,MK-2206,1
S29,MK-2206,1
S30,MK-2206,0
S31,MK-2206,0
S32,MK-2206,1
S33,MK-2206,0
S34,MK-2206,0
S35,MK-2206,1
S36,MK-2206,0
S37,MK-2206,0
S38,MK-2206,1
S39,MK-2206,1
S40,MK-2206,1
S41,MK-2206,1
S42,MK-2206,0
S43,MK-2206,1
S44,MK-2206,1
S45,MK-2206,1
S46,MK-2206,0
S47,MK-2206,0
S48,MK-2206,1
S49,MK-2206,1
S50,MK-2206,1
S51,MK-2206,1
S52,MK-2206,1
S53,MK-2206,1
S54,MK-2206,1
S55,MK-2206,0
S56,MK-2206,1
S57,MK-2206,0
S58,MK-2206,0
S59,MK-2206,0
S60,MK-2206,1
S61,MK-2206,0
S62,MK-2206,0
S63,MK-2206,0
S64,MK-2206,1
S65,MK-2206,0
S66,MK-2206,0
S67,MK-2206,1
S68,MK-2206,1
S69,MK-2206,0
S70,MK-2206,1
S71,MK-2206,1
S72,MK-2206,1
S73,MK-2206,1
S74,MK-2206,1
S75,MK-2206,0
S76,MK-2206,1
S77,MK-2206,1
S78,MK-2206,0
S79,MK-2206,1
S80,MK-2206,1
S81,MK-2206,1
S82,MK-2206,0
S83,MK-2206,0
S84,MK-2206,0
S85,MK-2206,1
S86,MK-2206,1
S87,MK-2206,1
S88,MK-2206,0
S89,MK-2206,0
S90,MK-2206,1
S91,MK-2206,0
S92,MK-2206,1
S93,MK-2206,0
S94,MK-2206,1
S95,MK-2206,1
S96,MK-2206,0
S97,MK-2206,0
S98,MK-2206,0
S99,MK-2206,0
S100,MK-2206,1
S101,MK-2206,1
S102,MK-2206,1
S103,MK-2206,0
S104,MK-2206,1
S105,MK-2206,1
S106,MK-2206,0
S107,MK-2206,0
S108,MK-2206,0
S109,MK-2206,1
S110,MK-2206,0
S111,MK-2206,1
S112,MK-2206,1
S113,MK-2206,1
S114,MK-2206,1
S115,MK-2206,1
S116,MK-2206,1
S117,MK-2206,0
S118,MK-2206,1
S119,MK-2206,0
