sample_id,drug,response
S0,Mitomycin C,0
S1,Mitomycin C,0
S2,Mitomycin C,1
S3,Mitomycin C,1
S4,Mitomycin C,1
S5,Mitomycin C,1
S6,Mitomycin C,0
S7,Mitomycin C,1
S8,Mitomycin C,0
S9,Mitomycin C,0
S10,Mitomycin C,0
S11,Mitomycin C,0
S12,Mitomycin C,1
S13,Mitomycin C,1
S14,Mitomycin C,0
S15,Mitomycin C,0
S16,Mitomycin C,0
S17,Mitomycin C,1
S18,Mitomycin C,0
S19,Mitomycin C,1
S20,Mitomycin C,0
S21,Mitomycin C,1
S22,Mitomycin C,0
S23,Mitomycin C,1
S24,Mitomycin C,0
S25,Mitomycin C,0
S26,Mitomycin C,0
S27,Mitomycin C,1
S28,Mitomycin C,1
S29,Mitomycin C,0
S30,Mitomycin C,1
S31,Mitomycin C,0
S32,Mitomycin C,0
S33,Mitomycin C,1
S34,Mitomycin C,0
S35,Mitomycin C,0
S36,Mitomycin C,0
S37,Mitomycin C,0
S38,Mitomycin C,1
S39,Mitomycin C,1
S40,Mitomycin C,1
S41,Mitomycin C,1
S42,Mitomycin C,1
S43,Mitomycin C,0
S44,Mitomycin C,1
S45,Mitomycin C,0
S46,Mitomycin C,1
S47,Mitomycin C,0
S48,Mitomycin C,1
S49,Mitomycin C,1
S50,Mitomycin C,0
S51,Mitomycin C,1
S52,Mitomycin C,1
S53,Mitomycin C,1
S54,Mitomycin C,1
S55,Mitomycin C,0
S56,Mitomycin C,1
S57,Mitomycin C,1
S58,Mitomycin C,0
S59,Mitomycin C,1
S60,Mitomycin C,1
S61,Mitomycin C,1
S62,Mitomycin C,0
S63,Mitomycin C,0
S64,Mitomycin C,1
S65,Mitomycin C,1
S66,Mitomycin C,0
S67,Mitomycin C,1
S68,Mitomycin C,1
S69,Mitomycin C,0
S70,Mitomycin C,1
S71,Mitomycin C,0
S72,Mitomycin C,1
S73,Mitomycin C,1
S74,Mitomycin C,1
S75,Mitomycin C,0
S76,Mitomycin C,0
S77,Mitomycin C,0
S78,Mitomycin C,0
S79,Mitomycin C,0
S80,Mitomycin C,0
S81,Mitomycin C,0
S82,Mitomycin C,0
S83,Mitomycin C,1
S84,Mitomycin C,0
S85,Mitomycin C,0
S86,Mitomycin C,1
S87,Mitomycin C,0
S88,Mitomycin C,1
S89,Mitomycin C,1
S90,Mitomycin C,0
S91,Mitomycin C,1
S92,Mitomycin C,1
S93,Mitomycin C,0
S94,Mitomycin C,1
S95,Mitomycin C,1
S96,Mitomycin C,1
S97,Mitomycin C,1
S98,Mitomycin C,1
S99,Mitomycin C,1
S100,Mitomycin C,0
S101,Mitomycin C,1
S102,Mitomycin C,0
S103,Mitomycin C,1
S104,Mitomycin C,1
S105,Mitomycin C,0
S106,Mitomycin C,1
S107,Mitomycin C,1
S108,Mitomycin C,0
S109,Mitomycin C,1
S110,Mitomycin C,1
S111,Mitomycin C,1
S112,Mitomycin C,1
S113,Mitomycin C,1
S114,Mitomycin C,1
S115,Mitomycin C,1
S116,Mitomycin C,1
S117,Mitomycin C,0
S118,Mitomycin C,0
S119,Mitomycin C,1
