sample_id,drug,response
S0,NVP-TAE684,0
S1,NVP-TAE684,0
S2,NVP-TAE684,1
S3,NVP-TAE684,0
S4,NVP-TAE684,0
S5,NVP-TAE684,0
S6,NVP-TAE684,1
S7,NVP-TAE684,0
S8,NVP-TAE684,1
S9,NVP-TAE684,0
S10,NVP-TAE684,0
S11,NVP-TAE684,0
S12,NVP-TAE684,1
S13,NVP-TAE684,1
S14,NVP-TAE684,1
S15,NVP-TAE684,0
S16,NVP-TAE684,0
S17,NVP-TAE684,0
S18,NVP-TAE684,0
S19,NVP-TAE684,1
S20,NVP-TAE684,0
S21,NVP-TAE684,1
S22,NVP-TAE684,0
S23,NVP-TAE684,0
S24,NVP-TAE684,0
S25,NVP-TAE684,1
S26,NVP-TAE684,1
S27,NVP-TAE684,0
S28,NVP-TAE684,1
S29,NVP-TAE684,0
S30,NVP-TAE684,0
S31,NVP-TAE684,1
S32,NVP-TAE684,1
S33,NVP-TAE684,0
S34,NVP-TAE684,0
S35,NVP-TAE684,0
S36,NVP-TAE684,1
S37,NVP-TAE684,1
S38,NVP-TAE684,1
S39,NVP-TAE684,1
S40,NVP-TAE684,1
S41,NVP-TAE684,0
S42,NVP-TAE684,1
S43,NVP-TAE684,1
S44,NVP-TAE684,1
S45,NVP-TAE684,0
S46,NVP-TAE684,0
S47,NVP-TAE684,0
S48,NVP-TAE684,1
S49,NVP-TAE684,1
S50,NVP-TAE684,1
S51,NVP-TAE684,1
S52,NVP-TAE684,0
S53,NVP-TAE684,0
S54,NVP-TAE684,1
S55,NVP-TAE684,1
S56,NVP-TAE684,1
S57,NVP-TAE684,0
S58,NVP-TAE684,0
S59,NVP-TAE684,0
S60,NVP-TAE684,1
S61,NVP-TAE684,1
S62,NVP-TAE684,0
S63,NVP-TAE684,0
S64,NVP-TAE684,1
S65,NVP-TAE684,1
S66,NVP-TAE684,1
S67,NVP-TAE684,1
S68,NVP-TAE684,0
S69,NVP-TAE684,1
S70,NVP-TAE684,1
S71,NVP-TAE684,1
S72,NVP-TAE684,0
S73,NVP-TAE684,0
S74,NVP-TAE684,1
S75,NVP-TAE684,1
S76,NVP-TAE684,0
S77,NVP-TAE684,0
S78,NVP-TAE684,1
S79,NVP-TAE684,1
S80,NVP-TAE684,1
S81,NVP-TAE684,0
S82,NVP-TAE684,0
S83,NVP-TAE684,0
S84,NVP-TAE684,0
S85,NVP-TAE684,0
S86,NVP-TAE684,1
S87,NVP-TAE684,1
S88,NVP-TAE684,1
S89,NVP-TAE684,0
S90,NVP-TAE684,0
S91,NVP-TAE684,1
S92,NVP-TAE684,1
S93,NVP-TAE684,0
S94,NVP-TAE684,0
S95,NVP-TAE684,1
S96,NVP-TAE684,1
S97,NVP-TAE684,1
S98,NVP-TAE684,0
S99,NVP-TAE684,0
S100,NVP-TAE684,1
S101,NVP-TAE684,1
S102,NVP-TAE684,1
S103,NVP-TAE684,1
S104,NVP-TAE684,1
S105,NVP-TAE684,1
S106,NVP-TAE684,1
S107,NVP-TAE684,0
S108,NVP-TAE684,1
S109,NVP-TAE684,1
S110,NVP-TAE684,0
S111,NVP-TAE684,1
S112,NVP-TAE684,1
S113,NVP-TAE684,1
S114,NVP-TAE684,1
S115,NVP-TAE684,1
S116,NVP-TAE684,0
S117,NVP-TAE684,1
S118,NVP-TAE684,1
S119,NVP-TAE684,1
