sample_id,drug,response
S0,Nilotinib,0
S1,Nilotinib,0
S2,Nilotinib,0
S3,Nilotinib,0
S4,Nilotinib,0
S5,Nilotinib,1
S6,Nilotinib,0
S7,Nilotinib,1
S8,Nilotinib,1
S9,Nilotinib,1
S10,Nilotinib,1
S11,Nilotinib,1
S12,Nilotinib,1
S13,Nilotinib,1
S14,Nilotinib,1
S15,Nilotinib,0
S16,Nilotinib,1
S17,Nilotinib,0
S18,Nilotinib,1
S19,Nilotinib,1
S20,Nilotinib,0
S21,Nilotinib,0
S22,Nilotinib,0
S23,Nilotinib,1
S24,Nilotinib,1
S25,Nilotinib,1
S26,Nilotinib,0
S27,Nilotinib,0
S28,Nilotinib,1
S29,Nilotinib,0
S30,Nilotinib,0
S31,Nilotinib,1
S32,Nilotinib,1
S33,Nilotinib,0
S34,Nilotinib,0
S35,Nilotinib,1
S36,Nilotinib,1
S37,Nilotinib,1
S38,Nilotinib,1
S39,Nilotinib,1
S40,Nilotinib,0
S41,Nilotinib,1
S42,Nilotinib,0
S43,Nilotinib,1
S44,Nilotinib,1
S45,Nilotinib,1
S46,Nilotinib,0
S47,Nilotinib,1
S48,Nilotinib,0
S49,Nilotinib,0
S50,Nilotinib,1
S51,Nilotinib,1
S52,Nilotinib,1
S53,Nilotinib,1
S54,Nilotinib,1
S55,Nilotinib,1
S56,Nilotinib,1
S57,Nilotinib,1
S58,Nilotinib,0
S59,Nilotinib,1
S60,Nilotinib,1
S61,Nilotinib,1
S62,Nilotinib,0
S63,Nilotinib,1
S64,Nilotinib,0
S65,Nilotinib,1
S66,Nilotinib,0
S67,Nilotinib,0
S68,Nilotinib,1
S69,Nilotinib,0
S70,Nilotinib,1
S71,Nilotinib,1
S72,Nilotinib,0
S73,Nilotinib,1
S74,Nilotinib,0
S75,Nilotinib,1
S76,Nilotinib,0
S77,Nilotinib,1
S78,Nilotinib,0
S79,Nilotinib,0
S80,Nilotinib,0
S81,Nilotinib,1
S82,Nilotinib,1
S83,Nilotinib,0
S84,Nilotinib,1
S85,Nilotinib,0
S86,Nilotinib,0
S87,Nilotinib,1
S88,Nilotinib,1
S89,Nilotinib,1
S90,Nilotinib,0
S91,Nilotinib,1
S92,Nilotinib,0
S93,Nilotinib,1
S94,Nilotinib,0
S95,Nilotinib,0
S96,Nilotinib,1
S97,Nilotinib,0
S98,Nilotinib,1
S99,Nilotinib,1
S100,Nilotinib,1
S101,Nilotinib,0
S102,Nilotinib,1
S103,Nilotinib,1
S104,Nilotinib,0
S105,Nilotinib,0
S106,Nilotinib,0
S107,Nilotinib,1
S108,Nilotinib,0
S109,Nilotinib,1
S110,Nilotinib,0
S111,Nilotinib,0
S112,Nilotinib,0
S113,Nilotinib,1
S114,Nilotinib,1
S115,Nilotinib,1
S116,Nilotinib,0
S117,Nilotinib,0
S118,Nilotinib,1
S119,Nilotinib,0
