sample_id,drug,response
S0,OSI-930,0
S1,OSI-930,1
S2,OSI-930,1
S3,OSI-930,1
S4,OSI-930,1
S5,OSI-930,0
S6,OSI-930,0
S7,OSI-930,1
S8,OSI-930,0
S9,OSI-930,0
S10,OSI-930,1
S11,OSI-930,1
S12,OSI-930,1
S13,OSI-930,1
S14,OSI-930,1
S15,OSI-930,0
S16,OSI-930,0
S17,OSI-930,1
S18,OSI-930,1
S19,OSI-930,1
S20,OSI-930,1
S21,OSI-930,0
S22,OSI-930,1
S23,OSI-930,1
S24,OSI-930,0
S25,OSI-930,0
S26,OSI-930,1
S27,OSI-930,1
S28,OSI-930,0
S29,OSI-930,1
S30,OSI-930,0
S31,OSI-930,1
S32,OSI-930,1
S33,OSI-930,1
S34,OSI-930,0
S35,OSI-930,0
S36,OSI-930,0
S37,OSI-930,1
S38,OSI-930,1
S39,OSI-930,0
S40,OSI-930,0
S41,OSI-930,0
S42,OSI-930,1
S43,OSI-930,1
S44,OSI-930,0
S45,OSI-930,0
S46,OSI-930,0
S47,OSI-930,0
S48,OSI-930,0
S49,OSI-930,0
S50,OSI-930,1
S51,OSI-930,1
S52,OSI-930,1
S53,OSI-930,1
S54,OSI-930,0
S55,OSI-930,1
S56,OSI-930,0
S57,OSI-930,0
S58,OSI-930,1
S59,OSI-930,1
S60,OSI-930,1
S61,OSI-930,1
S62,OSI-930,1
S63,OSI-930,1
S64,OSI-930,1
S65,OSI-930,0
S66,OSI-930,1
S67,OSI-930,0
S68,OSI-930,1
S69,OSI-930,0
S70,OSI-930,1
S71,OSI-930,0
S72,OSI-930,1
S73,OSI-930,1
S74,OSI-930,0
S75,OSI-930,1
S76,OSI-930,0
S77,OSI-930,0
S78,OSI-930,0
S79,OSI-930,1
S80,OSI-930,0
S81,OSI-930,1
S82,OSI-930,1
S83,OSI-930,1
S84,OSI-930,1
S85,OSI-930,1
S86,OSI-930,1
S87,OSI-930,1
S88,OSI-930,0
S89,OSI-930,0
S90,OSI-930,1
S91,OSI-930,0
S92,OSI-930,0
S93,OSI-930,0
S94,OSI-930,0
S95,OSI-930,1
S96,OSI-930,0
S97,OSI-930,1
S98,OSI-930,0
S99,OSI-930,0
S100,OSI-930,0
S101,OSI-930,1
S102,OSI-930,1
S103,OSI-930,0
S104,OSI-930,1
S105,OSI-930,1
S106,OSI-930,1
S107,OSI-930,0
S108,OSI-930,0
S109,OSI-930,1
S110,OSI-930,1
S111,OSI-930,1
S112,OSI-930,1
S113,OSI-930,1
S114,OSI-930,1
S115,OSI-930,0
S116,OSI-930,1
S117,OSI-930,0
S118,OSI-930,0
S119,OSI-930,0
