sample_id,drug,response
S0,PAC-1,1
S1,PAC-1,1
S2,PAC-1,0
S3,PAC-1,1
S4,PAC-1,0
S5,PAC-1,1
S6,PAC-1,1
S7,PAC-1,0
S8,PAC-1,1
S9,PAC-1,1
S10,PAC-1,1
S11,PAC-1,0
S12,PAC-1,0
S13,PAC-1,1
S14,PAC-1,0
S15,PAC-1,0
S16,PAC-1,1
S17,PAC-1,0
S18,PAC-1,0
S19,PAC-1,1
S20,PAC-1,0
S21,PAC-1,0
S22,PAC-1,0
S23,PAC-1,0
S24,PAC-1,0
S25,PAC-1,1
S26,PAC-1,1
S27,PAC-1,0
S28,PAC-1,1
S29,PAC-1,1
S30,PAC-1,1
S31,PAC-1,0
S32,PAC-1,1
S33,PAC-1,0
S34,PAC-1,0
S35,PAC-1,0
S36,PAC-1,0
S37,PAC-1,1
S38,PAC-1,0
S39,PAC-1,1
S40,PAC-1,0
S41,PAC-1,0
S42,PAC-1,0
S43,PAC-1,1
S44,PAC-1,1
S45,PAC-1,0
S46,PAC-1,0
S47,PAC-1,1
S48,PAC-1,0
S49,PAC-1,1
S50,PAC-1,1
S51,PAC-1,1
S52,PAC-1,0
S53,PAC-1,0
S54,PAC-1,1
S55,PAC-1,0
S56,PAC-1,1
S57,PAC-1,1
S58,PAC-1,0
S59,PAC-1,0
S60,PAC-1,0
S61,PAC-1,1
S62,PAC-1,1
S63,PAC-1,1
S64,PAC-1,1
S65,PAC-1,1
S66,PAC-1,0
S67,PAC-1,0
S68,PAC-1,1
S69,PAC-1,1
S70,PAC-1,0
S71,PAC-1,1
S72,PAC-1,1
S73,PAC-1,1
S74,PAC-1,0
S75,PAC-1,1
S76,PAC-1,1
S77,PAC-1,1
S78,PAC-1,1
S79,PAC-1,1
S80,PAC-1,1
S81,PAC-1,0
S82,PAC-1,1
S83,PAC-1,1
S84,PAC-1,0
S85,PAC-1,1
S86,PAC-1,1
S87,PAC-1,1
S88,PAC-1,1
S89,PAC-1,1
S90,PAC-1,1
S91,PAC-1,0
S92,PAC-1,1
S93,PAC-1,0
S94,PAC-1,0
S95,PAC-1,1
S96,PAC-1,0
S97,PAC-1,1
S98,PAC-1,0
S99,PAC-1,0
S100,PAC-1,0
S101,PAC-1,0
S102,PAC-1,1
S103,PAC-1,0
S104,PAC-1,1
S105,PAC-1,0
S106,PAC-1,0
S107,PAC-1,0
S108,PAC-1,1
S109,PAC-1,1
S110,PAC-1,1
S111,PAC-1,1
S112,PAC-1,1
S113,PAC-1,1
S114,PAC-1,1
S115,PAC-1,1
S116,PAC-1,1
S117,PAC-1,0
S118,PAC-1,1
S119,PAC-1,0
