sample_id,drug,response
S0,PD-0332991,1
S1,PD-0332991,0
S2,PD-0332991,0
S3,PD-0332991,1
S4,PD-0332991,1
S5,PD-0332991,0
S6,PD-0332991,0
S7,PD-0332991,1
S8,PD-0332991,1
S9,PD-0332991,0
S10,PD-0332991,0
S11,PD-0332991,0
S12,PD-0332991,1
S13,PD-0332991,1
S14,PD-0332991,1
S15,PD-0332991,1
S16,PD-0332991,0
S17,PD-0332991,1
S18,PD-0332991,1
S19,PD-0332991,0
S20,PD-0332991,1
S21,PD-0332991,1
S22,PD-0332991,1
S23,PD-0332991,1
S24,PD-0332991,0
S25,PD-0332991,1
S26,PD-0332991,0
S27,PD-0332991,1
S28,PD-0332991,0
S29,PD-0332991,0
S30,PD-0332991,1
S31,PD-0332991,0
S32,PD-0332991,0
S33,PD-0332991,0
S34,PD-0332991,0
S35,PD-0332991,0
S36,PD-0332991,1
S37,PD-0332991,0
S38,PD-0332991,1
S39,PD-0332991,0
S40,PD-0332991,1
S41,PD-0332991,1
S42,PD-0332991,0
S43,PD-0332991,0
S44,PD-0332991,1
S45,PD-0332991,0
S46,PD-0332991,0
S47,PD-0332991,1
S48,PD-0332991,1
S49,PD-0332991,0
S50,PD-0332991,1
S51,PD-0332991,1
S52,PD-0332991,1
S53,PD-0332991,0
S54,PD-0332991,1
S55,PD-0332991,0
S56,PD-0332991,1
S57,PD-0332991,0
S58,PD-0332991,0
S59,PD-0332991,1
S60,PD-0332991,1
S61,PD-0332991,1
S62,PD-0332991,1
S63,PD-0332991,0
S64,PD-0332991,1
S65,PD-0332991,1
S66,PD-0332991,1
S67,PD-0332991,0
S68,PD-0332991,0
S69,PD-0332991,1
S70,PD-0332991,0
S71,PD-0332991,0
S72,PD-0332991,1
S73,PD-0332991,1
S74,PD-0332991,1
S75,PD-0332991,0
S76,PD-0332991,1
S77,PD-0332991,1
S78,PD-0332991,1
S79,PD-0332991,1
S80,PD-0332991,1
S81,PD-0332991,1
S82,PD-0332991,1
S83,PD-0332991,0
S84,PD-0332991,1
S85,PD-0332991,1
S86,PD-0332991,0
S87,PD-0332991,0
S88,PD-0332991,1
S89,PD-0332991,0
S90,PD-0332991,0
S91,PD-0332991,1
S92,PD-0332991,1
S93,PD-0332991,0
S94,PD-0332991,1
S95,PD-0332991,0
S96,PD-0332991,0
S97,PD-0332991,0
S98,PD-0332991,1
S99,PD-0332991,0
S100,PD-0332991,0
S101,PD-0332991,0
S102,PD-0332991,0
S103,PD-0332991,1
S104,PD-0332991,0
S105,PD-0332991,1
S106,PD-0332991,1
S107,PD-0332991,0
S108,PD-0332991,1
S109,PD-0332991,1
S110,PD-0332991,0
S111,PD-0332991,1
S112,PD-0332991,1
S113,PD-0332991,0
S114,PD-0332991,1
S115,PD-0332991,1
S116,PD-0332991,1
S117,PD-0332991,1
S118,PD-0332991,1
S119,PD-0332991,0
