sample_id,drug,response
S0,PHA-793887,1
S1,PHA-793887,0
S2,PHA-793887,0
S3,PHA-793887,1
S4,PHA-793887,1
S5,PHA-793887,1
S6,PHA-793887,1
S7,PHA-793887,1
S8,PHA-793887,0
S9,PHA-793887,0
S10,PHA-793887,1
S11,PHA-793887,0
S12,PHA-793887,0
S13,PHA-793887,1
S14,PHA-793887,0
S15,PHA-793887,0
S16,PHA-793887,1
S17,PHA-793887,1
S18,PHA-793887,0
S19,PHA-793887,1
S20,PHA-793887,0
S21,PHA-793887,1
S22,PHA-793887,1
S23,PHA-793887,1
S24,PHA-793887,1
S25,PHA-793887,0
S26,PHA-793887,0
S27,PHA-793887,1
S28,PHA-793887,0
S29,PHA-793887,0
S30,PHA-793887,1
S31,PHA-793887,1
S32,PHA-793887,1
S33,PHA-793887,1
S34,PHA-793887,1
S35,PHA-793887,0
S36,PHA-793887,1
S37,PHA-793887,0
S38,PHA-793887,1
S39,PHA-793887,1
S40,PHA-793887,0
S41,PHA-793887,0
S42,PHA-793887,0
S43,PHA-793887,1
S44,PHA-793887,1
S45,PHA-793887,1
S46,PHA-793887,1
S47,PHA-793887,1
S48,PHA-793887,0
S49,PHA-793887,0
S50,PHA-793887,0
S51,PHA-793887,0
S52,PHA-793887,0
S53,PHA-793887,1
S54,PHA-793887,1
S55,PHA-793887,1
S56,PHA-793887,1
S57,PHA-793887,0
S58,PHA-793887,1
S59,PHA-793887,1
S60,PHA-793887,1
S61,PHA-793887,0
S62,PHA-793887,1
S63,PHA-793887,1
S64,PHA-793887,0
S65,PHA-793887,0
S66,PHA-793887,1
S67,PHA-793887,1
S68,PHA-793887,1
S69,PHA-793887,1
S70,PHA-793887,0
S71,PHA-793887,0
S72,PHA-793887,1
S73,PHA-793887,1
S74,PHA-793887,1
S75,PHA-793887,0
S76,PHA-793887,0
S77,PHA-793887,0
S78,PHA-793887,1
S79,PHA-793887,1
S80,PHA-793887,1
S81,PHA-793887,0
S82,PHA-793887,0
S83,PHA-793887,0
S84,PHA-793887,1
S85,PHA-793887,0
S86,PHA-793887,0
S87,PHA-793887,1
S88,PHA-793887,1
S89,PHA-793887,0
S90,PHA-793887,1
S91,PHA-793887,0
S92,PHA-793887,0
S93,PHA-793887,0
S94,PHA-793887,0
S95,PHA-793887,0
S96,PHA-793887,1
S97,PHA-793887,1
S98,PHA-793887,1
S99,PHA-793887,1
S100,PHA-793887,1
S101,PHA-793887,1
S102,PHA-793887,1
S103,PHA-793887,1
S104,PHA-793887,1
S105,PHA-793887,0
S106,PHA-793887,0
S107,PHA-793887,0
S108,PHA-793887,0
S109,PHA-793887,1
S110,PHA-793887,1
S111,PHA-793887,1
S112,PHA-793887,0
S113,PHA-793887,1
S114,PHA-793887,0
S115,PHA-793887,0
S116,PHA-793887,0
S117,PHA-793887,1
S118,PHA-793887,0
S119,PHA-793887,1
