sample_id,drug,response
S0,PIK-93,1
S1,PIK-93,0
S2,PIK-93,1
S3,PIK-93,0
S4,PIK-93,1
S5,PIK-93,1
S6,PIK-93,1
S7,PIK-93,1
S8,PIK-93,0
S9,PIK-93,0
S10,PIK-93,0
S11,PIK-93,1
S12,PIK-93,0
S13,PIK-93,1
S14,PIK-93,0
S15,PIK-93,0
S16,PIK-93,1
S17,PIK-93,0
S18,PIK-93,1
S19,PIK-93,1
S20,PIK-93,1
S21,PIK-93,1
S22,PIK-93,1
S23,PIK-93,1
S24,PIK-93,0
S25,PIK-93,1
S26,PIK-93,1
S27,PIK-93,1
S28,PIK-93,1
S29,PIK-93,0
S30,PIK-93,1
S31,PIK-93,1
S32,PIK-93,0
S33,PIK-93,0
S34,PIK-93,0
S35,PIK-93,0
S36,PIK-93,1
S37,PIK-93,1
S38,PIK-93,0
S39,PIK-93,0
S40,PIK-93,1
S41,PIK-93,0
S42,PIK-93,1
S43,PIK-93,1
S44,PIK-93,1
S45,PIK-93,0
S46,PIK-93,1
S47,PIK-93,0
S48,PIK-93,1
S49,PIK-93,0
S50,PIK-93,1
S51,PIK-93,1
S52,PIK-93,1
S53,PIK-93,0
S54,PIK-93,0
S55,PIK-93,1
S56,PIK-93,1
S57,PIK-93,0
S58,PIK-93,1
S59,PIK-93,1
S60,PIK-93,1
S61,PIK-93,0
S62,PIK-93,0
S63,PIK-93,0
S64,PIK-93,1
S65,PIK-93,1
S66,PIK-93,1
S67,PIK-93,0
S68,PIK-93,1
S69,PIK-93,1
S70,PIK-93,1
S71,PIK-93,1
S72,PIK-93,1
S73,PIK-93,0
S74,PIK-93,1
S75,PIK-93,1
S76,PIK-93,0
S77,PIK-93,1
S78,PIK-93,1
S79,PIK-93,1
S80,PIK-93,1
S81,PIK-93,0
S82,PIK-93,0
S83,PIK-93,0
S84,PIK-93,0
S85,PIK-93,0
S86,PIK-93,1
S87,PIK-93,0
S88,PIK-93,0
S89,PIK-93,1
S90,PIK-93,1
S91,PIK-93,0
S92,PIK-93,0
S93,PIK-93,0
S94,PIK-93,1
S95,PIK-93,0
S96,PIK-93,1
S97,PIK-93,1
S98,PIK-93,1
S99,PIK-93,1
S100,PIK-93,1
S101,PIK-93,0
S102,PIK-93,1
S103,PIK-93,1
S104,PIK-93,0
S105,PIK-93,1
S106,PIK-93,1
S107,PIK-93,1
S108,PIK-93,0
S109,PIK-93,0
S110,PIK-93,0
S111,PIK-93,1
S112,PIK-93,1
S113,PIK-93,0
S114,PIK-93,0
S115,PIK-93,0
S116,PIK-93,0
S117,PIK-93,0
S118,PIK-93,0
S119,PIK-93,0
