sample_id,drug,response
S0,PLX4720,1
S1,PLX4720,0
S2,PLX4720,0
S3,PLX4720,1
S4,PLX4720,1
S5,PLX4720,0
S6,PLX4720,1
S7,PLX4720,0
S8,PLX4720,1
S9,PLX4720,0
S10,PLX4720,0
S11,PLX4720,0
S12,PLX4720,0
S13,PLX4720,0
S14,PLX4720,0
S15,PLX4720,0
S16,PLX4720,1
S17,PLX4720,1
S18,PLX4720,1
S19,PLX4720,1
S20,PLX4720,1
S21,PLX4720,0
S22,PLX4720,1
S23,PLX4720,0
S24,PLX4720,0
S25,PLX4720,1
S26,PLX4720,1
S27,PLX4720,0
S28,PLX4720,0
S29,PLX4720,0
S30,PLX4720,0
S31,PLX4720,0
S32,PLX4720,0
S33,PLX4720,1
S34,PLX4720,1
S35,PLX4720,1
S36,PLX4720,1
S37,PLX4720,1
S38,PLX4720,1
S39,PLX4720,1
S40,PLX4720,1
S41,PLX4720,1
S42,PLX4720,0
S43,PLX4720,1
S44,PLX4720,0
S45,PLX4720,1
S46,PLX4720,0
S47,PLX4720,1
S48,PLX4720,1
S49,PLX4720,1
S50,PLX4720,0
S51,PLX4720,0
S52,PLX4720,0
S53,PLX4720,0
S54,PLX4720,0
S55,PLX4720,0
S56,PLX4720,1
S57,PLX4720,0
S58,PLX4720,1
S59,PLX4720,1
S60,PLX4720,0
S61,PLX4720,1
S62,PLX4720,1
S63,PLX4720,1
S64,PLX4720,1
S65,PLX4720,1
S66,PLX4720,1
S67,PLX4720,1
S68,PLX4720,1
S69,PLX4720,1
S70,PLX4720,0
S71,PLX4720,1
S72,PLX4720,0
S73,PLX4720,0
S74,PLX4720,1
S75,PLX4720,1
S76,PLX4720,0
S77,PLX4720,1
S78,PLX4720,0
S79,PLX4720,1
S80,PLX4720,1
S81,PLX4720,0
S82,PLX4720,1
S83,PLX4720,0
S84,PLX4720,0
S85,PLX4720,1
S86,PLX4720,1
S87,PLX4720,1
S88,PLX4720,1
S89,PLX4720,0
S90,PLX4720,1
S91,PLX4720,0
S92,PLX4720,1
S93,PLX4720,1
S94,PLX4720,0
S95,PLX4720,1
S96,PLX4720,1
S97,PLX4720,1
S98,PLX4720,1
S99,PLX4720,1
S100,PLX4720,0
S101,PLX4720,1
S102,PLX4720,0
S103,PLX4720,0
S104,PLX4720,1
S105,PLX4720,0
S106,PLX4720,1
S107,PLX4720,0
S108,PLX4720,0
S109,PLX4720,0
S110,PLX4720,1
S111,PLX4720,1
S112,PLX4720,1
S113,PLX4720,0
S114,PLX4720,0
S115,PLX4720,0
S116,PLX4720,1
S117,PLX4720,0
S118,PLX4720,1
S119,PLX4720,1
