sample_id,drug,response
S0,Paclitaxel,0
S1,Paclitaxel,1
S2,Paclitaxel,1
S3,Paclitaxel,0
S4,Paclitaxel,0
S5,Paclitaxel,0
S6,Paclitaxel,1
S7,Paclitaxel,1
S8,Paclitaxel,1
S9,Paclitaxel,1
S10,Paclitaxel,0
S11,Paclitaxel,1
S12,Paclitaxel,0
S13,Paclitaxel,1
S14,Paclitaxel,1
S15,Paclitaxel,0
S16,Paclitaxel,1
S17,Paclitaxel,0
S18,Paclitaxel,0
S19,Paclitaxel,1
S20,Paclitaxel,1
S21,Paclitaxel,0
S22,Paclitaxel,0
S23,Paclitaxel,1
S24,Paclitaxel,0
S25,Paclitaxel,1
S26,Paclitaxel,0
S27,Paclitaxel,0
S28,Paclitaxel,1
S29,Paclitaxel,1
S30,Paclitaxel,1
S31,Paclitaxel,1
S32,Paclitaxel,0
S33,Paclitaxel,0
S34,Paclitaxel,0
S35,Paclitaxel,0
S36,Paclitaxel,1
S37,Paclitaxel,1
S38,Paclitaxel,1
S39,Paclitaxel,1
S40,Paclitaxel,0
S41,Paclitaxel,1
S42,Paclitaxel,1
S43,Paclitaxel,0
S44,Paclitaxel,1
S45,Paclitaxel,1
S46,Paclitaxel,1
S47,Paclitaxel,0
S48,Paclitaxel,1
S49,Paclitaxel,0
S50,Paclitaxel,1
S51,Paclitaxel,0
S52,Paclitaxel,0
S53,Paclitaxel,0
S54,Paclitaxel,0
S55,Paclitaxel,1
S56,Paclitaxel,0
S57,Paclitaxel,1
S58,Paclitaxel,1
S59,Paclitaxel,1
S60,Paclitaxel,1
S61,Paclitaxel,1
S62,Paclitaxel,0
S63,Paclitaxel,0
S64,Paclitaxel,1
S65,Paclitaxel,1
S66,Paclitaxel,0
S67,Paclitaxel,1
S68,Paclitaxel,1
S69,Paclitaxel,1
S70,Paclitaxel,1
S71,Paclitaxel,1
S72,Paclitaxel,1
S73,Paclitaxel,1
S74,Paclitaxel,1
S75,Paclitaxel,1
S76,Paclitaxel,1
S77,Paclitaxel,0
S78,Paclitaxel,0
S79,Paclitaxel,1
S80,Paclitaxel,0
S81,Paclitaxel,1
S82,Paclitaxel,0
S83,Paclitaxel,1
S84,Paclitaxel,0
S85,Paclitaxel,1
S86,Paclitaxel,0
S87,Paclitaxel,0
S88,Paclitaxel,0
S89,Paclitaxel,1
S90,Paclitaxel,0
S91,Paclitaxel,1
S92,Paclitaxel,0
S93,Paclitaxel,1
S94,Paclitaxel,1
S95,Paclitaxel,1
S96,Paclitaxel,1
S97,Paclitaxel,0
S98,Paclitaxel,0
S99,Paclitaxel,0
S100,Paclitaxel,0
S101,Paclitaxel,0
S102,Paclitaxel,1
S103,Paclitaxel,1
S104,Paclitaxel,1
S105,Paclitaxel,1
S106,Paclitaxel,0
S107,Paclitaxel,0
S108,Paclitaxel,0
S109,Paclitaxel,1
S110,Paclitaxel,1
S111,Paclitaxel,0
S112,Paclitaxel,1
S113,Paclitaxel,1
S114,Paclitaxel,0
S115,Paclitaxel,1
S116,Paclitaxel,0
S117,Paclitaxel,1
S118,Paclitaxel,0
S119,Paclitaxel,0
