sample_id,drug,response
S0,Parthenolide,1
S1,Parthenolide,1
S2,Parthenolide,1
S3,Parthenolide,1
S4,Parthenolide,1
S5,Parthenolide,0
S6,Parthenolide,0
S7,Parthenolide,1
S8,Parthenolide,1
S9,Parthenolide,1
S10,Parthenolide,1
S11,Parthenolide,1
S12,Parthenolide,0
S13,Parthenolide,1
S14,Parthenolide,1
S15,Parthenolide,0
S16,Parthenolide,1
S17,Parthenolide,0
S18,Parthenolide,0
S19,Parthenolide,1
S20,Parthenolide,1
S21,Parthenolide,0
S22,Parthenolide,1
S23,Parthenolide,1
S24,Parthenolide,1
S25,Parthenolide,1
S26,Parthenolide,0
S27,Parthenolide,1
S28,Parthenolide,1
S29,Parthenolide,0
S30,Parthenolide,1
S31,Parthenolide,0
S32,Parthenolide,0
S33,Parthenolide,0
S34,Parthenolide,0
S35,Parthenolide,0
S36,Parthenolide,1
S37,Parthenolide,1
S38,Parthenolide,1
S39,Parthenolide,1
S40,Parthenolide,0
S41,Parthenolide,1
S42,Parthenolide,1
S43,Parthenolide,1
S44,Parthenolide,0
S45,Parthenolide,1
S46,Parthenolide,1
S47,Parthenolide,0
S48,Parthenolide,0
S49,Parthenolide,1
S50,Parthenolide,0
S51,Parthenolide,1
S52,Parthenolide,1
S53,Parthenolide,1
S54,Parthenolide,0
S55,Parthenolide,0
S56,Parthenolide,0
S57,Parthenolide,1
S58,Parthenolide,1
S59,Parthenolide,1
S60,Parthenolide,1
S61,Parthenolide,1
S62,Parthenolide,1
S63,Parthenolide,1
S64,Parthenolide,1
S65,Parthenolide,0
S66,Parthenolide,1
S67,Parthenolide,1
S68,Parthenolide,1
S69,Parthenolide,0
S70,Parthenolide,1
S71,Parthenolide,0
S72,Parthenolide,1
S73,Parthenolide,0
S74,Parthenolide,0
S75,Parthenolide,1
S76,Parthenolide,0
S77,Parthenolide,1
S78,Parthenolide,0
S79,Parthenolide,0
S80,Parthenolide,0
S81,Parthenolide,0
S82,Parthenolide,0
S83,Parthenolide,0
S84,Parthenolide,1
S85,Parthenolide,0
S86,Parthenolide,0
S87,Parthenolide,1
S88,Parthenolide,0
S89,Parthenolide,1
S90,Parthenolide,0
S91,Parthenolide,1
S92,Parthenolide,1
S93,Parthenolide,1
S94,Parthenolide,1
S95,Parthenolide,0
S96,Parthenolide,1
S97,Parthenolide,1
S98,Parthenolide,1
S99,Parthenolide,0
S100,Parthenolide,1
S101,Parthenolide,1
S102,Parthenolide,0
S103,Parthenolide,0
S104,Parthenolide,0
S105,Parthenolide,1
S106,Parthenolide,1
S107,Parthenolide,0
S108,Parthenolide,0
S109,Parthenolide,0
S110,Parthenolide,0
S111,Parthenolide,1
S112,Parthenolide,1
S113,Parthenolide,0
S114,Parthenolide,0
S115,Parthenolide,1
S116,Parthenolide,0
S117,Parthenolide,0
S118,Parthenolide,0
S119,Parthenolide,0
