sample_id,drug,response
S0,Pazopanib,1
S1,Pazopanib,1
S2,Pazopanib,0
S3,Pazopanib,1
S4,Pazopanib,1
S5,Pazopanib,1
S6,Pazopanib,1
S7,Pazopanib,0
S8,Pazopanib,1
S9,Pazopanib,0
S10,Pazopanib,1
S11,Pazopanib,1
S12,Pazopanib,1
S13,Pazopanib,0
S14,Pazopanib,0
S15,Pazopanib,1
S16,Pazopanib,0
S17,Pazopanib,0
S18,Pazopanib,0
S19,Pazopanib,0
S20,Pazopanib,0
S21,Pazopanib,0
S22,Pazopanib,1
S23,Pazopanib,1
S24,Pazopanib,1
S25,Pazopanib,0
S26,Pazopanib,1
S27,Pazopanib,1
S28,Pazopanib,0
S29,Pazopanib,0
S30,Pazopanib,1
S31,Pazopanib,0
S32,Pazopanib,0
S33,Pazopanib,1
S34,Pazopanib,1
S35,Pazopanib,1
S36,Pazopanib,0
S37,Pazopanib,0
S38,Pazopanib,0
S39,Pazopanib,1
S40,Pazopanib,0
S41,Pazopanib,0
S42,Pazopanib,0
S43,Pazopanib,0
S44,Pazopanib,0
S45,Pazopanib,0
S46,Pazopanib,1
S47,Pazopanib,1
S48,Pazopanib,0
S49,Pazopanib,0
S50,Pazopanib,1
S51,Pazopanib,0
S52,Pazopanib,1
S53,Pazopanib,1
S54,Pazopanib,1
S55,Pazopanib,1
S56,Pazopanib,0
S57,Pazopanib,0
S58,Pazopanib,1
S59,Pazopanib,1
S60,Pazopanib,1
S61,Pazopanib,1
S62,Pazopanib,1
S63,Pazopanib,1
S64,Pazopanib,0
S65,Pazopanib,1
S66,Pazopanib,0
S67,Pazopanib,0
S68,Pazopanib,1
S69,Pazopanib,1
S70,Pazopanib,1
S71,Pazopanib,1
S72,Pazopanib,0
S73,Pazopanib,0
S74,Pazopanib,1
S75,Pazopanib,1
S76,Pazopanib,1
S77,Pazopanib,1
S78,Pazopanib,1
S79,Pazopanib,1
S80,Pazopanib,1
S81,Pazopanib,0
S82,Pazopanib,1
S83,Pazopanib,1
S84,Pazopanib,0
S85,Pazopanib,1
S86,Pazopanib,0
S87,Pazopanib,1
S88,Pazopanib,1
S89,Pazopanib,1
S90,Pazopanib,0
S91,Pazopanib,0
S92,Pazopanib,0
S93,Pazopanib,0
S94,Pazopanib,1
S95,Pazopanib,0
S96,Pazopanib,1
S97,Pazopanib,1
S98,Pazopanib,0
S99,Pazopanib,0
S100,Pazopanib,1
S101,Pazopanib,1
S102,Pazopanib,1
S103,Pazopanib,1
S104,Pazopanib,0
S105,Pazopanib,0
S106,Pazopanib,1
S107,Pazopanib,0
S108,Pazopanib,1
S109,Pazopanib,1
S110,Pazopanib,0
S111,Pazopanib,1
S112,Pazopanib,0
S113,Pazopanib,1
S114,Pazopanib,0
S115,Pazopanib,0
S116,Pazopanib,1
S117,Pazopanib,1
S118,Pazopanib,1
S119,Pazopanib,0
