sample_id,drug,response
S0,Piperlongumine,1
S1,Piperlongumine,0
S2,Piperlongumine,1
S3,Piperlongumine,0
S4,Piperlongumine,0
S5,Piperlongumine,1
S6,Piperlongumine,1
S7,Piperlongumine,1
S8,Piperlongumine,1
S9,Piperlongumine,0
S10,Piperlongumine,1
S11,Piperlongumine,1
S12,Piperlongumine,1
S13,Piperlongumine,1
S14,Piperlongumine,0
S15,Piperlongumine,1
S16,Piperlongumine,1
S17,Piperlongumine,1
S18,Piperlongumine,1
S19,Piperlongumine,0
S20,Piperlongumine,1
S21,Piperlongumine,0
S22,Piperlongumine,1
S23,Piperlongumine,0
S24,Piperlongumine,1
S25,Piperlongumine,0
S26,Piperlongumine,1
S27,Piperlongumine,1
S28,Piperlongumine,1
S29,Piperlongumine,0
S30,Piperlongumine,0
S31,Piperlongumine,1
S32,Piperlongumine,0
S33,Piperlongumine,1
S34,Piperlongumine,0
S35,Piperlongumine,0
S36,Piperlongumine,1
S37,Piperlongumine,0
S38,Piperlongumine,1
S39,Piperlongumine,0
S40,Piperlongumine,1
S41,Piperlongumine,1
S42,Piperlongumine,0
S43,Piperlongumine,0
S44,Piperlongumine,1
S45,Piperlongumine,1
S46,Piperlongumine,0
S47,Piperlongumine,0
S48,Piperlongumine,0
S49,Piperlongumine,0
S50,Piperlongumine,1
S51,Piperlongumine,0
S52,Piperlongumine,0
S53,Piperlongumine,0
S54,Piperlongumine,1
S55,Piperlongumine,0
S56,Piperlongumine,0
S57,Piperlongumine,1
S58,Piperlongumine,0
S59,Piperlongumine,1
S60,Piperlongumine,0
S61,Piperlongumine,0
S62,Piperlongumine,0
S63,Piperlongumine,1
S64,Piperlongumine,1
S65,Piperlongumine,1
S66,Piperlongumine,0
S67,Piperlongumine,0
S68,Piperlongumine,0
S69,Piperlongumine,1
S70,Piperlongumine,1
S71,Piperlongumine,1
S72,Piperlongumine,1
S73,Piperlongumine,0
S74,Piperlongumine,0
S75,Piperlongumine,0
S76,Piperlongumine,1
S77,Piperlongumine,1
S78,Piperlongumine,1
S79,Piperlongumine,0
S80,Piperlongumine,0
S81,Piperlongumine,1
S82,Piperlongumine,1
S83,Piperlongumine,1
S84,Piperlongumine,1
S85,Piperlongumine,1
S86,Piperlongumine,1
S87,Piperlongumine,0
S88,Piperlongumine,1
S89,Piperlongumine,0
S90,Piperlongumine,0
S91,Piperlongumine,1
S92,Piperlongumine,1
S93,Piperlongumine,0
S94,Piperlongumine,0
S95,Piperlongumine,0
S96,Piperlongumine,1
S97,Piperlongumine,0
S98,Piperlongumine,1
S99,Piperlongumine,1
S100,Piperlongumine,1
S101,Piperlongumine,0
S102,Piperlongumine,0
S103,Piperlongumine,0
S104,Piperlongumine,1
S105,Piperlongumine,0
S106,Piperlongumine,1
S107,Piperlongumine,1
S108,Piperlongumine,0
S109,Piperlongumine,0
S110,Piperlongumine,1
S111,Piperlongumine,1
S112,Piperlongumine,1
S113,Piperlongumine,0
S114,Piperlongumine,1
S115,Piperlongumine,1
S116,Piperlongumine,1
S117,Piperlongumine,1
S118,Piperlongumine,1
S119,Piperlongumine,1
