sample_id,drug,response
S0,Ruxolitinib,1
S1,Ruxolitinib,1
S2,Ruxolitinib,0
S3,Ruxolitinib,1
S4,Ruxolitinib,1
S5,Ruxolitinib,1
S6,Ruxolitinib,0
S7,Ruxolitinib,0
S8,Ruxolitinib,0
S9,Ruxolitinib,1
S10,Ruxolitinib,1
S11,Ruxolitinib,0
S12,Ruxolitinib,1
S13,Ruxolitinib,0
S14,Ruxolitinib,1
S15,Ruxolitinib,1
S16,Ruxolitinib,0
S17,Ruxolitinib,1
S18,Ruxolitinib,0
S19,Ruxolitinib,0
S20,Ruxolitinib,1
S21,Ruxolitinib,0
S22,Ruxolitinib,1
S23,Ruxolitinib,0
S24,Ruxolitinib,0
S25,Ruxolitinib,1
S26,Ruxolitinib,1
S27,Ruxolitinib,1
S28,Ruxolitinib,0
S29,Ruxolitinib,0
S30,Ruxolitinib,0
S31,Ruxolitinib,1
S32,Ruxolitinib,0
S33,Ruxolitinib,1
S34,Ruxolitinib,1
S35,Ruxolitinib,1
S36,Ruxolitinib,0
S37,Ruxolitinib,0
S38,Ruxolitinib,1
S39,Ruxolitinib,1
S40,Ruxolitinib,1
S41,Ruxolitinib,0
S42,Ruxolitinib,0
S43,Ruxolitinib,1
S44,Ruxolitinib,0
S45,Ruxolitinib,0
S46,Ruxolitinib,1
S47,Ruxolitinib,1
S48,Ruxolitinib,1
S49,Ruxolitinib,1
S50,Ruxolitinib,0
S51,Ruxolitinib,0
S52,Ruxolitinib,1
S53,Ruxolitinib,1
S54,Ruxolitinib,1
S55,Ruxolitinib,0
S56,Ruxolitinib,1
S57,Ruxolitinib,0
S58,Ruxolitinib,0
S59,Ruxolitinib,0
S60,Ruxolitinib,1
S61,Ruxolitinib,1
S62,Ruxolitinib,0
S63,Ruxolitinib,1
S64,Ruxolitinib,1
S65,Ruxolitinib,1
S66,Ruxolitinib,0
S67,Ruxolitinib,1
S68,Ruxolitinib,1
S69,Ruxolitinib,0
S70,Ruxolitinib,1
S71,Ruxolitinib,0
S72,Ruxolitinib,1
S73,Ruxolitinib,0
S74,Ruxolitinib,1
S75,Ruxolitinib,0
S76,Ruxolitinib,1
S77,Ruxolitinib,0
S78,Ruxolitinib,1
S79,Ruxolitinib,0
S80,Ruxolitinib,0
S81,Ruxolitinib,0
S82,Ruxolitinib,1
S83,Ruxolitinib,1
S84,Ruxolitinib,1
S85,Ruxolitinib,1
S86,Ruxolitinib,0
S87,Ruxolitinib,0
S88,Ruxolitinib,1
S89,Ruxolitinib,1
S90,Ruxolitinib,0
S91,Ruxolitinib,0
S92,Ruxolitinib,1
S93,Ruxolitinib,0
S94,Ruxolitinib,0
S95,Ruxolitinib,0
S96,Ruxolitinib,1
S97,Ruxolitinib,1
S98,Ruxolitinib,0
S99,Ruxolitinib,1
S100,Ruxolitinib,1
S101,Ruxolitinib,0
S102,Ruxolitinib,1
S103,Ruxolitinib,1
S104,Ruxolitinib,1
S105,Ruxolitinib,1
S106,Ruxolitinib,0
S107,Ruxolitinib,0
S108,Ruxolitinib,0
S109,Ruxolitinib,0
S110,Ruxolitinib,0
S111,Ruxolitinib,1
S112,Ruxolitinib,1
S113,Ruxolitinib,1
S114,Ruxolitinib,1
S115,Ruxolitinib,1
S116,Ruxolitinib,1
S117,Ruxolitinib,1
S118,Ruxolitinib,1
S119,Ruxolitinib,0
