sample_id,drug,response
S0,SN-38,0
S1,SN-38,1
S2,SN-38,1
S3,SN-38,0
S4,SN-38,1
S5,SN-38,0
S6,SN-38,1
S7,SN-38,0
S8,SN-38,0
S9,SN-38,1
S10,SN-38,0
S11,SN-38,0
S12,SN-38,0
S13,SN-38,1
S14,SN-38,1
S15,SN-38,1
S16,SN-38,0
S17,SN-38,1
S18,SN-38,1
S19,SN-38,0
S20,SN-38,1
S21,SN-38,0
S22,SN-38,1
S23,SN-38,1
S24,SN-38,1
S25,SN-38,1
S26,SN-38,0
S27,SN-38,1
S28,SN-38,1
S29,SN-38,1
S30,SN-38,1
S31,SN-38,0
S32,SN-38,0
S33,SN-38,0
S34,SN-38,0
S35,SN-38,0
S36,SN-38,0
S37,SN-38,1
S38,SN-38,1
S39,SN-38,0
S40,SN-38,0
S41,SN-38,1
S42,SN-38,1
S43,SN-38,1
S44,SN-38,0
S45,SN-38,1
S46,SN-38,1
S47,SN-38,1
S48,SN-38,1
S49,SN-38,1
S50,SN-38,0
S51,SN-38,0
S52,SN-38,1
S53,SN-38,0
S54,SN-38,0
S55,SN-38,1
S56,SN-38,0
S57,SN-38,0
S58,SN-38,0
S59,SN-38,1
S60,SN-38,0
S61,SN-38,1
S62,SN-38,1
S63,SN-38,0
S64,SN-38,0
S65,SN-38,1
S66,SN-38,1
S67,SN-38,1
S68,SN-38,1
S69,SN-38,1
S70,SN-38,1
S71,SN-38,1
S72,SN-38,0
S73,SN-38,0
S74,SN-38,0
S75,SN-38,1
S76,SN-38,0
S77,SN-38,0
S78,SN-38,1
S79,SN-38,1
S80,SN-38,1
S81,SN-38,1
S82,SN-38,1
S83,SN-38,0
S84,SN-38,0
S85,SN-38,0
S86,SN-38,1
S87,SN-38,1
S88,SN-38,1
S89,SN-38,0
S90,SN-38,0
S91,SN-38,1
S92,SN-38,0
S93,SN-38,0
S94,SN-38,0
S95,SN-38,0
S96,SN-38,0
S97,SN-38,1
S98,SN-38,0
S99,SN-38,0
S100,SN-38,1
S101,SN-38,1
S102,SN-38,1
S103,SN-38,0
S104,SN-38,1
S105,SN-38,1
S106,SN-38,1
S107,SN-38,1
S108,SN-38,1
S109,SN-38,1
S110,SN-38,1
S111,SN-38,0
S112,SN-38,1
S113,SN-38,0
S114,SN-38,1
S115,SN-38,1
S116,SN-38,0
S117,SN-38,1
S118,SN-38,0
S119,SN-38,1
