sample_id,drug,response
S0,SNX-2112,1
S1,SNX-2112,0
S2,SNX-2112,0
S3,SNX-2112,0
S4,SNX-2112,0
S5,SNX-2112,1
S6,SNX-2112,1
S7,SNX-2112,1
S8,SNX-2112,1
S9,SNX-2112,0
S10,SNX-2112,0
S11,SNX-2112,1
S12,SNX-2112,1
S13,SNX-2112,0
S14,SNX-2112,0
S15,SNX-2112,1
S16,SNX-2112,0
S17,SNX-2112,1
S18,SNX-2112,0
S19,SNX-2112,1
S20,SNX-2112,1
S21,SNX-2112,0
S22,SNX-2112,0
S23,SNX-2112,0
S24,SNX-2112,0
S25,SNX-2112,0
S26,SNX-2112,1
S27,SNX-2112,0
S28,SNX-2112,1
S29,SNX-2112,1
S30,SNX-2112,0
S31,SNX-2112,1
S32,SNX-2112,1
S33,SNX-2112,1
S34,SNX-2112,1
S35,SNX-2112,1
S36,SNX-2112,1
S37,SNX-2112,1
S38,SNX-2112,1
S39,SNX-2112,0
S40,SNX-2112,1
S41,SNX-2112,0
S42,SNX-2112,1
S43,SNX-2112,1
S44,SNX-2112,0
S45,SNX-2112,1
S46,SNX-2112,0
S47,SNX-2112,1
S48,SNX-2112,1
S49,SNX-2112,1
S50,SNX-2112,1
S51,SNX-2112,0
S52,SNX-2112,1
S53,SNX-2112,1
S54,SNX-2112,1
S55,SNX-2112,0
S56,SNX-2112,1
S57,SNX-2112,0
S58,SNX-2112,0
S59,SNX-2112,1
S60,SNX-2112,0
S61,SNX-2112,0
S62,SNX-2112,1
S63,SNX-2112,0
S64,SNX-2112,0
S65,SNX-2112,0
S66,SNX-2112,0
S67,SNX-2112,1
S68,SNX-2112,0
S69,SNX-2112,0
S70,SNX-2112,1
S71,SNX-2112,1
S72,SNX-2112,1
S73,SNX-2112,1
S74,SNX-2112,0
S75,SNX-2112,1
S76,SNX-2112,0
S77,SNX-2112,0
S78,SNX-2112,1
S79,SNX-2112,0
S80,SNX-2112,1
S81,SNX-2112,0
S82,SNX-2112,0
S83,SNX-2112,1
S84,SNX-2112,1
S85,SNX-2112,0
S86,SNX-2112,1
S87,SNX-2112,1
S88,SNX-2112,1
S89,SNX-2112,1
S90,SNX-2112,0
S91,SNX-2112,1
S92,SNX-2112,1
S93,SNX-2112,1
S94,SNX-2112,0
S95,SNX-2112,1
S96,SNX-2112,0
S97,SNX-2112,1
S98,SNX-2112,0
S99,SNX-2112,1
S100,SNX-2112,0
S101,SNX-2112,0
S102,SNX-2112,1
S103,SNX-2112,0
S104,SNX-2112,0
S105,SNX-2112,1
S106,SNX-2112,1
S107,SNX-2112,1
S108,SNX-2112,1
S109,SNX-2112,1
S110,SNX-2112,1
S111,SNX-2112,1
S112,SNX-2112,0
S113,SNX-2112,0
S114,SNX-2112,0
S115,SNX-2112,0
S116,SNX-2112,1
S117,SNX-2112,1
S118,SNX-2112,0
S119,SNX-2112,1
