sample_id,drug,response
S0,Sorafenib,0
S1,Sorafenib,0
S2,Sorafenib,0
S3,Sorafenib,1
S4,Sorafenib,0
S5,Sorafenib,0
S6,Sorafenib,0
S7,Sorafenib,1
S8,Sorafenib,0
S9,Sorafenib,1
S10,Sorafenib,1
S11,Sorafenib,0
S12,Sorafenib,0
S13,Sorafenib,0
S14,Sorafenib,1
S15,Sorafenib,1
S16,Sorafenib,1
S17,Sorafenib,0
S18,Sorafenib,1
S19,Sorafenib,0
S20,Sorafenib,1
S21,Sorafenib,0
S22,Sorafenib,0
S23,Sorafenib,0
S24,Sorafenib,0
S25,Sorafenib,1
S26,Sorafenib,1
S27,Sorafenib,1
S28,Sorafenib,0
S29,Sorafenib,1
S30,Sorafenib,1
S31,Sorafenib,1
S32,Sorafenib,0
S33,Sorafenib,0
S34,Sorafenib,0
S35,Sorafenib,0
S36,Sorafenib,1
S37,Sorafenib,1
S38,Sorafenib,1
S39,Sorafenib,1
S40,Sorafenib,1
S41,Sorafenib,0
S42,Sorafenib,1
S43,Sorafenib,0
S44,Sorafenib,0
S45,Sorafenib,1
S46,Sorafenib,1
S47,Sorafenib,1
S48,Sorafenib,0
S49,Sorafenib,0
S50,Sorafenib,1
S51,Sorafenib,1
S52,Sorafenib,0
S53,Sorafenib,1
S54,Sorafenib,0
S55,Sorafenib,1
S56,Sorafenib,1
S57,Sorafenib,0
S58,Sorafenib,1
S59,Sorafenib,1
S60,Sorafenib,1
S61,Sorafenib,1
S62,Sorafenib,1
S63,Sorafenib,0
S64,Sorafenib,1
S65,Sorafenib,0
S66,Sorafenib,1
S67,Sorafenib,1
S68,Sorafenib,1
S69,Sorafenib,0
S70,Sorafenib,1
S71,Sorafenib,1
S72,Sorafenib,1
S73,Sorafenib,0
S74,Sorafenib,1
S75,Sorafenib,0
S76,Sorafenib,1
S77,Sorafenib,0
S78,Sorafenib,0
S79,Sorafenib,0
S80,Sorafenib,1
S81,Sorafenib,0
S82,Sorafenib,0
S83,Sorafenib,1
S84,Sorafenib,1
S85,Sorafenib,0
S86,Sorafenib,1
S87,Sorafenib,1
S88,Sorafenib,1
S89,Sorafenib,0
S90,Sorafenib,1
S91,Sorafenib,1
S92,Sorafenib,1
S93,Sorafenib,0
S94,Sorafenib,0
S95,Sorafenib,0
S96,Sorafenib,0
S97,Sorafenib,1
S98,Sorafenib,0
S99,Sorafenib,0
S100,Sorafenib,1
S101,Sorafenib,1
S102,Sorafenib,1
S103,Sorafenib,1
S104,Sorafenib,0
S105,Sorafenib,0
S106,Sorafenib,1
S107,Sorafenib,0
S108,Sorafenib,1
S109,Sorafenib,1
S110,Sorafenib,1
S111,Sorafenib,0
S112,Sorafenib,0
S113,Sorafenib,1
S114,Sorafenib,1
S115,Sorafenib,1
S116,Sorafenib,1
S117,Sorafenib,1
S118,Sorafenib,1
S119,Sorafenib,0
