sample_id,drug,response
S0,TG101348,0
S1,TG101348,0
S2,TG101348,0
S3,TG101348,0
S4,TG101348,1
S5,TG101348,1
S6,TG101348,0
S7,TG101348,0
S8,TG101348,0
S9,TG101348,1
S10,TG101348,0
S11,TG101348,0
S12,TG101348,0
S13,TG101348,1
S14,TG101348,1
S15,TG101348,0
S16,TG101348,0
S17,TG101348,1
S18,TG101348,0
S19,TG101348,0
S20,TG101348,1
S21,TG101348,1
S22,TG101348,0
S23,TG101348,1
S24,TG101348,1
S25,TG101348,1
S26,TG101348,1
S27,TG101348,1
S28,TG101348,1
S29,TG101348,1
S30,TG101348,1
S31,TG101348,1
S32,TG101348,1
S33,TG101348,1
S34,TG101348,0
S35,TG101348,0
S36,TG101348,0
S37,TG101348,1
S38,TG101348,0
S39,TG101348,1
S40,TG101348,1
S41,TG101348,1
S42,TG101348,1
S43,TG101348,0
S44,TG101348,0
S45,TG101348,1
S46,TG101348,1
S47,TG101348,0
S48,TG101348,0
S49,TG101348,0
S50,TG101348,0
S51,TG101348,1
S52,TG101348,0
S53,TG101348,0
S54,TG101348,1
S55,TG101348,1
S56,TG101348,0
S57,TG101348,1
S58,TG101348,1
S59,TG101348,1
S60,TG101348,0
S61,TG101348,0
S62,TG101348,1
S63,TG101348,0
S64,TG101348,1
S65,TG101348,1
S66,TG101348,1
S67,TG101348,1
S68,TG101348,0
S69,TG101348,1
S70,TG101348,1
S71,TG101348,1
S72,TG101348,0
S73,TG101348,1
S74,TG101348,0
S75,TG101348,1
S76,TG101348,0
S77,TG101348,1
S78,TG101348,1
S79,TG101348,0
S80,TG101348,0
S81,TG101348,0
S82,TG101348,1
S83,TG101348,1
S84,TG101348,0
S85,TG101348,0
S86,TG101348,0
S87,TG101348,0
S88,TG101348,1
S89,TG101348,1
S90,TG101348,1
S91,TG101348,1
S92,TG101348,1
S93,TG101348,1
S94,TG101348,1
S95,TG101348,1
S96,TG101348,0
S97,TG101348,0
S98,TG101348,1
S99,TG101348,1
S100,TG101348,0
S101,TG101348,0
S102,TG101348,0
S103,TG101348,1
S104,TG101348,1
S105,TG101348,1
S106,TG101348,1
S107,TG101348,0
S108,TG101348,1
S109,TG101348,0
S110,TG101348,1
S111,TG101348,0
S112,TG101348,1
S113,TG101348,1
S114,TG101348,1
S115,TG101348,0
S116,TG101348,1
S117,TG101348,0
S118,TG101348,0
S119,TG101348,1
