sample_id,drug,response
S0,Temsirolimus,1
S1,Temsirolimus,0
S2,Temsirolimus,0
S3,Temsirolimus,0
S4,Temsirolimus,1
S5,Temsirolimus,0
S6,Temsirolimus,1
S7,Temsirolimus,1
S8,Temsirolimus,1
S9,Temsirolimus,0
S10,Temsirolimus,0
S11,Temsirolimus,1
S12,Temsirolimus,1
S13,Temsirolimus,1
S14,Temsirolimus,1
S15,Temsirolimus,1
S16,Temsirolimus,1
S17,Temsirolimus,1
S18,Temsirolimus,0
S19,Temsirolimus,0
S20,Temsirolimus,1
S21,Temsirolimus,0
S22,Temsirolimus,0
S23,Temsirolimus,0
S24,Temsirolimus,1
S25,Temsirolimus,0
S26,Temsirolimus,1
S27,Temsirolimus,0
S28,Temsirolimus,0
S29,Temsirolimus,0
S30,Temsirolimus,1
S31,Temsirolimus,1
S32,Temsirolimus,0
S33,Temsirolimus,1
S34,Temsirolimus,1
S35,Temsirolimus,1
S36,Temsirolimus,0
S37,Temsirolimus,1
S38,Temsirolimus,1
S39,Temsirolimus,0
S40,Temsirolimus,1
S41,Temsirolimus,1
S42,Temsirolimus,0
S43,Temsirolimus,1
S44,Temsirolimus,1
S45,Temsirolimus,1
S46,Temsirolimus,1
S47,Temsirolimus,1
S48,Temsirolimus,0
S49,Temsirolimus,0
S50,Temsirolimus,1
S51,Temsirolimus,1
S52,Temsirolimus,1
S53,Temsirolimus,0
S54,Temsirolimus,0
S55,Temsirolimus,0
S56,Temsirolimus,0
S57,Temsirolimus,1
S58,Temsirolimus,1
S59,Temsirolimus,1
S60,Temsirolimus,0
S61,Temsirolimus,1
S62,Temsirolimus,1
S63,Temsirolimus,0
S64,Temsirolimus,0
S65,Temsirolimus,1
S66,Temsirolimus,1
S67,Temsirolimus,1
S68,Temsirolimus,0
S69,Temsirolimus,0
S70,Temsirolimus,1
S71,Temsirolimus,1
S72,Temsirolimus,0
S73,Temsirolimus,0
S74,Temsirolimus,1
S75,Temsirolimus,0
S76,Temsirolimus,0
S77,Temsirolimus,0
S78,Temsirolimus,1
S79,Temsirolimus,1
S80,Temsirolimus,0
S81,Temsirolimus,0
S82,Temsirolimus,1
S83,Temsirolimus,0
S84,Temsirolimus,0
S85,Temsirolimus,0
S86,Temsirolimus,0
S87,Temsirolimus,1
S88,Temsirolimus,1
S89,Temsirolimus,0
S90,Temsirolimus,1
S91,Temsirolimus,1
S92,Temsirolimus,1
S93,Temsirolimus,1
S94,Temsirolimus,1
S95,Temsirolimus,0
S96,Temsirolimus,1
S97,Temsirolimus,1
S98,Temsirolimus,0
S99,Temsirolimus,0
S100,Temsirolimus,0
S101,Temsirolimus,1
S102,Temsirolimus,1
S103,Temsirolimus,1
S104,Temsirolimus,1
S105,Temsirolimus,1
S106,Temsirolimus,1
S107,Temsirolimus,1
S108,Temsirolimus,0
S109,Temsirolimus,1
S110,Temsirolimus,0
S111,Temsirolimus,0
S112,Temsirolimus,1
S113,Temsirolimus,1
S114,Temsirolimus,0
S115,Temsirolimus,1
S116,Temsirolimus,1
S117,Temsirolimus,0
S118,Temsirolimus,0
S119,Temsirolimus,0
