sample_id,drug,response
S0,Trametinib,1
S1,Trametinib,0
S2,Trametinib,0
S3,Trametinib,0
S4,Trametinib,1
S5,Trametinib,1
S6,Trametinib,1
S7,Trametinib,0
S8,Trametinib,1
S9,Trametinib,1
S10,Trametinib,1
S11,Trametinib,1
S12,Trametinib,0
S13,Trametinib,1
S14,Trametinib,0
S15,Trametinib,0
S16,Trametinib,0
S17,Trametinib,1
S18,Trametinib,1
S19,Trametinib,1
S20,Trametinib,0
S21,Trametinib,1
S22,Trametinib,1
S23,Trametinib,1
S24,Trametinib,0
S25,Trametinib,0
S26,Trametinib,0
S27,Trametinib,1
S28,Trametinib,0
S29,Trametinib,0
S30,Trametinib,1
S31,Trametinib,1
S32,Trametinib,1
S33,Trametinib,1
S34,Trametinib,0
S35,Trametinib,0
S36,Trametinib,1
S37,Trametinib,0
S38,Trametinib,0
S39,Trametinib,1
S40,Trametinib,1
S41,Trametinib,0
S42,Trametinib,1
S43,Trametinib,0
S44,Trametinib,0
S45,Trametinib,0
S46,Trametinib,1
S47,Trametinib,0
S48,Trametinib,1
S49,Trametinib,0
S50,Trametinib,0
S51,Trametinib,0
S52,Trametinib,1
S53,Trametinib,0
S54,Trametinib,1
S55,Trametinib,0
S56,Trametinib,1
S57,Trametinib,0
S58,Trametinib,1
S59,Trametinib,0
S60,Trametinib,1
S61,Trametinib,1
S62,Trametinib,0
S63,Trametinib,1
S64,Trametinib,1
S65,Trametinib,1
S66,Trametinib,0
S67,Trametinib,0
S68,Trametinib,1
S69,Trametinib,1
S70,Trametinib,1
S71,Trametinib,0
S72,Trametinib,0
S73,Trametinib,0
S74,Trametinib,1
S75,Trametinib,1
S76,Trametinib,0
S77,Trametinib,0
S78,Trametinib,1
S79,Trametinib,0
S80,Trametinib,1
S81,Trametinib,0
S82,Trametinib,1
S83,Trametinib,1
S84,Trametinib,1
S85,Trametinib,0
S86,Trametinib,1
S87,Trametinib,1
S88,Trametinib,1
S89,Trametinib,1
S90,Trametinib,0
S91,Trametinib,0
S92,Trametinib,0
S93,Trametinib,1
S94,Trametinib,1
S95,Trametinib,0
S96,Trametinib,1
S97,Trametinib,1
S98,Trametinib,1
S99,Trametinib,1
S100,Trametinib,1
S101,Trametinib,1
S102,Trametinib,0
S103,Trametinib,1
S104,Trametinib,0
S105,Trametinib,1
S106,Trametinib,1
S107,Trametinib,0
S108,Trametinib,0
S109,Trametinib,1
S110,Trametinib,1
S111,Trametinib,0
S112,Trametinib,0
S113,Trametinib,1
S114,Trametinib,0
S115,Trametinib,0
S116,Trametinib,1
S117,Trametinib,1
S118,Trametinib,1
S119,Trametinib,1
