sample_id,drug,response
S0,VX-680,1
S1,VX-680,1
S2,VX-680,0
S3,VX-680,0
S4,VX-680,1
S5,VX-680,1
S6,VX-680,0
S7,VX-680,0
S8,VX-680,1
S9,VX-680,0
S10,VX-680,0
S11,VX-680,0
S12,VX-680,1
S13,VX-680,1
S14,VX-680,1
S15,VX-680,0
S16,VX-680,1
S17,VX-680,1
S18,VX-680,0
S19,VX-680,0
S20,VX-680,0
S21,VX-680,1
S22,VX-680,1
S23,VX-680,1
S24,VX-680,1
S25,VX-680,1
S26,VX-680,0
S27,VX-680,1
S28,VX-680,0
S29,VX-680,1
S30,VX-680,0
S31,VX-680,0
S32,VX-680,0
S33,VX-680,1
S34,VX-680,0
S35,VX-680,0
S36,VX-680,1
S37,VX-680,1
S38,VX-680,0
S39,VX-680,0
S40,VX-680,0
S41,VX-680,1
S42,VX-680,0
S43,VX-680,1
S44,VX-680,0
S45,VX-680,1
S46,VX-680,1
S47,VX-680,0
S48,VX-680,1
S49,VX-680,0
S50,VX-680,0
S51,VX-680,1
S52,VX-680,1
S53,VX-680,1
S54,VX-680,1
S55,VX-680,1
S56,VX-680,1
S57,VX-680,0
S58,VX-680,0
S59,VX-680,1
S60,VX-680,0
S61,VX-680,0
S62,VX-680,1
S63,VX-680,1
S64,VX-680,1
S65,VX-680,1
S66,VX-680,1
S67,VX-680,1
S68,VX-680,1
S69,VX-680,0
S70,VX-680,0
S71,VX-680,0
S72,VX-680,1
S73,VX-680,1
S74,VX-680,1
S75,VX-680,0
S76,VX-680,1
S77,VX-680,0
S78,VX-680,0
S79,VX-680,1
S80,VX-680,1
S81,VX-680,0
S82,VX-680,1
S83,VX-680,1
S84,VX-680,0
S85,VX-680,0
S86,VX-680,0
S87,VX-680,0
S88,VX-680,0
S89,VX-680,0
S90,VX-680,1
S91,VX-680,1
S92,VX-680,0
S93,VX-680,0
S94,VX-680,1
S95,VX-680,1
S96,VX-680,1
S97,VX-680,0
S98,VX-680,1
S99,VX-680,1
S100,VX-680,0
S101,VX-680,1
S102,VX-680,0
S103,VX-680,0
S104,VX-680,1
S105,VX-680,1
S106,VX-680,1
S107,VX-680,1
S108,VX-680,0
S109,VX-680,0
S110,VX-680,1
S111,VX-680,1
S112,VX-680,1
S113,VX-680,1
S114,VX-680,1
S115,VX-680,1
S116,VX-680,0
S117,VX-680,1
S118,VX-680,0
S119,VX-680,1
