sample_id,drug,response
S0,Vorinostat,1
S1,Vorinostat,0
S2,Vorinostat,0
S3,Vorinostat,1
S4,Vorinostat,0
S5,Vorinostat,0
S6,Vorinostat,0
S7,Vorinostat,1
S8,Vorinostat,0
S9,Vorinostat,1
S10,Vorinostat,0
S11,Vorinostat,1
S12,Vorinostat,0
S13,Vorinostat,0
S14,Vorinostat,1
S15,Vorinostat,1
S16,Vorinostat,1
S17,Vorinostat,1
S18,Vorinostat,1
S19,Vorinostat,1
S20,Vorinostat,1
S21,Vorinostat,1
S22,Vorinostat,1
S23,Vorinostat,1
S24,Vorinostat,0
S25,Vorinostat,1
S26,Vorinostat,0
S27,Vorinostat,1
S28,Vorinostat,0
S29,Vorinostat,0
S30,Vorinostat,1
S31,Vorinostat,0
S32,Vorinostat,1
S33,Vorinostat,1
S34,Vorinostat,0
S35,Vorinostat,0
S36,Vorinostat,1
S37,Vorinostat,1
S38,Vorinostat,1
S39,Vorinostat,0
S40,Vorinostat,0
S41,Vorinostat,1
S42,Vorinostat,1
S43,Vorinostat,0
S44,Vorinostat,0
S45,Vorinostat,1
S46,Vorinostat,0
S47,Vorinostat,0
S48,Vorinostat,0
S49,Vorinostat,0
S50,Vorinostat,0
S51,Vorinostat,1
S52,Vorinostat,1
S53,Vorinostat,1
S54,Vorinostat,1
S55,Vorinostat,1
S56,Vorinostat,1
S57,Vorinostat,1
S58,Vorinostat,1
S59,Vorinostat,1
S60,Vorinostat,1
S61,Vorinostat,0
S62,Vorinostat,0
S63,Vorinostat,0
S64,Vorinostat,0
S65,Vorinostat,1
S66,Vorinostat,1
S67,Vorinostat,0
S68,Vorinostat,1
S69,Vorinostat,1
S70,Vorinostat,1
S71,Vorinostat,1
S72,Vorinostat,0
S73,Vorinostat,0
S74,Vorinostat,1
S75,Vorinostat,0
S76,Vorinostat,1
S77,Vorinostat,0
S78,Vorinostat,0
S79,Vorinostat,1
S80,Vorinostat,0
S81,Vorinostat,1
S82,Vorinostat,0
S83,Vorinostat,0
S84,Vorinostat,0
S85,Vorinostat,1
S86,Vorinostat,1
S87,Vorinostat,1
S88,Vorinostat,1
S89,Vorinostat,0
S90,Vorinostat,1
S91,Vorinostat,0
S92,Vorinostat,0
S93,Vorinostat,1
S94,Vorinostat,1
S95,Vorinostat,1
S96,Vorinostat,1
S97,Vorinostat,0
S98,Vorinostat,0
S99,Vorinostat,1
S100,Vorinostat,1
S101,Vorinostat,0
S102,Vorinostat,1
S103,Vorinostat,1
S104,Vorinostat,1
S105,Vorinostat,0
S106,Vorinostat,1
S107,Vorinostat,1
S108,Vorinostat,1
S109,Vorinostat,1
S110,Vorinostat,0
S111,Vorinostat,0
S112,Vorinostat,0
S113,Vorinostat,0
S114,Vorinostat,0
S115,Vorinostat,0
S116,Vorinostat,0
S117,Vorinostat,1
S118,Vorinostat,1
S119,Vorinostat,1
