sample_id,drug,response
S0,YM155,0
S1,YM155,1
S2,YM155,1
S3,YM155,0
S4,YM155,1
S5,YM155,0
S6,YM155,0
S7,YM155,0
S8,YM155,1
S9,YM155,1
S10,YM155,0
S11,YM155,0
S12,YM155,0
S13,YM155,0
S14,YM155,1
S15,YM155,1
S16,YM155,0
S17,YM155,0
S18,YM155,1
S19,YM155,1
S20,YM155,1
S21,YM155,1
S22,YM155,1
S23,YM155,0
S24,YM155,0
S25,YM155,0
S26,YM155,0
S27,YM155,1
S28,YM155,1
S29,YM155,0
S30,YM155,0
S31,YM155,1
S32,YM155,1
S33,YM155,1
S34,YM155,0
S35,YM155,0
S36,YM155,1
S37,YM155,0
S38,YM155,1
S39,YM155,0
S40,YM155,1
S41,YM155,1
S42,YM155,1
S43,YM155,1
S44,YM155,0
S45,YM155,1
S46,YM155,1
S47,YM155,1
S48,YM155,1
S49,YM155,0
S50,YM155,1
S51,YM155,1
S52,YM155,1
S53,YM155,1
S54,YM155,1
S55,YM155,1
S56,YM155,0
S57,YM155,0
S58,YM155,0
S59,YM155,1
S60,YM155,0
S61,YM155,0
S62,YM155,1
S63,YM155,0
S64,YM155,0
S65,YM155,1
S66,YM155,0
S67,YM155,1
S68,YM155,0
S69,YM155,0
S70,YM155,1
S71,YM155,1
S72,YM155,1
S73,YM155,1
S74,YM155,0
S75,YM155,1
S76,YM155,0
S77,YM155,0
S78,YM155,1
S79,YM155,0
S80,YM155,1
S81,YM155,0
S82,YM155,1
S83,YM155,0
S84,YM155,1
S85,YM155,1
S86,YM155,0
S87,YM155,1
S88,YM155,1
S89,YM155,0
S90,YM155,1
S91,YM155,0
S92,YM155,1
S93,YM155,1
S94,YM155,0
S95,YM155,0
S96,YM155,1
S97,YM155,0
S98,YM155,1
S99,YM155,1
S100,YM155,0
S101,YM155,0
S102,YM155,1
S103,YM155,1
S104,YM155,1
S105,YM155,0
S106,YM155,1
S107,YM155,1
S108,YM155,1
S109,YM155,0
S110,YM155,0
S111,YM155,0
S112,YM155,1
S113,YM155,1
S114,YM155,1
S115,YM155,0
S116,YM155,1
S117,YM155,1
S118,YM155,0
S119,YM155,1
