pathway_id,gene
PW23,G103
PW32,G220
PW41,G114
PW1,G218
PW34,G72
PW25,G329
PW30,G322
PW2,G344
PW23,G203
PW45,G93
PW33,G146
PW31,G384
PW37,G275
PW48,G251
PW28,G80
PW43,G192
PW14,G321
PW45,G133
PW19,G209
PW4,G83
PW13,G99
PW15,G51
PW45,G1
PW39,G254
PW8,G340
PW4,G182
PW32,G146
PW7,G324
PW32,G366
PW47,G89
PW13,G334
PW36,G266
PW13,G12
PW12,G166
PW8,G195
PW13,G295
PW20,G14
PW3,G281
PW26,G378
PW31,G25
PW17,G390
PW48,G118
PW34,G142
PW31,G141
PW35,G206
PW48,G70
PW0,G74
PW27,G291
PW13,G278
PW29,G114
PW32,G163
PW11,G320
PW33,G328
PW38,G351
PW35,G223
PW45,G163
PW17,G298
PW1,G393
PW24,G138
PW16,G155
PW5,G119
PW31,G271
PW48,G69
PW21,G120
PW21,G251
PW45,G278
PW49,G20
PW8,G398
PW18,G353
PW8,G92
PW29,G52
PW39,G282
PW0,G174
PW16,G309
PW47,G311
PW2,G65
PW14,G338
PW26,G315
PW15,G154
PW26,G329
PW33,G261
PW46,G88
PW9,G243
PW11,G65
PW19,G287
PW26,G256
PW16,G56
PW4,G159
PW10,G137
PW48,G244
PW12,G8
PW16,G299
PW15,G78
PW40,G128
PW10,G317
PW10,G218
PW11,G231
PW12,G348
PW36,G175
PW42,G330
PW48,G53
PW44,G341
PW25,G224
PW14,G38
PW48,G250
PW17,G107
PW2,G25
PW25,G246
PW48,G228
PW46,G226
PW1,G249
PW31,G390
PW34,G377
PW38,G383
PW29,G142
PW30,G216
PW36,G160
PW48,G141
PW49,G65
PW12,G4
PW0,G385
PW37,G399
PW16,G326
PW27,G129
PW9,G325
PW11,G3
PW33,G295
PW43,G356
PW3,G108
PW48,G367
PW8,G391
PW44,G130
PW30,G321
PW49,G141
PW33,G168
PW14,G141
PW20,G40
PW43,G23
PW39,G145
PW38,G23
PW11,G170
PW2,G311
PW18,G121
PW29,G384
PW43,G57
PW22,G377
PW2,G264
PW7,G33
PW0,G83
PW5,G12
PW32,G191
PW0,G358
PW43,G383
PW17,G292
PW13,G334
PW37,G231
PW10,G343
PW12,G159
PW49,G150
PW17,G195
PW33,G127
PW33,G348
PW49,G81
PW22,G397
PW1,G295
PW30,G125
PW1,G178
PW40,G96
PW22,G180
PW8,G173
PW19,G71
PW33,G304
PW16,G214
PW40,G172
PW3,G242
PW22,G264
PW28,G171
PW14,G375
PW31,G74
PW9,G359
PW42,G244
PW1,G134
PW17,G233
PW8,G247
PW35,G334
PW14,G186
PW22,G52
PW20,G94
PW43,G271
PW2,G299
PW38,G309
PW6,G302
PW9,G204
PW33,G36
PW10,G270
PW7,G212
PW33,G67
PW39,G102
PW3,G388
PW6,G297
PW45,G199
PW4,G326
PW19,G383
PW1,G351
PW11,G246
PW2,G396
PW37,G18
PW18,G95
PW30,G262
PW45,G117
PW32,G152
PW29,G44
PW28,G63
PW13,G58
PW29,G113
PW1,G378
PW28,G214
PW33,G259
PW36,G244
PW6,G168
PW41,G85
PW21,G283
PW10,G295
PW22,G279
PW40,G205
PW47,G378
PW38,G342
PW28,G158
PW15,G285
PW23,G177
PW20,G208
PW3,G83
PW23,G309
PW28,G117
PW26,G95
PW5,G130
PW35,G211
PW15,G158
PW42,G151
PW5,G86
PW49,G56
PW14,G84
PW14,G137
PW1,G29
PW12,G377
PW45,G320
PW44,G249
PW32,G225
PW8,G303
PW8,G369
PW24,G120
PW7,G327
PW33,G394
PW6,G243
PW0,G177
PW40,G310
PW43,G144
PW35,G110
PW40,G16
PW20,G84
PW47,G92
PW47,G13
PW19,G369
PW17,G96
PW26,G323
PW48,G165
PW28,G80
PW35,G31
PW18,G318
PW33,G232
PW33,G333
PW12,G215
PW34,G315
PW38,G389
PW48,G25
PW11,G176
PW13,G150
PW48,G360
PW3,G43
PW28,G244
PW27,G3
PW2,G99
PW2,G58
PW16,G357
PW23,G214
PW41,G115
PW24,G67
PW36,G52
PW47,G87
PW17,G250
PW22,G68
PW10,G355
PW42,G110
PW15,G19
PW6,G165
PW38,G76
PW49,G246
PW4,G94
PW21,G262
PW5,G378
PW35,G290
PW17,G14
PW38,G237
PW44,G66
PW44,G348
PW42,G341
