pathway_id,gene
PW16,G306
PW1,G373
PW7,G40
PW2,G216
PW31,G291
PW4,G192
PW7,G183
PW4,G250
PW23,G166
PW45,G240
PW11,G310
PW9,G291
PW46,G251
PW42,G229
PW16,G86
PW14,G41
PW2,G264
PW26,G131
PW28,G366
PW36,G254
PW25,G294
PW31,G187
PW37,G71
PW2,G151
PW18,G257
PW48,G306
PW42,G31
PW3,G279
PW15,G309
PW4,G23
PW4,G49
PW19,G14
PW4,G177
PW38,G261
PW10,G351
PW31,G200
PW24,G63
PW46,G285
PW10,G295
PW12,G145
PW29,G18
PW39,G58
PW42,G112
PW26,G224
PW34,G311
PW30,G388
PW8,G249
PW7,G53
PW6,G235
PW17,G78
PW1,G192
PW32,G38
PW34,G126
PW45,G66
PW12,G58
PW23,G274
PW19,G278
PW1,G56
PW15,G362
PW15,G65
PW21,G80
PW7,G76
PW30,G367
PW26,G214
PW13,G389
PW4,G83
PW19,G44
PW33,G72
PW36,G383
PW25,G36
PW28,G209
PW38,G399
PW33,G271
PW40,G388
PW35,G329
PW27,G166
PW29,G291
PW47,G165
PW42,G267
PW36,G228
PW25,G118
PW16,G144
PW37,G66
PW5,G3
PW3,G226
PW38,G131
PW30,G51
PW49,G95
PW28,G37
PW2,G65
PW49,G127
PW27,G12
PW20,G223
PW22,G292
PW43,G66
PW2,G130
PW7,G204
PW30,G225
PW6,G135
PW7,G246
PW33,G367
PW44,G326
PW25,G193
PW19,G290
PW23,G342
PW3,G172
PW1,G69
PW43,G75
PW48,G163
PW40,G264
PW38,G152
PW9,G286
PW24,G387
PW8,G255
PW33,G23
PW46,G267
PW14,G139
PW17,G103
PW29,G16
PW21,G74
PW33,G102
PW10,G353
PW36,G114
PW3,G396
PW25,G110
PW31,G385
PW18,G111
PW8,G349
PW23,G57
PW4,G369
PW3,G193
PW49,G326
PW32,G206
PW14,G348
PW23,G8
PW14,G228
PW21,G287
PW22,G139
PW36,G295
PW42,G378
PW30,G293
PW45,G312
PW3,G208
PW0,G250
PW30,G211
PW34,G107
PW37,G321
PW5,G170
PW45,G231
PW24,G46
PW31,G109
PW38,G133
PW3,G351
PW23,G243
PW35,G298
PW48,G83
PW32,G302
PW48,G281
PW0,G373
PW43,G33
PW0,G47
PW26,G203
PW38,G208
PW14,G51
PW9,G35
PW49,G170
PW35,G88
PW0,G309
PW47,G68
PW26,G347
PW16,G224
PW0,G266
PW19,G120
PW37,G134
PW29,G320
PW39,G278
PW40,G1
PW8,G299
PW48,G141
PW11,G182
PW33,G148
PW23,G396
PW15,G317
PW48,G394
PW31,G281
PW15,G377
PW42,G18
PW14,G81
PW37,G378
PW25,G383
PW37,G52
PW11,G92
PW37,G253
PW0,G68
PW45,G165
PW21,G385
PW44,G227
PW10,G16
PW38,G262
PW22,G150
PW33,G326
PW14,G220
PW11,G189
PW7,G181
PW44,G290
PW30,G75
PW28,G20
PW22,G336
PW14,G264
PW44,G163
PW13,G241
PW43,G378
PW32,G98
PW11,G14
PW26,G198
PW2,G329
PW49,G212
PW17,G132
PW15,G123
PW20,G347
PW6,G271
PW15,G190
PW23,G191
PW38,G160
PW24,G254
PW34,G232
