pathway_id,gene
PW9,G209
PW39,G182
PW23,G257
PW2,G270
PW19,G58
PW9,G243
PW38,G334
PW1,G233
PW22,G52
PW26,G320
PW26,G292
PW31,G359
PW25,G167
PW2,G232
PW40,G368
PW37,G231
PW48,G243
PW48,G331
PW2,G76
PW37,G200
PW27,G341
PW29,G351
PW38,G225
PW45,G128
PW8,G321
PW33,G118
PW17,G88
PW5,G8
PW31,G163
PW16,G84
PW31,G259
PW4,G326
PW41,G295
PW14,G12
PW16,G353
PW1,G389
PW45,G312
PW23,G394
PW2,G127
PW3,G278
PW42,G177
PW49,G272
PW34,G165
PW38,G24
PW6,G393
PW4,G363
PW14,G17
PW23,G29
PW18,G228
PW3,G193
PW5,G266
PW9,G281
PW35,G141
PW21,G233
PW10,G31
PW24,G355
PW33,G227
PW21,G332
PW22,G214
PW11,G58
PW24,G187
PW7,G84
PW40,G370
PW46,G163
PW33,G377
PW45,G44
PW46,G65
PW45,G248
PW28,G16
PW26,G287
PW36,G289
PW27,G282
PW6,G160
PW15,G69
PW30,G4
PW44,G45
PW33,G40
PW38,G180
PW37,G17
PW35,G103
PW32,G261
PW15,G130
PW4,G146
PW2,G385
PW26,G352
PW31,G261
PW42,G165
PW28,G281
PW33,G25
PW45,G85
PW44,G38
PW29,G219
PW20,G52
PW46,G209
PW30,G367
PW35,G363
PW22,G44
PW28,G343
PW33,G67
PW9,G52
PW6,G88
PW34,G221
PW29,G332
PW8,G320
PW5,G67
PW19,G264
PW34,G69
PW32,G338
PW25,G108
PW21,G145
PW22,G165
PW43,G80
PW43,G139
PW48,G102
PW29,G3
PW1,G105
PW1,G225
PW14,G275
PW44,G66
PW14,G333
PW3,G240
PW45,G107
PW28,G47
PW41,G92
PW45,G308
PW31,G100
PW48,G190
PW15,G322
PW46,G117
PW1,G39
PW14,G59
PW35,G62
PW16,G176
PW30,G173
PW4,G99
PW28,G324
PW9,G241
PW49,G166
PW31,G71
PW19,G330
PW30,G378
PW2,G399
PW35,G218
PW29,G237
PW33,G366
PW40,G334
PW36,G386
PW33,G12
PW36,G373
PW11,G290
PW13,G138
PW3,G299
PW44,G249
PW47,G215
PW11,G19
PW45,G329
PW15,G115
PW17,G374
PW13,G159
PW8,G3
PW0,G163
PW47,G15
PW23,G181
PW2,G267
PW21,G221
PW11,G277
PW29,G53
PW21,G212
PW2,G281
PW22,G133
PW3,G68
PW34,G392
PW42,G263
PW44,G243
PW30,G256
PW31,G374
PW30,G63
PW47,G46
PW37,G96
PW13,G207
PW0,G75
PW27,G51
PW15,G250
PW45,G25
PW18,G342
PW30,G334
PW0,G235
PW8,G396
PW21,G354
PW38,G167
PW26,G150
PW38,G125
PW4,G67
PW32,G228
PW4,G339
PW36,G334
PW11,G114
PW14,G393
PW11,G390
PW41,G96
PW1,G348
PW24,G351
PW15,G63
PW4,G55
PW41,G23
PW17,G325
PW11,G335
PW28,G224
PW10,G154
PW9,G329
PW16,G175
PW10,G103
PW26,G117
PW32,G144
PW44,G209
PW14,G119
PW26,G318
PW34,G394
PW8,G214
PW8,G79
PW46,G220
PW30,G381
PW30,G230
PW24,G250
PW15,G247
PW5,G245
PW24,G360
PW36,G308
PW3,G295
PW33,G309
PW8,G180
PW23,G282
PW18,G209
PW28,G172
PW5,G326
PW23,G219
PW29,G165
PW4,G325
PW26,G58
PW17,G231
PW44,G56
PW38,G295
PW0,G333
PW13,G368
PW20,G292
PW15,G198
PW6,G200
PW26,G368
PW14,G67
PW23,G1
PW10,G66
PW38,G229
PW45,G384
PW5,G214
PW20,G227
PW18,G342
PW5,G49
PW45,G283
PW44,G189
PW18,G41
PW34,G145
PW41,G356
PW29,G187
PW26,G327
PW9,G336
PW20,G1
PW37,G386
PW39,G366
PW49,G343
PW10,G51
PW14,G20
PW0,G301
PW36,G311
PW0,G239
PW7,G271
PW20,G279
PW11,G146
PW3,G181
PW20,G199
PW24,G176
PW8,G310
PW45,G70
PW12,G70
PW46,G187
PW33,G56
PW45,G301
PW11,G355
PW36,G323
PW41,G157
PW39,G206
PW35,G250
PW33,G165
PW25,G146
PW29,G16
PW42,G171
PW14,G113
PW49,G76
PW29,G69
PW35,G278
PW15,G237
PW14,G298
PW15,G308
PW33,G153
PW29,G247
PW45,G222
PW8,G83
PW38,G197
PW0,G365
PW16,G40
PW44,G209
PW32,G114
PW19,G158
PW22,G23
PW6,G226
PW14,G157
PW43,G47
PW14,G391
PW31,G244
PW28,G323
PW30,G24
PW18,G73
PW32,G31
PW11,G228
PW41,G146
PW49,G229
PW9,G362
PW24,G36
PW49,G292
PW13,G81
PW35,G204
PW23,G295
PW30,G179
PW24,G156
PW12,G164
PW44,G290
PW38,G192
PW38,G375
PW43,G42
PW36,G47
PW10,G261
PW4,G167
PW8,G281
PW13,G306
PW25,G3
PW43,G373
PW25,G190
PW30,G156
PW12,G310
PW44,G158
PW28,G170
PW30,G378
PW38,G35
PW13,G145
PW32,G111
PW38,G302
PW11,G132
PW13,G148
PW10,G150
PW43,G83
PW0,G255
PW10,G3
PW3,G183
PW45,G141
PW47,G320
PW23,G68
PW42,G8
PW14,G17
PW2,G188
PW8,G369
PW9,G333
PW6,G212
PW43,G388
PW33,G228
PW27,G264
PW48,G315
PW4,G37
PW30,G382
PW25,G342
PW48,G266
PW11,G267
PW24,G395
PW22,G168
PW48,G96
PW24,G24
PW31,G74
PW22,G264
PW11,G139
PW9,G328
PW37,G358
PW0,G259
PW4,G131
PW47,G348
PW43,G159
PW12,G66
PW30,G246
PW14,G131
PW38,G137
PW23,G373
PW1,G387
PW35,G223
PW41,G226
PW10,G313
PW49,G383
PW25,G299
PW39,G315
PW11,G287
PW5,G329
PW48,G254
PW36,G262
PW12,G383
PW9,G176
PW44,G243
PW16,G367
PW22,G110
PW1,G378
PW29,G148
PW15,G78
PW20,G394
PW15,G341
PW2,G84
PW12,G35
PW25,G271
PW35,G13
PW48,G350
PW13,G377
PW46,G309
PW20,G283
PW3,G271
PW25,G367
PW26,G309
PW46,G242
PW14,G155
PW14,G383
PW35,G128
PW14,G369
PW14,G284
PW17,G274
PW27,G74
PW35,G43
PW3,G294
PW19,G129
PW26,G192
PW20,G366
PW1,G74
PW1,G320
PW40,G38
PW26,G295
PW40,G327
PW8,G19
PW34,G360
PW7,G132
PW42,G142
PW26,G133
PW17,G119
PW26,G278
PW31,G112
PW28,G196
PW2,G316
PW37,G253
PW32,G371
PW17,G336
PW21,G396
PW8,G266
PW0,G262
PW15,G390
PW9,G257
PW10,G267
PW17,G250
PW48,G223
PW4,G273
PW34,G251
PW20,G123
PW7,G152
PW39,G383
PW28,G318
PW17,G244
PW10,G25
PW23,G132
PW0,G172
PW37,G379
PW45,G388
PW29,G383
PW2,G111
PW16,G180
PW46,G3
PW11,G355
PW37,G72
PW19,G348
PW19,G280
PW29,G148
PW7,G384
PW3,G168
PW29,G362
PW37,G65
PW9,G298
PW42,G311
PW17,G57
PW13,G161
PW4,G47
PW15,G157
PW17,G279
PW35,G306
PW35,G66
PW41,G367
PW23,G124
PW27,G238
PW36,G332
PW32,G49
PW47,G153
PW23,G244
PW36,G159
PW13,G214
PW34,G243
PW29,G155
PW47,G356
PW23,G397
PW40,G369
PW22,G125
PW3,G250
PW22,G51
PW24,G102
PW26,G262
PW2,G220
PW4,G142
PW40,G295
PW2,G128
PW31,G333
PW2,G293
PW2,G127
PW32,G216
PW7,G321
PW37,G87
PW35,G137
PW0,G147
PW49,G227
PW5,G333
PW17,G182
PW47,G351
PW17,G277
PW25,G328
PW9,G380
PW14,G66
PW12,G347
PW45,G110
PW22,G181
PW13,G58
PW16,G193
PW45,G203
PW18,G251
PW18,G53
PW3,G281
PW44,G118
PW46,G191
PW27,G377
PW28,G28
PW37,G86
PW31,G14
PW22,G396
PW4,G254
PW26,G132
PW37,G299
PW15,G383
PW11,G195
PW11,G203
PW18,G378
PW16,G33
PW2,G180
PW33,G252
PW3,G109
PW48,G341
PW8,G280
PW17,G94
PW12,G238
PW1,G62
PW22,G92
PW31,G98
PW9,G312
PW43,G320
PW17,G253
PW25,G14
PW16,G398
PW8,G193
PW9,G295
PW3,G271
PW6,G221
PW37,G312
PW20,G33
PW19,G363
PW39,G25
PW24,G13
PW48,G371
PW48,G90
PW1,G174
PW19,G342
PW32,G215
PW36,G186
PW27,G204
PW46,G163
PW29,G244
PW28,G321
PW27,G303
PW36,G58
PW48,G122
PW1,G65
PW42,G334
PW14,G191
PW24,G197
PW18,G343
PW29,G373
PW40,G153
PW17,G376
PW26,G116
PW26,G92
PW38,G312
PW34,G82
PW39,G93
PW37,G305
PW45,G315
PW29,G31
PW8,G89
PW27,G120
PW17,G20
PW12,G142
PW16,G105
PW17,G258
PW15,G381
PW16,G344
PW9,G196
PW42,G151
PW7,G10
PW38,G347
PW24,G31
PW4,G220
PW12,G58
PW2,G337
PW18,G351
PW4,G74
PW26,G279
PW3,G135
PW46,G99
PW28,G94
PW31,G201
PW26,G91
PW19,G224
PW18,G299
PW7,G49
PW21,G294
PW23,G14
PW40,G133
PW37,G175
PW49,G393
PW34,G330
PW32,G341
PW40,G340
PW41,G160
PW44,G385
PW11,G282
PW16,G286
PW44,G261
PW25,G176
PW36,G328
PW19,G302
PW9,G75
PW36,G122
PW34,G103
PW26,G223
PW38,G382
PW0,G289
PW47,G336
PW22,G83
PW2,G165
PW39,G115
PW35,G154
PW15,G24
PW44,G85
PW33,G338
PW17,G80
PW43,G103
PW38,G277
PW15,G330
PW0,G93
PW31,G14
PW13,G18
PW40,G126
PW44,G172
PW34,G38
PW13,G189
PW20,G340
PW42,G255
PW20,G177
PW29,G378
PW37,G16
PW25,G244
PW37,G130
PW25,G349
PW49,G326
PW38,G117
PW4,G222
PW41,G134
PW43,G32
PW18,G247
PW21,G393
PW33,G296
PW21,G224
PW30,G285
PW40,G318
PW36,G251
PW14,G3
PW29,G291
PW33,G169
PW31,G41
PW28,G33
PW12,G155
PW45,G28
PW28,G16
PW13,G307
PW0,G125
PW33,G121
PW33,G318
PW41,G95
PW22,G366
PW29,G125
PW43,G237
PW6,G377
PW33,G306
PW24,G171
PW1,G247
PW24,G141
PW22,G18
PW7,G83
PW32,G189
PW15,G271
PW5,G283
PW41,G232
PW19,G302
PW33,G30
PW43,G345
PW38,G299
PW30,G270
PW4,G170
PW48,G274
PW3,G205
PW48,G158
PW22,G144
PW32,G204
PW31,G327
PW39,G386
PW27,G206
PW30,G338
PW36,G246
PW46,G120
PW43,G172
PW4,G114
PW9,G231
PW12,G108
PW10,G285
PW44,G95
PW20,G203
PW16,G107
PW18,G195
PW38,G328
PW36,G160
PW9,G58
PW19,G287
PW12,G274
PW1,G396
PW49,G148
PW6,G267
PW8,G191
PW9,G40
PW48,G103
PW48,G398
PW11,G208
PW7,G64
PW15,G37
PW36,G134
PW30,G361
PW28,G166
PW13,G291
PW48,G152
PW26,G11
PW44,G87
PW15,G144
PW34,G304
PW6,G275
PW22,G168
PW6,G59
PW33,G211
PW0,G244
PW42,G317
PW14,G109
PW39,G361
PW45,G135
PW13,G245
PW15,G228
PW21,G340
PW14,G226
PW47,G232
PW35,G178
PW0,G270
PW19,G290
PW0,G297
PW49,G303
PW19,G246
PW18,G355
PW40,G47
PW5,G119
PW35,G117
PW0,G208
PW39,G110
PW19,G346
PW17,G373
PW7,G208
PW43,G88
PW8,G131
PW7,G192
PW35,G385
PW23,G257
PW48,G141
PW48,G304
PW6,G396
PW6,G244
PW0,G218
