pathway_id,gene
PW34,G323
PW11,G82
PW30,G279
PW7,G158
PW47,G142
PW36,G58
PW23,G274
PW19,G198
PW9,G331
PW42,G267
PW26,G126
PW43,G62
PW9,G231
PW44,G396
PW3,G278
PW29,G66
PW23,G32
PW20,G250
PW41,G351
PW4,G87
PW4,G95
PW2,G396
PW23,G259
PW26,G141
PW0,G240
PW34,G337
PW43,G386
PW25,G30
PW19,G292
PW36,G175
PW47,G180
PW32,G281
PW49,G228
PW31,G181
PW45,G159
PW6,G380
PW37,G212
PW37,G65
PW40,G94
PW30,G200
PW1,G102
PW48,G388
PW36,G193
PW32,G342
PW11,G189
PW15,G103
PW35,G256
PW37,G390
PW36,G287
PW20,G175
PW4,G304
PW10,G326
PW15,G87
PW20,G103
PW23,G226
PW22,G209
PW15,G373
PW9,G215
PW23,G142
PW36,G308
PW2,G153
PW2,G70
PW1,G96
PW29,G321
PW12,G85
PW9,G141
PW3,G237
PW48,G132
PW27,G124
PW33,G67
PW10,G282
PW4,G31
PW0,G180
PW7,G270
PW29,G158
PW0,G339
PW31,G191
PW29,G309
PW7,G226
PW11,G286
PW33,G283
PW31,G204
PW28,G86
PW45,G267
PW46,G363
PW13,G8
PW48,G146
PW30,G287
PW47,G59
PW6,G278
PW17,G346
PW13,G241
PW0,G366
PW40,G298
PW18,G56
PW29,G144
PW6,G131
PW19,G1
PW31,G193
PW38,G67
PW22,G368
PW40,G347
PW39,G200
PW20,G330
PW10,G377
PW33,G373
PW8,G366
PW20,G267
PW14,G94
PW47,G368
PW38,G218
PW15,G324
PW14,G355
PW18,G292
PW32,G152
PW28,G374
PW49,G183
PW30,G307
PW15,G295
PW9,G187
PW14,G312
PW11,G89
PW8,G247
PW24,G299
PW21,G171
PW21,G209
PW3,G371
PW36,G251
PW27,G334
PW26,G219
PW48,G192
PW3,G131
PW17,G301
PW6,G325
PW48,G157
PW35,G216
PW4,G308
PW35,G395
PW8,G105
PW26,G166
PW33,G229
PW17,G141
PW12,G351
PW14,G360
PW26,G207
PW20,G352
PW33,G78
PW3,G111
PW42,G245
PW3,G201
PW29,G230
PW13,G114
PW33,G375
PW35,G209
PW46,G28
PW29,G84
PW25,G244
PW22,G139
PW10,G365
PW37,G325
PW34,G161
PW8,G174
PW49,G394
PW34,G227
PW24,G118
PW48,G13
PW36,G160
PW12,G398
PW35,G355
PW18,G170
PW13,G93
PW2,G352
PW22,G338
PW4,G328
PW39,G381
PW25,G189
PW36,G199
PW6,G227
PW25,G139
PW8,G18
PW17,G323
PW38,G281
PW33,G320
PW2,G336
PW42,G58
PW41,G70
PW20,G186
PW42,G294
PW33,G116
PW21,G332
PW3,G397
PW44,G49
PW35,G91
PW9,G369
PW11,G172
PW30,G47
PW20,G246
PW31,G309
PW26,G159
PW21,G393
PW33,G119
PW3,G282
PW15,G225
PW36,G316
PW39,G290
PW25,G329
PW44,G373
PW35,G165
PW23,G318
PW31,G135
PW25,G25
PW30,G114
PW3,G344
PW39,G378
PW44,G203
PW16,G132
PW27,G122
PW26,G244
PW36,G214
PW6,G204
PW19,G40
PW15,G182
PW46,G133
PW45,G39
PW14,G127
PW22,G289
PW37,G262
PW9,G271
PW46,G94
PW21,G31
PW43,G336
PW48,G90
PW22,G1
PW7,G163
PW37,G65
PW12,G74
PW37,G49
PW19,G383
PW2,G362
PW39,G293
PW29,G92
PW23,G264
PW17,G181
PW14,G221
PW7,G192
PW31,G280
PW34,G84
PW24,G373
PW15,G348
PW19,G3
PW2,G333
PW36,G318
PW45,G334
PW30,G302
PW46,G306
PW0,G205
PW17,G52
PW14,G68
PW16,G308
PW3,G232
PW48,G167
PW15,G379
PW16,G145
PW20,G80
PW44,G181
PW8,G348
PW48,G264
PW45,G190
PW11,G84
PW44,G253
PW35,G164
PW9,G257
PW26,G165
PW15,G392
PW40,G109
PW26,G378
PW5,G335
PW45,G223
PW38,G342
PW28,G15
PW18,G150
PW41,G228
PW35,G74
PW17,G148
PW5,G145
PW14,G102
PW23,G271
PW26,G41
PW37,G155
PW25,G214
PW33,G51
PW4,G12
PW37,G146
PW35,G69
PW48,G69
PW10,G168
PW5,G63
PW12,G331
PW1,G385
PW19,G220
PW7,G49
PW0,G193
PW32,G281
PW33,G320
PW41,G16
PW25,G291
PW34,G297
PW20,G243
PW33,G88
PW7,G358
PW16,G229
PW7,G334
PW45,G114
PW17,G58
PW0,G14
PW30,G35
PW11,G246
PW35,G119
PW12,G88
PW47,G233
PW28,G83
PW17,G258
PW15,G245
PW5,G195
PW10,G277
PW26,G188
PW44,G310
PW43,G108
PW3,G191
PW8,G377
PW41,G333
PW18,G335
PW15,G131
PW18,G144
PW45,G250
PW21,G99
PW8,G321
PW29,G250
PW38,G305
PW30,G163
PW43,G27
PW42,G278
PW4,G58
PW40,G304
PW13,G369
PW14,G249
PW0,G182
PW49,G115
PW34,G222
PW24,G127
PW7,G190
PW11,G235
PW17,G223
PW35,G361
PW46,G277
PW12,G369
PW20,G322
PW31,G243
PW34,G95
PW10,G64
PW45,G291
PW46,G57
PW47,G232
PW17,G121
PW2,G312
PW28,G165
PW37,G157
PW38,G177
PW48,G53
PW31,G65
PW8,G378
PW33,G110
PW41,G137
PW0,G292
PW33,G368
PW33,G248
PW11,G382
PW38,G238
PW13,G6
PW8,G196
PW17,G362
PW34,G170
PW29,G44
PW29,G303
PW22,G252
PW9,G125
PW19,G291
PW37,G211
PW38,G107
PW25,G341
PW13,G376
PW24,G383
PW33,G172
PW17,G14
PW0,G1
PW44,G187
PW14,G47
PW28,G167
PW40,G75
PW16,G225
PW5,G270
PW22,G145
PW37,G275
PW36,G387
PW23,G109
PW9,G329
PW32,G4
PW4,G13
PW41,G338
PW23,G110
PW18,G66
PW23,G99
PW38,G3
PW28,G148
PW38,G4
PW11,G71
PW14,G42
PW18,G176
PW22,G119
PW39,G146
PW44,G173
PW36,G178
PW38,G306
PW4,G220
PW0,G327
PW45,G261
PW15,G169
PW46,G311
PW2,G108
PW0,G25
PW17,G393
PW15,G189
PW34,G179
PW44,G301
PW8,G353
PW37,G396
PW8,G232
PW38,G176
PW1,G55
PW46,G299
PW4,G254
PW47,G315
PW43,G333
PW13,G247
PW32,G125
PW45,G327
PW48,G24
PW45,G105
PW0,G29
PW11,G360
PW24,G378
PW43,G92
PW4,G33
PW23,G47
PW11,G246
PW29,G112
PW17,G47
PW15,G228
PW16,G98
PW24,G290
PW38,G295
PW6,G85
PW48,G287
PW27,G47
PW49,G52
PW5,G354
PW4,G279
PW10,G341
PW12,G203
PW12,G227
PW22,G244
PW33,G343
PW9,G180
PW16,G351
PW29,G133
PW11,G33
PW23,G267
PW15,G132
PW45,G295
