pathway_id,gene
PW1,G291
PW49,G209
PW12,G378
PW7,G150
PW35,G171
PW23,G127
PW34,G25
PW11,G109
PW29,G114
PW44,G299
PW45,G208
PW5,G250
PW49,G285
PW13,G35
PW30,G167
PW46,G133
PW2,G6
PW39,G392
PW37,G33
PW18,G281
PW24,G333
PW29,G341
PW21,G313
PW17,G203
PW10,G218
PW42,G33
PW12,G347
PW20,G228
PW15,G340
PW4,G340
PW37,G238
PW6,G262
PW43,G312
PW26,G248
PW48,G331
PW29,G93
PW7,G200
PW41,G58
PW36,G171
PW29,G20
PW15,G249
PW6,G118
PW9,G47
PW6,G8
PW2,G85
PW30,G92
PW34,G166
PW41,G203
PW24,G351
PW9,G330
PW27,G244
PW21,G252
PW4,G393
PW18,G175
PW26,G187
PW37,G256
PW25,G197
PW13,G137
PW37,G24
PW31,G332
PW19,G314
PW14,G135
PW3,G355
PW22,G146
PW48,G88
PW48,G320
PW0,G285
PW28,G45
PW13,G92
PW38,G47
PW26,G306
PW33,G65
PW14,G155
PW44,G312
PW10,G91
PW34,G68
PW35,G229
PW6,G180
PW47,G355
PW19,G368
PW19,G3
PW11,G172
PW39,G110
PW25,G31
PW11,G181
PW46,G39
PW21,G384
PW42,G159
PW20,G355
PW11,G168
PW11,G132
PW16,G199
PW21,G193
PW28,G204
PW22,G347
PW30,G155
PW14,G250
PW28,G59
PW45,G249
PW25,G329
PW8,G62
PW14,G352
PW31,G67
PW11,G301
PW28,G88
PW48,G316
PW44,G360
PW26,G308
PW17,G31
PW37,G359
PW4,G87
PW22,G240
PW10,G244
PW44,G342
PW9,G73
PW26,G278
PW6,G87
PW19,G381
PW37,G274
PW31,G351
PW33,G169
PW40,G51
PW31,G212
PW14,G62
PW28,G174
PW38,G227
PW5,G164
PW11,G88
PW33,G342
PW6,G378
PW11,G325
PW32,G279
PW2,G232
PW30,G309
PW15,G193
PW46,G31
PW15,G207
PW20,G180
PW34,G304
PW41,G331
PW25,G191
PW3,G99
PW29,G124
PW32,G137
PW22,G315
PW28,G154
PW26,G146
PW24,G52
PW8,G33
PW12,G125
PW4,G172
PW49,G4
PW35,G125
PW48,G226
PW22,G333
PW29,G396
PW1,G245
PW43,G160
PW38,G362
PW3,G241
PW38,G301
PW1,G74
PW9,G219
PW11,G83
PW18,G141
PW15,G251
PW25,G201
PW2,G348
PW14,G67
PW40,G231
PW40,G334
PW31,G307
PW21,G227
PW8,G369
PW11,G328
PW8,G377
PW47,G13
PW11,G3
PW35,G80
PW35,G237
PW36,G258
PW38,G189
PW31,G153
PW19,G333
PW48,G333
PW37,G257
PW43,G214
PW12,G181
PW29,G94
PW3,G342
PW20,G379
PW17,G308
PW2,G44
PW20,G204
PW8,G197
PW45,G55
PW13,G373
PW19,G13
PW14,G165
PW5,G317
PW0,G394
PW21,G214
PW18,G306
PW22,G218
PW32,G18
PW29,G142
PW36,G310
PW38,G247
PW4,G244
PW31,G176
PW30,G112
PW9,G24
PW9,G369
PW20,G328
PW39,G103
PW27,G129
PW3,G114
PW14,G130
PW42,G117
PW30,G274
PW1,G278
PW19,G225
PW36,G306
PW14,G366
PW41,G378
PW17,G58
PW13,G150
PW48,G399
PW35,G221
PW36,G229
PW3,G83
PW33,G90
PW18,G290
PW35,G88
PW43,G386
PW47,G361
PW35,G43
PW27,G178
PW45,G100
PW23,G375
PW33,G78
PW0,G93
PW11,G85
PW3,G262
PW10,G302
PW37,G273
PW19,G17
PW45,G117
PW29,G181
PW45,G59
PW40,G357
PW38,G142
PW44,G373
PW34,G384
PW26,G299
PW33,G244
PW35,G255
PW43,G3
PW23,G130
PW23,G12
PW32,G96
PW33,G103
PW36,G193
PW22,G324
PW27,G196
PW18,G222
PW40,G28
PW30,G167
PW14,G398
PW13,G12
PW13,G226
PW45,G315
PW25,G250
PW8,G168
PW12,G189
PW44,G176
PW21,G51
PW3,G270
PW26,G107
PW38,G128
PW41,G1
PW31,G336
PW20,G209
PW43,G168
PW24,G245
PW18,G309
PW0,G271
PW21,G94
PW2,G280
PW23,G293
PW11,G119
PW7,G374
PW2,G362
PW26,G386
PW0,G232
PW33,G172
PW27,G341
PW13,G373
PW37,G389
PW10,G76
PW12,G49
PW44,G369
PW9,G377
PW11,G390
PW22,G24
PW7,G98
PW39,G318
PW22,G287
PW43,G38
PW25,G378
PW31,G257
PW17,G318
PW47,G47
PW19,G145
PW28,G321
PW35,G70
PW30,G254
PW3,G19
PW42,G295
PW0,G343
PW46,G103
PW30,G192
PW32,G156
PW22,G82
PW26,G303
PW45,G28
PW25,G177
PW40,G323
PW25,G233
PW44,G282
PW29,G58
PW42,G183
PW14,G277
PW31,G70
PW47,G246
PW32,G141
PW9,G209
PW46,G332
PW12,G179
PW7,G294
PW46,G264
PW15,G270
PW36,G225
PW15,G20
PW42,G329
PW19,G295
PW33,G259
PW36,G157
PW5,G32
PW0,G338
PW6,G250
PW27,G158
PW41,G49
PW16,G312
PW32,G353
PW23,G167
PW18,G242
PW43,G158
PW33,G180
PW40,G281
PW24,G49
PW44,G105
PW45,G360
PW15,G141
PW22,G368
PW48,G115
PW13,G170
PW3,G176
PW26,G206
