pathway_id,gene
PW0,G190
PW0,G240
PW0,G397
PW0,G349
PW0,G189
PW0,G435
PW0,G70
PW0,G93
PW0,G510
PW0,G472
PW0,G449
PW0,G436
PW0,G65
PW0,G157
PW1,G546
PW1,G57
PW1,G580
PW1,G388
PW1,G220
PW1,G152
PW1,G157
PW1,G356
PW1,G526
PW1,G107
PW1,G240
PW1,G525
PW1,G188
PW1,G258
PW1,G95
PW1,G211
PW1,G61
PW1,G337
PW1,G173
PW1,G465
PW1,G216
PW2,G60
PW2,G482
PW2,G228
PW2,G506
PW2,G59
PW2,G516
PW2,G100
PW2,G366
PW2,G587
PW2,G63
PW2,G256
PW2,G52
PW2,G485
PW2,G8
PW2,G412
PW2,G331
PW2,G80
PW2,G248
PW2,G564
PW2,G187
PW2,G273
PW3,G304
PW3,G31
PW3,G199
PW3,G55
PW3,G390
PW3,G250
PW3,G60
PW3,G383
PW3,G263
PW3,G336
PW3,G343
PW3,G175
PW3,G51
PW3,G589
PW3,G563
PW3,G442
PW4,G427
PW4,G421
PW4,G142
PW4,G333
PW4,G25
PW4,G312
PW4,G462
PW4,G554
PW4,G311
PW4,G203
PW4,G62
PW4,G447
PW4,G8
PW4,G503
PW5,G292
PW5,G405
PW5,G8
PW5,G370
PW5,G287
PW5,G373
PW5,G435
PW5,G51
PW5,G34
PW5,G235
PW5,G159
PW5,G125
PW5,G41
PW5,G99
PW5,G367
PW6,G220
PW6,G125
PW6,G353
PW6,G201
PW6,G63
PW6,G445
PW6,G57
PW6,G405
PW6,G217
PW6,G91
PW7,G124
PW7,G12
PW7,G224
PW7,G222
PW7,G148
PW7,G588
PW7,G333
PW7,G591
PW7,G575
PW7,G207
PW7,G139
PW7,G191
PW7,G93
PW7,G0
PW7,G113
PW7,G173
PW7,G413
PW8,G7
PW8,G340
PW8,G36
PW8,G295
PW8,G489
PW8,G480
PW8,G389
PW8,G312
PW8,G94
PW8,G26
PW8,G361
PW8,G248
PW8,G419
PW8,G422
PW9,G512
PW9,G123
PW9,G474
PW9,G81
PW9,G148
PW9,G7
PW9,G527
PW9,G371
PW9,G322
PW9,G297
PW9,G405
PW9,G247
PW9,G558
PW9,G348
PW9,G165
PW9,G117
PW9,G507
PW9,G141
PW9,G475
PW9,G237
PW9,G383
PW9,G582
PW9,G36
PW10,G442
PW10,G224
PW10,G344
PW10,G225
PW10,G28
PW10,G538
PW10,G302
PW10,G297
PW10,G572
PW10,G105
PW10,G304
PW10,G546
PW10,G214
PW10,G176
PW10,G369
PW10,G101
PW10,G47
PW10,G31
PW10,G517
PW10,G299
PW10,G201
PW10,G216
PW11,G32
PW11,G129
PW11,G202
PW11,G147
PW11,G120
PW11,G316
PW11,G428
PW11,G12
PW11,G225
PW11,G493
PW11,G118
PW11,G348
PW11,G108
PW12,G518
PW12,G339
PW12,G523
PW12,G527
PW12,G300
PW12,G269
PW12,G551
PW12,G124
PW12,G410
PW12,G184
PW12,G430
PW12,G62
PW12,G2
PW12,G162
PW12,G513
PW12,G324
PW12,G457
PW12,G583
PW12,G246
PW13,G451
PW13,G48
PW13,G232
PW13,G374
PW13,G118
PW13,G411
PW13,G548
PW13,G120
PW13,G352
PW13,G468
PW13,G94
PW13,G452
PW13,G171
PW13,G492
PW13,G60
PW13,G557
PW13,G403
PW13,G61
PW13,G163
PW13,G93
PW13,G27
PW13,G319
PW13,G253
PW14,G406
PW14,G333
PW14,G323
PW14,G510
PW14,G545
PW14,G146
PW14,G546
PW14,G292
PW14,G349
PW14,G576
PW14,G97
PW14,G431
PW14,G60
PW14,G238
PW14,G508
PW14,G491
PW14,G257
PW14,G361
PW14,G331
PW14,G35
PW14,G519
PW14,G170
PW14,G213
PW15,G411
PW15,G133
PW15,G190
PW15,G479
PW15,G38
PW15,G10
PW15,G41
PW15,G62
PW15,G331
PW15,G281
PW15,G49
PW15,G91
PW15,G573
PW15,G588
PW15,G173
PW15,G291
PW15,G476
PW15,G123
PW15,G322
PW15,G333
PW15,G126
PW15,G178
PW15,G450
PW15,G489
PW16,G473
PW16,G538
PW16,G288
PW16,G146
PW16,G518
PW16,G211
PW16,G69
PW16,G506
PW16,G98
PW16,G199
PW16,G426
PW17,G293
PW17,G116
PW17,G126
PW17,G113
PW17,G480
PW17,G319
PW17,G553
PW17,G317
PW17,G460
PW17,G148
PW17,G519
PW17,G459
PW17,G558
PW17,G202
PW17,G584
PW17,G515
PW17,G42
PW17,G467
PW17,G526
PW17,G412
PW17,G209
PW17,G137
PW18,G348
PW18,G9
PW18,G35
PW18,G234
PW18,G433
PW18,G55
PW18,G504
PW18,G98
PW18,G570
PW18,G574
PW18,G44
PW18,G252
PW19,G213
PW19,G65
PW19,G188
PW19,G171
PW19,G526
PW19,G564
PW19,G127
PW19,G332
PW19,G152
PW19,G510
PW19,G355
PW19,G592
PW19,G408
PW19,G33
PW19,G395
PW19,G17
PW19,G259
