pathway_id,gene
PW1,G258
PW27,G99
PW13,G66
PW27,G387
PW10,G153
PW46,G383
PW24,G150
PW37,G177
PW37,G110
PW33,G163
PW38,G73
PW43,G378
PW45,G227
PW23,G352
PW37,G1
PW29,G371
PW1,G110
PW41,G49
PW8,G66
PW43,G297
PW2,G92
PW25,G59
PW25,G344
PW36,G115
PW8,G341
PW13,G160
PW10,G376
PW31,G323
PW20,G109
PW0,G47
PW16,G318
PW30,G63
PW36,G237
PW11,G219
PW16,G396
PW9,G16
PW26,G277
PW20,G380
PW49,G204
PW17,G132
PW36,G148
PW26,G156
PW26,G23
PW48,G32
PW46,G117
PW22,G346
PW8,G96
PW22,G16
PW32,G144
PW22,G23
PW14,G168
PW0,G155
PW46,G291
PW27,G386
PW42,G345
PW41,G396
PW9,G209
PW0,G257
PW4,G160
PW34,G214
PW30,G222
PW45,G301
PW15,G17
PW30,G133
PW8,G243
PW11,G335
PW14,G247
PW26,G173
PW3,G153
PW24,G103
PW38,G208
PW44,G263
PW26,G19
PW35,G165
PW5,G45
PW33,G337
PW36,G122
PW8,G334
PW32,G14
PW48,G128
PW37,G251
PW30,G221
PW3,G367
PW33,G25
PW16,G295
PW34,G351
PW2,G209
PW8,G250
PW0,G253
PW14,G176
PW44,G44
PW11,G166
PW42,G58
PW48,G56
PW36,G114
PW16,G385
PW1,G366
PW32,G348
PW25,G278
PW26,G189
PW38,G270
PW49,G214
PW45,G308
PW45,G244
PW46,G103
PW45,G257
PW31,G74
PW40,G228
PW18,G261
PW46,G41
PW3,G214
PW42,G195
PW2,G46
PW45,G383
PW1,G138
PW49,G196
PW24,G175
PW14,G368
PW10,G266
PW43,G12
PW2,G254
PW1,G335
PW30,G367
PW42,G220
PW1,G92
PW23,G80
PW10,G226
PW4,G361
PW25,G4
PW29,G247
PW37,G198
PW49,G35
PW41,G132
PW15,G243
PW35,G240
PW40,G145
PW18,G200
PW11,G166
PW38,G98
PW14,G204
PW36,G47
PW36,G283
PW21,G393
PW47,G25
PW33,G171
PW22,G176
PW49,G154
PW35,G304
PW29,G237
PW27,G122
PW32,G261
PW5,G90
PW19,G302
PW16,G399
PW3,G159
PW33,G228
PW38,G329
PW4,G139
PW32,G182
PW39,G176
PW45,G52
PW44,G366
PW27,G145
PW30,G275
PW4,G117
PW11,G250
PW46,G261
PW33,G31
PW4,G369
PW29,G295
PW4,G23
PW39,G373
PW4,G29
PW31,G373
PW31,G378
PW29,G10
PW28,G218
PW30,G341
PW14,G55
PW13,G267
PW21,G299
PW21,G220
PW11,G388
PW43,G325
PW2,G309
PW48,G53
PW23,G176
PW13,G393
PW21,G197
PW13,G38
PW44,G1
PW33,G100
PW34,G204
PW48,G172
PW10,G377
PW37,G146
PW14,G232
PW12,G120
PW28,G384
PW17,G362
PW10,G189
PW41,G325
PW41,G35
PW17,G295
PW49,G158
PW46,G53
PW3,G224
PW29,G163
PW32,G343
PW30,G299
PW7,G102
PW17,G262
PW41,G193
PW9,G271
PW13,G167
PW26,G274
PW47,G31
PW42,G310
PW13,G19
PW34,G264
PW37,G144
PW43,G65
PW18,G279
PW5,G256
PW48,G278
PW38,G33
PW17,G393
PW33,G83
PW29,G256
PW6,G271
PW36,G165
PW29,G385
PW10,G320
PW40,G148
PW23,G219
PW34,G321
PW0,G383
PW15,G172
PW48,G327
PW15,G285
PW32,G239
PW48,G67
PW33,G63
PW18,G209
PW44,G388
PW15,G383
PW29,G68
PW49,G74
PW37,G306
PW12,G74
PW35,G362
PW14,G279
PW45,G65
PW19,G338
PW45,G243
PW44,G192
PW37,G58
PW2,G18
PW17,G67
PW26,G292
PW9,G334
PW0,G311
PW23,G146
PW11,G216
PW12,G125
PW24,G315
PW9,G340
PW40,G289
PW26,G119
PW39,G318
PW3,G62
PW20,G333
PW44,G165
PW26,G334
PW19,G51
PW14,G248
PW18,G207
PW31,G31
PW27,G130
PW12,G238
PW45,G385
PW49,G206
PW9,G47
PW5,G75
PW14,G370
PW35,G125
PW22,G76
PW46,G340
PW28,G153
PW17,G284
PW7,G373
PW44,G280
PW17,G181
PW38,G37
PW28,G81
PW19,G103
PW33,G329
PW34,G343
PW13,G316
PW16,G290
PW49,G215
PW4,G24
PW9,G295
PW8,G306
PW39,G137
PW38,G339
PW36,G69
PW0,G281
PW8,G180
PW16,G283
PW15,G366
PW0,G203
PW33,G107
PW28,G223
PW15,G309
PW15,G14
PW38,G246
PW24,G164
PW23,G14
PW44,G95
PW26,G175
PW14,G366
PW2,G33
