pathway_id,gene
PW0,G255
PW0,G309
PW0,G209
PW0,G80
PW0,G334
PW0,G1
PW0,G200
PW0,G292
PW0,G305
PW0,G368
PW0,G383
PW0,G394
PW0,G356
PW0,G161
PW0,G317
PW0,G65
PW0,G371
PW0,G223
PW0,G197
PW0,G306
PW1,G41
PW1,G63
PW1,G14
PW1,G244
PW1,G320
PW1,G251
PW1,G92
PW1,G107
PW1,G74
PW1,G398
PW1,G154
PW1,G80
PW1,G351
PW1,G30
PW1,G195
PW1,G343
PW2,G69
PW2,G125
PW2,G396
PW2,G128
PW2,G390
PW2,G329
PW2,G290
PW2,G320
PW2,G291
PW2,G267
PW2,G249
PW2,G96
PW2,G342
PW2,G203
PW2,G146
PW2,G310
PW2,G187
PW2,G278
PW2,G25
PW2,G164
PW3,G277
PW3,G14
PW3,G142
PW3,G109
PW3,G180
PW3,G302
PW3,G196
PW3,G72
PW3,G257
PW3,G321
PW3,G224
PW3,G178
PW3,G261
PW3,G343
PW3,G243
PW3,G259
PW3,G222
PW3,G191
PW4,G329
PW4,G75
PW4,G250
PW4,G363
PW4,G357
PW4,G35
PW4,G68
PW4,G347
PW4,G302
PW4,G110
PW4,G373
PW4,G301
PW4,G24
PW4,G65
PW4,G230
PW4,G318
PW4,G154
PW4,G331
PW4,G311
PW4,G279
PW5,G127
PW5,G119
PW5,G247
PW5,G15
PW5,G10
PW5,G323
PW5,G333
PW5,G399
PW5,G132
PW5,G352
PW5,G53
PW6,G246
PW6,G208
PW6,G111
PW6,G395
PW6,G67
PW6,G31
PW6,G216
PW6,G295
PW6,G88
PW6,G385
PW6,G17
PW6,G221
PW6,G309
PW7,G278
PW7,G159
PW7,G156
PW7,G100
PW7,G358
PW7,G52
PW7,G176
PW7,G226
PW7,G58
PW7,G131
PW7,G6
PW7,G188
PW8,G369
PW8,G208
PW8,G19
PW8,G301
PW8,G146
PW8,G367
PW8,G134
PW8,G12
PW8,G302
PW8,G37
PW8,G102
PW8,G343
PW8,G165
PW8,G212
PW8,G20
PW8,G235
PW8,G304
PW8,G266
PW8,G141
PW9,G320
PW9,G326
PW9,G165
PW9,G379
PW9,G292
PW9,G38
PW9,G49
PW9,G279
PW9,G167
PW9,G181
PW9,G351
PW9,G293
PW9,G214
PW9,G122
PW9,G69
PW9,G155
PW9,G261
PW9,G110
PW9,G363
PW9,G24
PW9,G180
PW10,G351
PW10,G251
PW10,G219
PW10,G187
PW10,G295
PW10,G329
PW10,G287
PW10,G377
PW10,G331
PW10,G336
PW10,G190
PW10,G330
PW10,G167
PW11,G200
PW11,G338
PW11,G70
PW11,G378
PW11,G88
PW11,G3
PW11,G274
PW11,G89
PW11,G237
PW11,G66
PW11,G352
PW11,G367
PW11,G369
PW11,G172
PW11,G17
PW11,G14
PW11,G102
PW11,G117
PW11,G254
PW11,G51
PW12,G250
PW12,G224
PW12,G94
PW12,G123
PW12,G151
PW12,G166
PW12,G299
PW12,G248
PW12,G227
PW12,G67
PW12,G37
PW12,G115
PW12,G44
PW13,G355
PW13,G1
PW13,G332
PW13,G32
PW13,G166
PW13,G66
PW13,G386
PW13,G280
PW13,G91
PW13,G58
PW13,G144
PW13,G53
PW13,G335
PW13,G139
PW13,G153
PW13,G247
PW13,G270
PW13,G243
PW14,G207
PW14,G112
PW14,G333
PW14,G40
PW14,G219
PW14,G382
PW14,G204
PW14,G325
PW14,G394
PW14,G233
PW14,G393
PW14,G33
PW14,G66
PW14,G362
PW14,G63
PW14,G342
PW14,G373
PW14,G221
PW14,G344
PW14,G355
PW14,G270
PW14,G306
PW14,G338
PW14,G114
PW15,G119
PW15,G332
PW15,G315
PW15,G246
PW15,G43
PW15,G374
PW15,G322
PW15,G47
PW15,G74
PW15,G107
PW15,G11
PW15,G308
PW15,G189
PW15,G95
PW15,G366
PW15,G163
PW15,G192
PW15,G3
PW15,G94
PW15,G299
PW15,G52
PW15,G365
PW15,G148
PW16,G250
PW16,G3
PW16,G277
PW16,G287
PW16,G49
PW16,G355
PW16,G141
PW16,G212
PW16,G292
PW16,G105
PW16,G338
PW16,G114
PW16,G87
PW16,G377
PW17,G153
PW17,G330
PW17,G253
PW17,G130
PW17,G29
PW17,G139
PW17,G145
PW17,G378
PW17,G68
PW17,G297
PW17,G341
PW17,G13
PW17,G258
PW17,G396
PW17,G74
PW17,G321
PW17,G232
PW17,G146
PW17,G84
PW17,G383
PW17,G318
PW18,G270
PW18,G229
PW18,G275
PW18,G159
PW18,G227
PW18,G65
PW18,G126
PW18,G215
PW18,G298
PW18,G69
PW18,G335
PW18,G318
PW18,G163
PW18,G390
PW18,G190
PW19,G290
PW19,G312
PW19,G148
PW19,G396
PW19,G152
PW19,G23
PW19,G363
PW19,G71
PW19,G58
PW19,G209
PW19,G378
PW19,G135
PW19,G311
PW19,G336
PW19,G181
PW19,G267
PW19,G247
PW20,G132
PW20,G257
PW20,G378
PW20,G232
PW20,G224
PW20,G160
PW20,G18
PW20,G62
PW20,G83
PW20,G38
PW20,G285
PW20,G173
PW20,G397
PW20,G116
PW20,G262
PW21,G133
PW21,G334
PW21,G33
PW21,G150
PW21,G366
PW21,G291
PW21,G244
PW21,G8
PW21,G386
PW21,G145
PW21,G92
PW22,G303
PW22,G328
PW22,G93
PW22,G96
PW22,G312
PW22,G58
PW22,G24
PW22,G238
PW22,G228
PW22,G243
PW22,G49
PW22,G377
PW22,G283
PW22,G23
PW22,G141
PW22,G287
PW22,G240
PW22,G62
PW22,G327
PW23,G204
PW23,G366
PW23,G253
PW23,G370
PW23,G380
PW23,G183
PW23,G362
PW23,G172
PW23,G118
PW23,G261
PW23,G167
PW23,G281
PW23,G65
PW23,G286
PW23,G244
PW23,G73
PW23,G195
PW24,G205
PW24,G157
PW24,G361
PW24,G366
PW24,G214
PW24,G274
PW24,G232
PW24,G137
PW24,G124
PW24,G360
PW24,G47
PW24,G394
PW24,G128
PW24,G381
PW24,G125
PW24,G239
PW25,G129
PW25,G16
PW25,G118
PW25,G320
PW25,G256
PW25,G295
PW25,G57
PW25,G237
PW25,G340
PW25,G64
PW25,G327
PW25,G187
PW25,G229
PW25,G114
PW25,G40
PW26,G148
PW26,G56
PW26,G137
PW26,G341
PW26,G244
PW26,G45
PW26,G383
PW26,G95
PW26,G225
PW26,G340
PW26,G216
PW26,G70
PW26,G99
PW26,G281
PW26,G120
PW26,G326
PW26,G130
PW26,G328
PW26,G315
PW26,G334
PW26,G20
PW26,G267
PW26,G289
PW27,G291
PW27,G336
PW27,G38
PW27,G246
PW27,G141
PW27,G225
PW27,G84
PW27,G244
PW27,G243
PW27,G198
PW27,G52
PW28,G117
PW28,G67
PW28,G35
PW28,G175
PW28,G109
PW28,G58
PW28,G148
PW28,G250
PW28,G3
PW28,G82
PW28,G321
PW28,G310
PW28,G361
PW28,G328
PW28,G156
PW28,G16
PW28,G295
PW29,G88
PW29,G8
PW29,G177
PW29,G271
PW29,G282
PW29,G264
PW29,G237
PW29,G255
PW29,G368
PW29,G382
PW29,G221
PW29,G204
PW29,G28
PW29,G141
PW29,G74
PW29,G247
PW29,G133
PW29,G295
PW29,G206
PW29,G274
PW29,G132
PW29,G298
PW29,G309
PW30,G93
PW30,G369
PW30,G339
PW30,G42
PW30,G171
PW30,G165
PW30,G334
PW30,G385
PW30,G150
PW30,G111
PW30,G4
PW30,G85
PW30,G193
PW30,G33
PW30,G272
PW30,G264
PW30,G238
PW30,G56
PW30,G41
PW30,G19
PW30,G203
PW31,G324
PW31,G259
PW31,G220
PW31,G83
PW31,G145
PW31,G157
PW31,G120
PW31,G160
PW31,G222
PW31,G134
PW31,G228
PW31,G283
PW31,G351
PW31,G360
PW31,G103
PW31,G396
PW31,G367
PW31,G383
PW32,G131
PW32,G271
PW32,G214
PW32,G176
PW32,G180
PW32,G295
PW32,G191
PW32,G209
PW32,G257
PW32,G127
PW32,G83
PW32,G393
PW32,G383
PW32,G31
PW33,G371
