pathway_id,gene
PW19,G120
PW18,G227
PW9,G329
PW36,G267
PW1,G51
PW31,G398
PW32,G75
PW37,G83
PW0,G168
PW35,G369
PW3,G338
PW15,G103
PW0,G220
PW40,G233
PW12,G238
PW4,G167
PW26,G312
PW29,G342
PW25,G209
PW35,G58
PW30,G262
PW26,G274
PW16,G122
PW46,G214
PW35,G383
PW26,G49
PW33,G252
PW28,G159
PW13,G250
PW45,G76
PW15,G373
PW9,G224
PW30,G24
PW29,G145
PW30,G286
PW3,G369
PW11,G122
PW16,G367
PW19,G100
PW35,G358
PW11,G66
PW4,G271
PW20,G127
PW33,G189
PW27,G315
PW27,G244
PW26,G14
PW25,G317
PW2,G279
PW40,G231
PW14,G71
PW17,G56
PW2,G16
PW15,G209
PW11,G306
PW40,G180
PW13,G342
PW2,G208
PW3,G325
PW0,G383
PW44,G287
PW26,G368
PW2,G267
PW45,G386
PW34,G119
PW48,G395
PW16,G203
PW32,G160
PW19,G383
PW49,G292
PW18,G266
PW38,G195
PW27,G293
PW16,G15
PW45,G282
PW7,G58
PW48,G89
PW2,G385
PW35,G367
PW38,G117
PW16,G32
PW14,G278
PW7,G309
PW0,G247
PW39,G297
PW30,G49
PW25,G329
PW20,G125
PW33,G40
PW23,G302
PW11,G59
PW39,G25
PW36,G250
PW17,G18
PW17,G63
PW21,G180
PW15,G377
PW3,G251
PW39,G396
PW21,G294
PW3,G58
PW39,G52
PW35,G44
PW12,G232
PW35,G145
PW36,G20
PW28,G14
PW44,G333
PW34,G24
PW32,G396
PW3,G67
PW4,G275
PW29,G394
PW3,G229
PW4,G318
PW21,G4
PW26,G306
PW9,G153
PW49,G102
PW40,G232
PW46,G282
PW10,G55
PW13,G19
PW0,G350
PW31,G281
PW11,G271
PW31,G336
PW11,G336
PW27,G83
PW37,G222
PW37,G37
PW11,G16
PW15,G291
PW11,G175
PW18,G14
PW44,G204
PW7,G228
PW30,G120
PW22,G154
PW43,G166
PW13,G242
PW6,G238
PW5,G3
PW30,G64
PW8,G304
PW25,G103
PW35,G249
PW48,G257
PW17,G170
PW15,G298
PW34,G181
PW0,G355
PW38,G84
PW25,G344
PW36,G132
PW10,G256
PW15,G53
PW49,G278
PW42,G93
PW19,G362
PW9,G318
PW2,G274
PW46,G13
PW31,G160
PW46,G259
PW3,G168
PW47,G75
PW48,G323
PW7,G394
PW17,G23
PW23,G248
PW6,G321
PW0,G361
PW9,G3
PW48,G291
PW40,G204
PW12,G390
PW46,G158
PW22,G241
PW28,G190
PW44,G230
PW29,G67
PW48,G1
PW8,G70
PW2,G132
PW49,G24
PW49,G221
PW26,G281
PW32,G151
PW33,G38
PW23,G84
PW20,G341
PW13,G240
PW36,G244
PW35,G292
PW45,G378
PW34,G110
PW8,G46
PW8,G392
PW6,G127
PW2,G52
PW9,G341
PW33,G399
PW17,G208
PW9,G385
PW37,G298
PW20,G115
PW1,G267
PW43,G258
PW26,G130
PW14,G235
PW41,G209
PW10,G294
PW23,G386
PW43,G259
PW8,G216
PW3,G181
PW47,G328
PW4,G351
PW29,G249
PW17,G200
PW0,G310
PW38,G264
PW28,G113
PW8,G266
PW38,G17
PW41,G308
PW29,G226
PW45,G215
PW36,G388
PW20,G339
PW31,G365
PW6,G114
PW8,G391
PW1,G356
PW11,G146
PW48,G299
PW49,G94
PW24,G247
PW27,G31
PW42,G384
PW36,G3
PW23,G23
PW22,G367
PW19,G165
PW44,G92
PW33,G158
PW2,G107
PW3,G296
PW12,G261
PW28,G114
PW22,G219
PW35,G56
PW29,G220
PW12,G133
