pathway_id,gene
PW26,G383
PW40,G385
PW2,G201
PW4,G226
PW17,G318
PW38,G282
PW44,G365
PW37,G254
PW48,G24
PW7,G14
PW0,G378
PW38,G306
PW47,G338
PW30,G196
PW11,G41
PW43,G130
PW1,G324
PW48,G47
PW9,G354
PW38,G295
PW19,G142
PW36,G128
PW4,G271
PW25,G135
PW30,G312
PW29,G239
PW2,G355
PW31,G250
PW34,G383
PW19,G304
PW12,G172
PW27,G333
PW22,G168
PW20,G192
PW22,G8
PW26,G83
PW8,G209
PW37,G157
PW23,G131
PW8,G232
PW5,G181
PW2,G25
PW22,G189
PW47,G188
PW31,G333
PW23,G312
PW20,G52
PW26,G24
PW25,G96
PW44,G163
PW30,G92
PW4,G115
PW27,G12
PW41,G333
PW16,G318
PW30,G341
PW28,G352
PW12,G209
PW15,G144
PW31,G118
PW0,G343
PW32,G52
PW4,G14
PW17,G62
PW13,G294
PW46,G114
PW44,G328
PW45,G340
PW18,G262
PW19,G16
PW13,G102
PW10,G66
PW24,G318
PW38,G127
PW30,G167
PW10,G247
PW28,G86
PW12,G170
PW37,G299
PW44,G377
PW5,G290
PW10,G56
PW9,G161
PW41,G393
PW22,G200
PW33,G152
PW9,G88
PW30,G396
PW29,G141
PW42,G173
PW23,G294
PW38,G58
PW26,G17
PW4,G176
PW28,G334
PW20,G47
PW29,G88
PW19,G329
PW30,G344
PW6,G89
PW42,G146
PW33,G193
PW23,G245
PW48,G393
PW10,G221
PW14,G341
PW15,G65
PW31,G16
PW48,G336
PW26,G270
PW26,G367
PW1,G367
PW30,G347
PW45,G383
PW9,G193
PW25,G165
PW9,G19
PW17,G222
PW24,G267
PW29,G245
PW14,G187
PW45,G351
PW13,G281
PW44,G274
PW4,G175
PW11,G197
PW25,G122
PW22,G330
PW11,G281
PW7,G225
PW9,G238
PW35,G285
PW29,G120
PW4,G356
PW43,G38
PW11,G219
PW6,G390
PW37,G66
PW40,G148
PW28,G270
PW44,G170
PW38,G225
PW39,G42
PW19,G75
PW36,G274
PW15,G312
PW20,G220
PW17,G247
PW45,G159
PW35,G366
PW9,G40
PW6,G111
PW30,G224
PW13,G223
PW45,G20
PW46,G316
PW34,G158
PW49,G320
PW5,G148
PW44,G342
PW15,G203
PW12,G81
PW3,G62
PW49,G257
PW22,G264
PW26,G250
PW17,G154
PW14,G282
PW41,G334
PW39,G279
PW23,G377
PW42,G15
PW5,G303
PW20,G292
PW16,G374
PW38,G98
PW21,G103
PW26,G331
PW32,G47
PW22,G228
PW41,G172
PW47,G373
PW22,G76
PW17,G199
PW16,G246
PW1,G164
PW2,G257
PW39,G373
PW40,G69
PW11,G114
PW29,G58
PW16,G317
PW5,G383
PW1,G367
PW37,G332
PW42,G378
PW41,G4
PW33,G387
PW30,G280
PW22,G311
PW26,G231
PW35,G310
