pathway_id,gene
PW0,G80
PW47,G44
PW2,G362
PW22,G52
PW13,G342
PW33,G341
PW15,G53
PW40,G327
PW10,G369
PW4,G197
PW42,G58
PW31,G306
PW33,G37
PW22,G165
PW22,G93
PW33,G282
PW0,G132
PW44,G280
PW46,G244
PW11,G349
PW44,G315
PW11,G69
PW23,G201
PW17,G192
PW1,G318
PW45,G378
PW1,G271
PW4,G125
PW41,G262
PW38,G299
PW1,G295
PW21,G16
PW48,G323
PW37,G212
PW30,G247
PW9,G24
PW17,G130
PW13,G12
PW26,G275
PW0,G19
PW12,G340
PW15,G98
PW36,G290
PW28,G399
PW25,G36
PW16,G170
PW18,G321
PW29,G221
PW43,G388
PW15,G310
PW11,G338
PW18,G103
PW25,G83
PW33,G330
PW39,G301
PW11,G282
PW26,G342
PW38,G112
PW9,G352
PW15,G46
PW0,G237
PW42,G62
PW9,G66
PW42,G75
PW21,G128
PW39,G103
PW4,G59
PW14,G139
PW21,G394
PW23,G209
PW44,G366
PW43,G257
PW32,G176
PW30,G176
PW34,G128
PW31,G374
PW2,G141
PW14,G156
PW24,G279
PW40,G239
PW28,G334
PW29,G249
PW38,G35
PW6,G160
PW24,G65
PW43,G259
PW15,G118
PW37,G200
PW45,G273
PW23,G87
PW16,G189
PW26,G371
PW12,G42
PW18,G328
PW8,G290
PW8,G334
PW10,G241
PW11,G351
PW38,G306
PW12,G330
PW4,G308
PW49,G40
PW48,G279
PW41,G231
PW19,G167
PW20,G153
PW4,G378
PW34,G244
PW21,G134
PW37,G67
PW18,G317
PW9,G333
PW2,G284
PW4,G251
PW5,G190
PW38,G33
PW12,G78
PW33,G233
PW17,G289
PW23,G308
PW15,G176
PW17,G116
PW3,G356
PW40,G119
PW36,G117
PW32,G99
PW14,G307
PW3,G150
PW33,G370
PW9,G31
PW13,G329
PW31,G25
PW16,G384
PW33,G386
PW48,G152
PW26,G291
PW39,G6
PW24,G32
PW31,G88
PW45,G43
PW29,G172
PW36,G131
PW15,G315
PW43,G383
PW24,G232
PW34,G82
PW33,G303
PW5,G224
PW3,G137
PW0,G64
PW20,G219
PW35,G46
PW38,G158
PW45,G302
PW9,G237
PW15,G135
PW48,G3
PW29,G366
PW32,G209
PW46,G385
PW4,G376
PW9,G19
PW42,G393
PW29,G17
PW41,G99
PW4,G105
PW48,G193
PW12,G39
PW44,G250
PW16,G365
PW20,G264
PW8,G75
PW1,G58
PW4,G355
PW29,G206
PW33,G340
PW39,G247
PW45,G110
PW39,G3
PW11,G308
PW19,G222
PW48,G90
PW1,G256
PW44,G126
PW0,G163
PW8,G33
PW2,G190
PW3,G321
PW48,G180
PW27,G363
PW37,G285
PW26,G132
PW34,G25
PW24,G298
PW48,G343
PW47,G328
PW4,G23
PW3,G177
PW45,G334
PW20,G232
PW35,G13
PW11,G328
PW24,G65
PW47,G254
PW35,G127
PW33,G212
PW0,G337
PW15,G258
PW8,G159
PW26,G102
PW42,G295
PW0,G12
PW36,G281
PW11,G166
PW24,G183
PW8,G385
PW44,G373
PW17,G198
PW33,G252
PW43,G142
PW29,G91
PW35,G204
PW49,G62
PW6,G281
PW14,G278
PW8,G283
PW39,G211
PW49,G108
PW25,G244
PW4,G233
PW37,G243
PW3,G240
PW33,G20
PW47,G335
PW3,G56
PW30,G393
PW15,G355
PW40,G175
PW13,G130
PW29,G125
PW23,G381
PW25,G244
PW37,G267
PW46,G18
PW12,G35
PW29,G66
PW21,G72
PW5,G366
PW32,G1
PW37,G342
PW6,G118
PW42,G356
PW26,G373
PW26,G264
PW31,G348
PW41,G1
PW34,G47
PW2,G84
PW30,G309
PW17,G105
PW1,G110
PW7,G40
PW35,G133
PW8,G204
PW34,G270
PW7,G131
PW15,G197
PW31,G145
PW14,G25
PW38,G377
PW13,G333
PW44,G298
PW32,G294
PW32,G277
PW11,G65
PW9,G368
PW43,G164
PW14,G121
PW3,G380
PW2,G186
PW25,G295
PW8,G163
PW29,G229
PW44,G390
PW9,G33
PW44,G332
PW5,G23
PW35,G261
PW36,G291
PW14,G157
PW22,G250
PW26,G361
PW6,G146
PW45,G264
PW45,G158
PW37,G373
PW30,G243
PW14,G187
PW43,G84
PW46,G226
PW40,G281
PW49,G68
PW2,G392
PW15,G154
PW37,G335
PW9,G383
PW19,G366
PW9,G32
PW29,G244
PW15,G228
PW7,G271
PW11,G56
PW14,G157
PW17,G58
PW26,G142
PW29,G192
PW0,G206
PW19,G103
PW24,G255
PW33,G395
PW35,G324
PW38,G58
PW47,G320
PW12,G261
PW4,G15
PW9,G282
PW45,G74
PW15,G299
PW14,G263
PW12,G331
PW11,G355
PW39,G221
PW22,G17
PW30,G262
PW45,G24
PW38,G238
PW7,G278
PW42,G80
PW23,G226
PW20,G303
PW2,G114
PW3,G141
PW17,G81
PW25,G66
PW17,G51
PW23,G119
PW19,G318
PW3,G150
PW43,G218
PW7,G229
PW34,G216
PW16,G396
PW34,G296
PW27,G315
PW28,G248
PW29,G350
PW4,G361
PW18,G369
PW40,G66
PW13,G312
PW9,G393
PW36,G304
PW3,G272
PW34,G227
PW22,G154
PW49,G232
PW19,G203
PW7,G397
PW45,G132
PW28,G85
PW11,G182
PW23,G148
PW25,G205
PW9,G338
PW44,G277
PW38,G3
PW39,G151
PW19,G180
PW14,G299
PW20,G227
PW23,G123
PW8,G95
PW17,G231
PW40,G135
PW0,G49
PW35,G351
PW18,G44
PW22,G320
PW33,G89
PW37,G113
PW25,G59
PW7,G309
PW23,G367
PW14,G322
PW45,G377
PW41,G88
PW25,G295
PW38,G181
PW42,G94
PW10,G83
PW38,G168
PW28,G341
PW39,G292
PW31,G14
PW44,G302
PW23,G49
PW36,G145
PW34,G193
PW4,G223
PW19,G222
PW36,G325
PW40,G320
PW13,G128
PW42,G271
PW7,G262
PW3,G153
PW13,G287
PW29,G385
PW33,G219
PW17,G146
PW2,G332
PW33,G95
PW13,G24
PW48,G363
