pathway_id,gene
PW0,G316
PW0,G397
PW0,G493
PW0,G425
PW0,G48
PW0,G473
PW0,G351
PW0,G523
PW0,G38
PW0,G763
PW0,G347
PW0,G262
PW0,G294
PW0,G267
PW0,G146
PW0,G324
PW0,G312
PW0,G487
PW1,G557
PW1,G525
PW1,G697
PW1,G197
PW1,G274
PW1,G526
PW1,G5
PW1,G418
PW1,G640
PW1,G165
PW1,G243
PW1,G781
PW1,G767
PW1,G30
PW1,G600
PW1,G790
PW1,G147
PW1,G474
PW1,G252
PW1,G777
PW1,G577
PW1,G250
PW1,G255
PW2,G10
PW2,G757
PW2,G608
PW2,G98
PW2,G548
PW2,G255
PW2,G486
PW2,G373
PW2,G132
PW2,G91
PW2,G18
PW2,G311
PW2,G572
PW2,G500
PW2,G768
PW2,G484
PW2,G74
PW2,G348
PW2,G269
PW2,G274
PW2,G595
PW3,G57
PW3,G304
PW3,G675
PW3,G730
PW3,G315
PW3,G648
PW3,G705
PW3,G402
PW3,G676
PW3,G766
PW3,G214
PW3,G367
PW3,G742
PW3,G507
PW3,G22
PW3,G220
PW4,G132
PW4,G586
PW4,G11
PW4,G432
PW4,G666
PW4,G556
PW4,G149
PW4,G433
PW4,G745
PW4,G633
PW4,G109
PW4,G211
PW4,G393
PW4,G720
PW4,G394
PW4,G239
PW4,G251
PW5,G29
PW5,G574
PW5,G706
PW5,G769
PW5,G95
PW5,G139
PW5,G662
PW5,G499
PW5,G746
PW5,G147
PW5,G582
PW5,G80
PW6,G75
PW6,G239
PW6,G403
PW6,G710
PW6,G194
PW6,G108
PW6,G489
PW6,G12
PW6,G308
PW6,G390
PW6,G420
PW6,G152
PW6,G318
PW6,G701
PW6,G89
PW6,G347
PW6,G42
PW6,G137
PW6,G478
PW7,G789
PW7,G261
PW7,G410
PW7,G575
PW7,G237
PW7,G54
PW7,G791
PW7,G313
PW7,G652
PW7,G475
PW7,G139
PW7,G29
PW7,G446
PW7,G664
PW7,G609
PW7,G130
PW7,G749
PW7,G491
PW8,G333
PW8,G437
PW8,G457
PW8,G717
PW8,G603
PW8,G569
PW8,G719
PW8,G634
PW8,G480
PW8,G336
PW8,G486
PW8,G444
PW8,G397
PW9,G96
PW9,G730
PW9,G774
PW9,G767
PW9,G642
PW9,G112
PW9,G569
PW9,G97
PW9,G739
PW9,G106
PW9,G437
PW9,G518
PW9,G638
PW9,G682
PW9,G405
PW9,G361
PW9,G19
PW9,G555
PW9,G453
PW9,G566
PW9,G504
PW10,G210
PW10,G235
PW10,G406
PW10,G370
PW10,G686
PW10,G754
PW10,G478
PW10,G570
PW10,G61
PW10,G184
PW10,G169
PW10,G367
PW10,G146
PW10,G176
PW10,G278
PW10,G59
PW11,G42
PW11,G317
PW11,G109
PW11,G693
PW11,G405
PW11,G76
PW11,G728
PW11,G357
PW11,G425
PW11,G630
PW11,G132
PW11,G61
PW11,G516
PW11,G619
PW11,G667
PW12,G617
PW12,G294
PW12,G363
PW12,G271
PW12,G208
