pathway_id,gene
PW3,G146
PW21,G94
PW2,G137
PW4,G178
PW38,G292
PW32,G348
PW17,G224
PW2,G109
PW45,G117
PW2,G8
PW31,G98
PW48,G192
PW35,G203
PW45,G158
PW31,G18
PW34,G328
PW43,G144
PW37,G295
PW14,G41
PW8,G195
PW38,G197
PW0,G384
PW19,G394
PW5,G244
PW3,G302
PW14,G295
PW33,G81
PW38,G167
PW24,G341
PW33,G89
PW15,G52
PW17,G244
PW9,G154
PW9,G393
PW5,G14
PW24,G294
PW46,G324
PW11,G246
PW36,G378
PW4,G181
PW26,G99
PW19,G242
PW9,G356
PW0,G110
PW34,G357
PW5,G388
PW27,G341
PW48,G180
PW11,G333
PW11,G380
PW27,G321
PW17,G114
PW4,G131
PW48,G320
PW41,G220
PW42,G105
PW45,G249
PW0,G3
PW4,G294
PW7,G155
PW6,G257
PW18,G315
PW25,G197
PW1,G187
PW40,G246
PW15,G36
PW20,G267
PW14,G226
PW44,G170
PW18,G342
PW1,G196
PW39,G243
PW38,G180
PW47,G309
PW17,G325
PW33,G102
PW26,G338
PW19,G11
PW49,G283
PW28,G285
PW14,G248
PW49,G153
PW23,G243
PW13,G320
PW40,G121
PW16,G16
PW46,G371
PW11,G196
PW14,G150
PW0,G387
PW30,G197
PW28,G384
PW36,G171
PW32,G165
PW14,G163
PW28,G102
PW36,G160
PW27,G139
PW37,G80
PW48,G335
PW37,G310
PW10,G25
PW49,G312
PW30,G168
PW35,G377
PW14,G159
PW1,G345
PW11,G336
PW39,G287
PW15,G274
PW0,G58
PW46,G137
PW15,G53
PW48,G277
PW49,G301
PW12,G343
PW28,G308
PW10,G44
PW45,G40
PW11,G328
PW2,G336
PW26,G214
PW13,G228
PW1,G119
PW33,G49
PW9,G191
PW34,G151
PW29,G381
PW29,G378
PW46,G215
PW43,G262
PW29,G52
PW22,G172
PW3,G350
PW8,G3
PW29,G212
PW2,G366
PW36,G359
PW23,G308
PW49,G360
PW30,G165
PW30,G371
PW9,G122
PW12,G235
PW46,G90
PW13,G391
PW2,G376
PW5,G281
PW40,G128
PW7,G193
PW40,G333
PW11,G341
PW2,G270
PW37,G125
PW15,G223
PW47,G172
PW33,G29
PW35,G191
PW22,G352
PW17,G31
PW12,G238
PW29,G65
PW47,G8
PW15,G392
PW38,G326
PW45,G83
PW48,G379
PW15,G232
PW0,G83
PW44,G225
PW27,G147
PW12,G323
PW32,G223
PW22,G286
PW2,G142
PW17,G301
PW31,G179
PW27,G49
PW5,G267
PW13,G232
PW17,G191
PW48,G135
PW38,G295
PW38,G87
PW32,G310
PW8,G107
PW4,G51
PW42,G35
PW25,G117
PW25,G309
PW37,G99
PW39,G133
PW22,G165
PW34,G176
PW9,G373
PW37,G346
PW42,G139
PW4,G243
PW19,G296
PW4,G337
PW44,G363
PW44,G25
PW35,G349
PW38,G117
PW36,G107
PW15,G117
PW30,G244
PW11,G133
PW32,G1
PW15,G270
PW49,G66
PW38,G246
PW33,G205
PW10,G111
PW3,G241
PW24,G193
PW15,G209
PW47,G108
PW33,G218
PW36,G355
PW13,G124
PW38,G71
PW30,G373
PW26,G227
PW33,G158
PW40,G204
PW18,G393
PW27,G19
PW1,G259
PW19,G274
PW2,G103
PW3,G311
PW9,G320
PW12,G105
PW9,G226
PW18,G326
PW17,G209
PW14,G118
PW44,G245
PW17,G329
PW45,G368
PW11,G325
PW20,G247
PW38,G367
PW9,G385
PW31,G56
PW44,G200
PW30,G251
PW19,G82
PW13,G299
PW9,G186
PW30,G367
PW15,G144
PW19,G382
PW35,G133
PW16,G67
PW9,G3
PW31,G212
PW20,G270
PW14,G237
PW9,G244
PW13,G33
PW44,G366
PW0,G23
PW10,G114
PW31,G203
PW33,G252
PW43,G23
PW47,G261
PW44,G201
PW20,G83
PW23,G396
PW47,G333
PW23,G367
PW1,G175
PW11,G227
PW40,G3
PW29,G222
PW6,G65
PW13,G256
PW35,G163
PW34,G159
PW31,G14
PW16,G253
PW45,G328
PW11,G327
PW25,G96
PW28,G291
PW12,G187
PW35,G40
PW23,G175
PW17,G219
PW32,G83
PW35,G127
PW20,G95
PW31,G88
PW28,G303
PW36,G31
PW13,G393
PW24,G53
PW14,G264
PW33,G155
PW41,G219
PW24,G158
PW5,G58
PW3,G6
PW16,G32
PW22,G23
PW30,G334
PW35,G285
PW43,G335
PW37,G374
PW14,G64
PW10,G386
PW19,G221
PW34,G85
PW44,G262
PW20,G253
PW14,G358
PW25,G262
PW11,G383
PW33,G247
PW16,G76
PW47,G206
PW35,G343
PW14,G331
PW43,G58
PW3,G243
PW40,G33
PW43,G38
PW17,G144
PW45,G80
PW34,G275
PW5,G96
PW28,G348
PW26,G216
PW33,G195
PW28,G289
PW13,G74
PW10,G249
PW36,G271
PW9,G43
PW18,G85
PW15,G157
PW17,G299
PW17,G264
PW3,G209
PW26,G177
PW4,G271
PW28,G59
PW4,G156
PW43,G88
PW44,G306
PW49,G79
PW31,G355
PW26,G103
PW27,G397
PW24,G377
PW30,G163
PW38,G67
PW47,G114
PW35,G299
PW26,G123
PW1,G340
PW43,G51
PW9,G181
PW13,G67
PW45,G198
PW37,G263
PW7,G125
PW44,G94
PW36,G381
PW16,G153
PW35,G393
PW46,G167
PW15,G250
PW13,G303
PW14,G25
PW27,G334
PW23,G231
PW31,G92
PW7,G385
PW0,G40
PW7,G333
PW26,G155
PW29,G377
PW29,G65
PW8,G295
PW46,G39
PW15,G19
PW4,G318
PW11,G190
PW8,G84
PW0,G16
PW24,G378
PW42,G87
PW4,G18
PW25,G115
PW15,G396
PW43,G68
PW1,G255
PW26,G389
PW21,G302
PW20,G336
PW9,G329
PW2,G189
PW12,G279
PW22,G20
PW36,G138
PW46,G338
PW44,G66
PW6,G92
PW28,G332
PW21,G237
PW31,G100
PW26,G362
PW10,G20
PW10,G280
PW38,G13
PW29,G146
PW1,G148
PW16,G122
PW7,G277
PW30,G63
PW28,G31
PW29,G192
PW19,G63
PW46,G244
PW33,G334
PW21,G157
PW9,G146
PW34,G47
PW42,G46
PW14,G119
PW36,G142
PW7,G92
PW3,G244
PW34,G74
PW20,G14
PW35,G30
PW20,G398
PW0,G84
PW28,G75
PW34,G55
PW0,G214
PW24,G290
PW17,G306
PW45,G164
PW5,G165
PW25,G383
PW24,G66
PW8,G118
PW36,G395
PW22,G176
PW37,G166
PW17,G277
PW28,G320
PW41,G334
PW18,G31
PW38,G304
PW44,G167
PW3,G74
PW48,G58
PW26,G275
PW8,G281
PW46,G369
PW39,G282
PW44,G292
PW26,G69
PW0,G132
PW7,G4
PW1,G279
PW4,G148
PW33,G70
PW18,G24
PW31,G96
PW22,G328
PW48,G17
PW1,G367
PW20,G261
PW12,G132
PW45,G377
PW47,G46
PW29,G330
PW10,G208
PW48,G24
PW16,G386
PW40,G255
PW30,G222
PW6,G150
PW9,G309
PW20,G221
PW28,G312
PW7,G66
PW39,G282
PW2,G182
PW21,G353
PW14,G10
PW17,G304
PW40,G68
PW10,G130
PW8,G368
PW11,G396
PW2,G16
PW8,G38
PW46,G17
PW14,G146
PW2,G281
PW2,G361
PW31,G165
PW33,G312
PW25,G298
PW21,G172
PW30,G271
PW42,G279
PW49,G95
PW6,G266
PW2,G315
PW24,G351
PW35,G363
PW5,G284
PW14,G221
PW4,G273
PW22,G65
PW26,G238
PW4,G132
PW39,G174
PW28,G220
PW28,G88
PW25,G176
PW24,G216
PW18,G240
PW22,G120
PW19,G17
PW15,G373
PW11,G141
PW11,G370
PW15,G293
PW13,G12
PW6,G351
PW48,G58
PW45,G14
PW10,G94
PW42,G340
PW48,G369
PW32,G266
PW37,G315
PW36,G347
PW0,G45
PW18,G91
PW43,G225
PW41,G49
PW29,G28
PW41,G145
PW1,G41
PW24,G250
PW45,G110
PW23,G308
PW3,G182
PW29,G378
PW36,G271
PW40,G342
PW6,G112
PW16,G228
PW5,G313
PW19,G318
PW38,G141
PW25,G278
PW18,G189
PW15,G388
PW19,G88
PW3,G330
PW40,G90
PW4,G331
PW29,G161
PW45,G355
PW29,G229
PW36,G343
PW30,G173
PW18,G204
PW32,G272
PW1,G368
PW5,G348
PW38,G338
PW25,G25
PW32,G228
PW29,G74
PW0,G257
PW38,G354
PW23,G247
PW14,G103
PW23,G363
PW42,G62
PW3,G342
PW49,G327
PW47,G355
PW33,G352
PW18,G141
PW44,G360
PW14,G134
PW18,G375
PW44,G119
PW23,G351
PW19,G220
PW34,G307
PW38,G245
PW37,G47
PW37,G120
PW26,G297
PW33,G254
PW6,G290
PW25,G165
PW35,G232
PW41,G351
PW38,G251
PW24,G156
PW17,G1
PW39,G180
PW3,G38
PW9,G33
PW0,G316
PW21,G385
PW3,G332
PW20,G292
PW11,G330
PW4,G322
PW39,G291
PW24,G157
PW11,G44
PW48,G224
PW19,G339
PW45,G373
PW9,G84
PW47,G108
PW6,G67
PW16,G231
PW42,G274
PW3,G306
PW0,G318
PW35,G131
PW27,G69
PW37,G295
PW15,G192
PW32,G208
PW18,G176
PW38,G211
PW48,G283
PW45,G103
PW46,G51
PW30,G145
PW26,G180
PW19,G209
PW12,G35
PW13,G3
PW27,G160
PW30,G223
PW32,G47
PW39,G289
PW23,G168
PW29,G374
PW0,G327
PW43,G291
PW40,G254
PW29,G139
PW21,G37
PW31,G116
PW23,G24
PW8,G154
PW43,G373
PW2,G128
PW49,G141
PW22,G153
PW37,G312
PW48,G378
PW30,G152
PW1,G125
PW37,G333
PW22,G390
PW8,G59
PW34,G250
PW44,G93
PW36,G189
PW48,G131
PW35,G75
PW31,G187
PW17,G287
PW11,G326
PW45,G47
PW22,G239
PW44,G383
PW6,G49
PW15,G321
PW46,G318
PW11,G58
PW13,G12
PW31,G24
PW22,G341
PW15,G110
PW21,G16
PW20,G218
PW24,G42
PW48,G295
PW12,G206
PW35,G171
PW36,G347
PW29,G148
PW30,G224
PW6,G366
PW34,G369
PW9,G62
PW26,G264
PW23,G267
PW45,G233
PW39,G226
PW35,G399
PW36,G115
PW2,G163
PW33,G142
PW14,G383
PW35,G281
PW15,G76
PW8,G172
PW10,G193
PW8,G125
PW35,G311
PW23,G237
PW37,G247
PW14,G383
PW22,G250
PW8,G57
PW44,G130
PW20,G72
PW17,G188
PW48,G256
PW15,G181
PW0,G1
PW21,G47
PW16,G207
PW22,G290
PW48,G189
PW32,G177
PW48,G227
PW42,G78
PW14,G199
PW0,G214
PW12,G109
PW30,G128
PW19,G251
PW45,G69
PW29,G111
PW23,G73
PW41,G371
PW10,G228
PW8,G203
PW6,G166
PW3,G259
PW16,G4
PW26,G126
PW2,G127
PW26,G257
PW30,G228
PW22,G299
PW26,G278
PW16,G52
PW37,G394
PW41,G329
PW2,G267
PW8,G190
PW43,G86
PW33,G243
PW17,G200
PW41,G295
PW1,G271
PW43,G214
PW33,G70
PW4,G323
PW3,G113
PW41,G287
PW18,G342
PW45,G215
PW29,G58
PW13,G281
PW33,G332
PW26,G56
PW0,G377
PW7,G334
PW42,G283
PW7,G394
PW26,G390
PW8,G282
PW23,G280
PW8,G261
PW49,G183
PW14,G170
PW37,G366
PW20,G320
PW22,G383
PW42,G37
PW41,G141
PW13,G298
PW1,G378
PW32,G103
PW7,G134
PW16,G258
PW45,G386
PW8,G159
PW29,G3
PW46,G15
PW25,G266
PW28,G365
PW9,G299
PW39,G305
PW35,G356
PW29,G56
PW4,G152
PW43,G129
PW4,G66
PW41,G382
PW31,G223
PW37,G361
PW34,G168
PW33,G344
PW13,G204
PW49,G231
PW24,G261
PW34,G132
PW25,G278
PW32,G169
PW38,G160
PW43,G28
PW42,G145
PW19,G396
PW48,G314
PW41,G244
PW48,G317
PW36,G230
PW4,G396
PW23,G75
PW22,G362
PW30,G321
PW21,G302
PW17,G148
PW38,G229
PW26,G250
PW12,G32
PW6,G233
PW25,G27
PW49,G93
PW40,G135
PW31,G340
PW27,G208
