pathway_id,gene
PW37,G127
PW20,G391
PW38,G72
PW18,G227
PW48,G206
PW48,G244
PW45,G228
PW15,G383
PW28,G196
PW42,G228
PW15,G298
PW29,G304
PW33,G205
PW49,G137
PW0,G176
PW17,G374
PW39,G342
PW15,G241
PW26,G291
PW44,G44
PW14,G362
PW17,G103
PW23,G393
PW30,G312
PW22,G116
PW9,G57
PW11,G71
PW0,G281
PW6,G327
PW23,G385
PW11,G65
PW11,G131
PW5,G292
PW26,G195
PW26,G58
PW46,G348
PW39,G23
PW22,G302
PW26,G148
PW16,G158
PW13,G128
PW33,G110
PW15,G228
PW22,G367
PW39,G85
PW14,G56
PW13,G195
PW1,G371
PW24,G142
PW33,G247
PW29,G20
PW30,G137
PW45,G272
PW28,G6
PW10,G128
PW34,G219
PW38,G297
PW14,G309
PW30,G253
PW29,G350
PW36,G223
PW40,G170
PW9,G305
PW33,G215
PW11,G361
PW42,G105
PW0,G388
PW8,G375
PW10,G321
PW44,G261
PW0,G153
PW21,G274
PW16,G351
PW5,G385
PW34,G141
PW10,G73
PW13,G340
PW6,G70
PW46,G114
PW43,G289
PW12,G250
PW14,G277
PW6,G352
PW1,G31
PW9,G214
PW26,G165
PW48,G74
PW29,G52
PW5,G329
PW48,G333
PW35,G86
PW5,G226
PW36,G10
PW22,G380
PW7,G295
PW2,G233
PW17,G222
PW12,G264
PW4,G220
PW38,G216
PW6,G3
PW36,G330
PW43,G395
PW9,G83
PW24,G35
PW2,G327
PW41,G392
PW45,G386
PW4,G107
PW15,G96
PW38,G351
PW26,G361
PW25,G67
PW43,G386
PW32,G373
PW25,G320
PW30,G191
PW4,G330
PW29,G1
PW19,G246
PW39,G74
PW47,G52
PW48,G323
PW46,G359
PW14,G368
PW13,G332
PW0,G165
PW22,G295
PW31,G103
PW49,G103
PW38,G333
PW32,G160
PW30,G301
PW33,G311
PW8,G93
PW46,G292
PW33,G327
PW8,G294
PW24,G373
PW33,G200
PW38,G278
PW30,G159
PW48,G295
PW7,G8
PW11,G33
PW2,G258
PW39,G336
PW19,G243
PW9,G51
PW26,G280
PW0,G192
PW14,G70
PW17,G4
PW0,G58
PW43,G320
PW10,G363
PW4,G385
PW19,G318
PW34,G157
PW32,G38
PW19,G347
PW25,G306
PW3,G47
PW24,G175
PW18,G340
PW31,G132
PW45,G291
PW44,G59
PW13,G91
PW2,G152
PW34,G354
PW11,G129
PW26,G133
PW14,G75
PW43,G233
PW49,G321
PW14,G69
PW12,G204
PW32,G49
PW38,G14
PW37,G174
PW37,G370
PW21,G134
PW31,G176
PW14,G191
PW6,G37
PW5,G193
PW33,G295
PW14,G335
PW17,G20
PW7,G301
PW18,G74
PW45,G308
PW45,G254
PW19,G192
PW6,G333
PW49,G19
PW47,G208
PW1,G110
PW42,G19
PW26,G1
PW48,G238
PW34,G346
PW33,G271
PW48,G120
PW36,G279
PW48,G383
PW1,G334
