pathway_id,gene
PW12,G303
PW48,G355
PW26,G209
PW11,G135
PW2,G137
PW43,G56
PW15,G244
PW45,G351
PW1,G118
PW19,G384
PW33,G261
PW9,G12
PW0,G74
PW3,G337
PW30,G196
PW38,G338
PW18,G383
PW17,G59
PW10,G383
PW14,G96
PW11,G392
PW45,G336
PW29,G203
PW40,G309
PW24,G323
PW8,G94
PW31,G238
PW42,G193
PW36,G216
PW29,G262
PW14,G148
PW23,G18
PW9,G237
PW32,G33
PW14,G371
PW43,G68
PW38,G114
PW28,G128
PW30,G53
PW0,G327
PW11,G182
PW20,G63
PW17,G286
PW13,G139
PW29,G180
PW23,G64
PW17,G24
PW16,G25
PW23,G208
PW27,G160
PW30,G139
PW6,G353
PW24,G315
PW33,G8
PW1,G14
PW7,G24
PW31,G298
PW14,G95
PW22,G115
PW38,G145
PW5,G341
PW45,G343
PW6,G67
PW21,G306
PW32,G279
PW7,G49
PW42,G388
PW32,G208
PW12,G310
PW4,G321
PW20,G226
PW30,G363
PW10,G243
PW11,G181
PW44,G359
PW29,G322
PW23,G195
PW48,G373
PW30,G177
PW8,G4
PW29,G377
PW4,G158
PW46,G299
PW36,G220
PW4,G331
PW31,G252
PW48,G249
PW2,G107
PW31,G197
PW13,G192
PW12,G241
PW31,G366
PW25,G280
PW18,G338
PW27,G165
PW19,G141
PW4,G330
PW49,G207
PW22,G10
PW27,G20
PW8,G384
PW49,G237
PW44,G335
PW32,G189
PW7,G209
PW46,G138
PW45,G373
PW2,G81
PW29,G117
PW26,G147
PW19,G66
PW12,G90
PW5,G159
PW19,G320
PW45,G187
PW37,G243
PW18,G351
PW16,G49
PW45,G366
PW47,G141
PW17,G74
PW23,G159
PW18,G352
PW47,G103
PW41,G302
PW5,G75
PW9,G227
PW11,G37
PW34,G228
PW6,G17
PW3,G283
PW4,G47
PW1,G142
PW5,G214
PW36,G305
PW31,G152
PW29,G281
PW12,G100
PW3,G178
PW26,G289
PW36,G326
PW42,G254
PW42,G199
PW15,G283
PW27,G12
PW17,G352
PW38,G154
PW40,G253
PW41,G25
PW32,G214
PW48,G244
PW35,G15
PW9,G257
PW39,G231
PW23,G33
PW39,G249
PW22,G95
PW48,G264
PW40,G134
PW38,G341
PW20,G67
PW7,G211
PW44,G119
PW6,G127
PW17,G65
PW14,G166
PW35,G52
PW19,G3
PW3,G385
PW23,G87
PW27,G27
PW42,G25
PW13,G188
PW10,G334
PW2,G341
PW7,G396
PW46,G145
PW8,G80
PW15,G365
PW11,G96
PW38,G373
PW31,G362
PW10,G44
PW21,G383
PW33,G349
PW36,G367
PW38,G342
PW37,G24
PW33,G62
PW17,G72
PW19,G316
PW17,G3
PW25,G368
PW37,G120
PW1,G323
PW33,G374
PW13,G386
PW15,G16
PW38,G85
PW12,G157
PW27,G366
PW29,G66
PW23,G299
PW1,G393
PW6,G367
PW48,G1
PW46,G38
PW36,G303
PW9,G74
PW40,G298
PW35,G333
PW18,G271
PW41,G110
PW10,G176
PW29,G173
PW46,G131
PW13,G28
PW20,G362
PW21,G299
PW15,G209
PW13,G204
PW6,G228
PW28,G225
PW49,G308
PW5,G200
PW14,G118
PW19,G363
PW21,G58
PW9,G219
PW30,G109
PW3,G253
PW9,G41
PW26,G83
PW32,G126
PW42,G348
PW21,G99
PW37,G341
PW45,G166
PW18,G112
PW9,G342
PW13,G35
PW28,G398
PW11,G302
PW30,G157
PW29,G41
PW33,G96
PW35,G275
PW19,G312
PW32,G76
PW28,G67
PW1,G59
PW24,G163
PW16,G180
PW40,G256
PW21,G153
PW35,G92
PW4,G391
PW37,G367
PW34,G56
PW14,G259
PW12,G16
PW1,G204
PW45,G386
PW14,G29
PW46,G176
PW31,G334
PW15,G58
PW45,G182
PW13,G295
PW35,G393
PW4,G221
PW38,G67
PW35,G23
PW31,G343
PW39,G351
PW2,G110
PW21,G331
PW8,G11
PW44,G356
PW13,G333
PW29,G281
PW36,G171
PW47,G69
PW16,G177
PW2,G144
PW12,G345
PW14,G257
PW25,G271
PW0,G139
PW44,G336
PW39,G128
PW46,G330
PW11,G369
PW26,G231
PW35,G375
PW5,G335
PW15,G165
PW0,G70
PW15,G35
PW49,G192
PW2,G228
PW33,G1
PW13,G87
PW21,G328
PW43,G328
PW14,G315
PW34,G148
PW19,G281
PW46,G340
PW36,G42
PW1,G292
PW5,G274
PW14,G313
PW29,G244
PW36,G396
PW48,G284
PW41,G247
PW20,G346
PW45,G79
PW4,G151
PW26,G205
PW8,G197
PW24,G390
PW18,G197
PW40,G223
PW1,G71
PW10,G398
PW0,G3
PW27,G312
PW25,G117
PW3,G233
PW33,G235
PW0,G321
PW17,G155
PW44,G215
PW24,G58
PW19,G354
PW11,G23
PW31,G168
PW6,G133
PW43,G83
PW35,G232
PW44,G116
PW14,G308
PW26,G250
PW4,G163
PW9,G334
PW2,G107
PW44,G267
PW44,G244
PW35,G225
PW43,G290
PW27,G243
PW15,G83
PW22,G394
PW0,G388
PW22,G111
PW28,G350
PW2,G89
PW3,G228
PW32,G278
PW42,G119
PW17,G280
PW46,G19
