pathway_id,gene
PW31,G152
PW35,G232
PW43,G395
PW1,G216
PW43,G3
PW37,G173
PW14,G228
PW32,G42
PW3,G271
PW40,G214
PW8,G114
PW48,G306
PW8,G100
PW28,G239
PW48,G235
PW23,G148
PW38,G333
PW33,G396
PW26,G209
PW26,G291
PW10,G311
PW4,G23
PW45,G324
PW12,G342
PW34,G336
PW36,G243
PW45,G192
PW17,G338
PW34,G80
PW13,G248
PW42,G341
PW9,G386
PW24,G88
PW35,G299
PW3,G282
PW33,G246
PW45,G328
PW26,G58
PW29,G105
PW21,G274
PW45,G130
PW23,G59
PW3,G188
PW32,G161
PW44,G289
PW37,G130
PW2,G328
PW26,G141
PW14,G333
PW24,G12
PW14,G32
PW13,G224
PW40,G309
PW33,G153
PW15,G212
PW15,G356
PW2,G375
PW4,G47
PW33,G33
PW48,G312
PW45,G333
PW23,G211
PW33,G148
PW38,G131
PW41,G226
PW11,G58
PW7,G155
PW28,G25
PW22,G172
PW30,G168
PW47,G285
PW48,G133
PW23,G309
PW15,G111
PW1,G250
PW29,G20
PW13,G167
PW22,G45
PW9,G302
PW48,G331
PW45,G163
PW24,G263
PW49,G71
PW23,G16
PW11,G367
PW37,G189
PW48,G187
PW8,G180
PW39,G383
PW5,G323
PW42,G154
PW22,G379
PW13,G259
PW48,G86
PW15,G345
PW28,G4
PW30,G347
PW28,G13
PW14,G182
PW29,G19
PW14,G110
PW2,G367
PW40,G191
PW2,G267
PW36,G103
PW34,G355
PW24,G117
PW47,G223
PW6,G53
PW12,G206
PW35,G368
PW11,G201
PW34,G17
PW0,G1
PW9,G148
PW4,G216
PW37,G167
PW49,G158
PW23,G237
PW22,G146
PW30,G51
PW18,G84
PW3,G204
PW19,G275
PW11,G170
PW6,G132
PW39,G75
PW17,G38
PW48,G176
PW22,G355
PW8,G183
PW45,G43
PW47,G295
PW7,G377
PW49,G96
PW15,G69
PW30,G294
PW30,G328
PW40,G292
PW44,G377
PW25,G79
PW29,G72
PW6,G4
PW5,G131
PW3,G36
PW25,G3
PW9,G267
PW39,G47
PW48,G51
PW30,G166
PW4,G327
PW20,G274
PW19,G221
PW24,G119
PW34,G67
PW12,G221
PW34,G261
PW29,G112
PW25,G378
