pathway_id,gene
PW41,G98
PW0,G243
PW37,G317
PW40,G144
PW45,G218
PW25,G49
PW7,G382
PW42,G115
PW0,G170
PW1,G291
PW49,G282
PW5,G88
PW33,G59
PW46,G227
PW44,G80
PW21,G33
PW11,G349
PW8,G252
PW18,G132
PW15,G35
PW15,G74
PW31,G167
PW28,G1
PW20,G333
PW11,G358
PW47,G75
PW46,G244
PW38,G313
PW26,G335
PW48,G222
PW1,G55
PW22,G118
PW4,G334
PW44,G315
PW22,G377
PW48,G201
PW3,G306
PW3,G39
PW16,G24
PW38,G32
PW30,G338
PW39,G107
PW0,G247
PW12,G378
PW17,G291
PW34,G167
PW17,G192
PW26,G250
PW13,G47
PW47,G19
PW45,G85
PW30,G315
PW35,G103
PW14,G164
PW17,G68
PW35,G299
PW44,G320
PW26,G69
PW32,G307
PW11,G309
PW17,G320
PW8,G64
PW30,G90
PW9,G219
PW35,G13
PW3,G226
PW14,G215
PW10,G103
PW3,G226
PW9,G197
PW34,G49
PW42,G228
PW7,G343
PW9,G290
PW18,G245
PW42,G35
PW13,G326
PW17,G383
PW13,G58
PW8,G65
PW28,G330
PW41,G347
PW43,G279
PW38,G145
PW6,G368
PW38,G356
PW32,G261
PW36,G139
PW36,G333
PW31,G66
PW32,G320
PW13,G58
PW40,G67
PW9,G178
PW46,G263
PW34,G229
PW40,G180
PW26,G382
PW40,G247
PW11,G323
PW32,G367
PW27,G262
PW17,G270
PW38,G69
PW36,G42
PW30,G228
PW29,G192
PW10,G208
PW23,G75
PW26,G295
PW11,G16
PW2,G141
PW20,G275
PW33,G250
PW41,G110
PW20,G103
PW10,G369
PW6,G19
PW48,G394
PW22,G117
PW16,G23
PW0,G133
PW45,G344
PW27,G199
PW49,G206
PW7,G89
PW15,G343
PW14,G304
PW12,G381
PW9,G295
PW44,G133
PW34,G243
PW25,G176
PW4,G107
PW27,G329
PW40,G156
PW27,G82
PW9,G215
PW15,G291
PW33,G165
PW24,G277
PW38,G31
PW7,G146
PW12,G119
PW0,G219
PW26,G299
PW0,G105
PW45,G47
PW38,G366
PW8,G171
PW2,G163
PW31,G335
PW37,G214
PW9,G3
PW44,G254
PW8,G305
