pathway_id,gene
PW30,G275
PW42,G343
PW37,G67
PW48,G290
PW44,G176
PW14,G377
PW28,G299
PW41,G177
PW43,G383
PW33,G25
PW14,G240
PW44,G94
PW40,G88
PW15,G20
PW25,G367
PW18,G204
PW33,G10
PW32,G367
PW29,G83
PW4,G145
PW37,G131
PW18,G17
PW23,G81
PW29,G31
PW5,G193
PW41,G351
PW9,G72
PW0,G165
PW21,G251
PW35,G71
PW48,G334
PW23,G75
PW29,G45
PW30,G157
PW35,G114
PW5,G373
PW48,G310
PW34,G154
PW38,G396
PW10,G133
PW0,G145
PW46,G161
PW25,G327
PW7,G294
PW0,G243
PW4,G393
PW41,G117
PW15,G166
PW46,G176
PW29,G299
PW29,G24
PW31,G110
PW48,G225
PW0,G105
PW4,G303
PW38,G328
PW23,G245
PW17,G302
PW45,G30
PW47,G264
PW1,G259
PW29,G52
PW6,G165
PW21,G230
PW10,G369
PW39,G90
PW14,G58
PW9,G196
PW20,G322
PW49,G271
PW21,G237
PW37,G209
PW10,G58
PW14,G352
PW24,G64
PW26,G94
PW25,G385
PW8,G181
PW43,G182
PW35,G98
PW48,G295
PW1,G373
PW39,G342
PW20,G134
PW38,G19
PW32,G287
PW30,G53
PW37,G91
PW26,G394
PW22,G148
PW10,G344
PW28,G58
PW29,G135
PW32,G271
PW15,G382
PW43,G383
PW31,G192
PW13,G129
PW31,G160
PW7,G250
PW25,G32
PW0,G141
PW23,G57
PW8,G371
PW45,G114
PW0,G51
PW23,G299
PW22,G191
PW8,G18
PW4,G214
PW37,G25
PW46,G302
PW2,G293
PW14,G92
PW11,G250
PW44,G203
PW9,G188
PW3,G65
PW38,G75
PW5,G253
PW13,G102
PW28,G70
PW28,G367
PW11,G159
PW3,G270
PW19,G187
PW45,G47
PW12,G111
PW8,G198
PW15,G266
PW24,G118
PW34,G299
PW34,G341
PW43,G187
PW30,G360
PW22,G58
PW31,G144
PW29,G128
PW2,G111
PW4,G115
PW33,G20
PW36,G24
PW45,G11
