pathway_id,gene
PW44,G16
PW26,G62
PW21,G85
PW1,G381
PW49,G264
PW34,G371
PW5,G318
PW3,G181
PW11,G228
PW23,G25
PW44,G12
PW46,G117
PW28,G394
PW26,G66
PW45,G223
PW13,G209
PW33,G229
PW27,G142
PW11,G216
PW10,G327
PW42,G129
PW14,G8
PW20,G327
PW38,G386
PW13,G67
PW33,G122
PW26,G377
PW18,G256
PW4,G318
PW22,G323
PW12,G181
PW27,G227
PW11,G125
PW13,G165
PW5,G94
PW32,G180
PW12,G279
PW16,G58
PW30,G3
PW6,G293
PW32,G40
PW19,G378
PW22,G298
PW38,G103
PW26,G383
PW4,G284
PW9,G295
PW39,G146
PW1,G312
PW9,G111
PW36,G79
PW6,G20
PW29,G74
PW10,G393
PW49,G36
PW4,G271
PW31,G223
PW42,G32
PW18,G49
PW32,G277
PW1,G286
PW0,G168
PW33,G115
PW25,G390
PW31,G37
PW35,G195
PW44,G237
PW44,G187
PW13,G148
PW23,G17
PW35,G123
PW17,G167
PW14,G38
PW2,G191
PW20,G47
PW33,G355
PW29,G267
PW8,G291
PW48,G76
PW35,G189
PW34,G340
PW32,G318
PW3,G264
PW37,G333
PW2,G53
PW18,G371
PW13,G356
PW37,G313
PW33,G150
PW37,G280
PW15,G163
PW47,G351
PW3,G198
PW31,G362
PW44,G161
PW17,G103
PW49,G282
PW37,G176
PW14,G391
PW10,G270
PW5,G189
PW14,G163
PW2,G215
PW28,G4
PW8,G128
PW0,G84
PW8,G63
PW19,G171
PW23,G383
PW23,G251
PW38,G133
PW31,G47
PW9,G83
PW24,G330
PW28,G17
PW29,G344
PW6,G330
PW46,G181
PW9,G187
PW4,G40
PW28,G312
PW7,G245
PW41,G200
PW47,G366
PW6,G200
PW13,G41
PW13,G98
PW22,G125
PW38,G78
PW44,G154
PW1,G100
PW3,G109
PW8,G336
PW0,G18
PW5,G209
PW47,G235
PW47,G295
PW12,G125
PW46,G193
PW43,G171
PW45,G335
PW36,G361
PW7,G107
PW48,G132
PW13,G255
PW46,G47
PW4,G338
PW15,G356
PW49,G43
PW33,G163
PW21,G103
PW46,G3
PW9,G281
PW21,G59
PW15,G368
PW16,G332
PW37,G353
PW14,G273
PW20,G92
PW9,G335
PW43,G244
PW18,G53
PW47,G262
PW24,G374
PW48,G237
PW22,G19
PW4,G303
PW17,G206
PW28,G281
PW38,G66
PW2,G105
PW19,G96
PW19,G137
PW23,G275
PW41,G139
PW49,G355
PW26,G247
PW26,G203
PW29,G396
PW35,G42
PW29,G153
PW37,G33
PW19,G3
PW15,G299
PW28,G208
PW10,G127
PW24,G118
PW1,G190
PW8,G334
PW25,G370
PW4,G66
PW30,G348
PW6,G333
PW14,G384
PW10,G297
PW38,G251
PW4,G13
PW13,G139
PW18,G64
PW42,G25
PW4,G166
PW15,G334
PW0,G232
PW12,G348
PW17,G229
PW49,G352
PW48,G59
PW14,G301
PW26,G314
PW29,G133
PW8,G193
PW34,G339
PW0,G328
PW44,G247
PW23,G309
PW29,G329
PW27,G278
PW8,G13
PW25,G246
PW22,G142
PW9,G369
PW39,G156
PW42,G148
PW48,G142
PW15,G132
PW20,G212
PW45,G220
PW20,G83
PW9,G25
PW1,G70
PW18,G191
PW33,G35
PW7,G203
PW24,G263
PW28,G196
PW0,G131
PW17,G316
PW33,G65
PW25,G3
PW9,G304
PW44,G220
PW11,G225
PW7,G251
PW0,G264
PW11,G295
PW26,G393
PW43,G67
PW3,G96
PW40,G296
PW29,G274
PW15,G69
PW13,G114
PW38,G292
PW6,G307
PW36,G33
PW11,G352
PW47,G378
PW3,G72
PW19,G67
PW35,G383
PW36,G347
PW40,G388
PW14,G82
PW16,G287
PW39,G376
PW44,G333
PW39,G139
PW32,G244
PW43,G197
PW35,G38
PW47,G266
PW44,G172
PW26,G14
PW20,G99
PW16,G65
PW35,G180
PW26,G321
PW19,G227
PW19,G23
PW24,G192
PW6,G295
PW27,G192
PW20,G96
PW3,G247
PW45,G295
PW34,G74
PW45,G20
PW46,G182
PW37,G16
PW21,G107
PW3,G389
PW38,G157
PW15,G24
PW3,G329
PW34,G378
PW29,G44
PW42,G266
PW33,G350
PW22,G312
PW37,G308
PW4,G311
PW26,G145
PW2,G291
PW21,G396
PW28,G250
PW49,G155
PW30,G244
PW12,G163
PW0,G244
PW33,G135
PW48,G387
PW46,G378
PW20,G187
PW43,G367
PW17,G358
PW8,G362
PW38,G95
PW2,G373
PW22,G102
PW7,G219
PW25,G360
PW0,G261
PW30,G397
PW33,G291
PW23,G250
PW27,G55
PW33,G83
PW10,G119
PW48,G243
PW8,G380
PW17,G224
PW45,G212
PW41,G249
PW23,G299
PW26,G377
PW18,G172
PW12,G132
PW11,G46
PW35,G340
PW43,G373
PW21,G253
PW30,G159
PW32,G320
PW3,G205
PW13,G349
PW30,G167
PW37,G117
PW47,G228
PW5,G250
PW0,G250
PW19,G66
PW38,G172
PW9,G112
PW44,G52
PW39,G246
PW23,G399
PW28,G238
PW30,G201
PW17,G51
PW28,G252
PW12,G67
PW18,G10
PW30,G170
PW21,G275
PW1,G166
PW36,G223
PW26,G351
PW36,G192
PW35,G241
PW38,G289
PW19,G29
PW14,G58
PW40,G157
PW8,G385
PW32,G343
PW29,G340
PW31,G90
PW33,G191
PW49,G86
PW10,G92
PW12,G282
PW29,G312
PW48,G367
PW42,G373
PW9,G17
PW42,G343
PW46,G257
PW40,G226
PW14,G62
PW36,G88
PW48,G354
PW30,G287
PW17,G214
PW37,G65
PW5,G75
PW4,G218
PW36,G224
PW45,G3
PW11,G49
PW25,G168
PW2,G137
PW38,G118
PW15,G218
PW12,G285
PW13,G295
PW19,G204
PW2,G150
PW7,G282
PW0,G377
PW45,G102
PW18,G292
PW7,G58
PW30,G254
PW27,G165
PW0,G271
PW9,G158
PW36,G398
PW2,G134
PW44,G92
PW5,G195
PW12,G119
PW2,G279
PW48,G323
PW24,G326
PW43,G70
PW17,G326
PW31,G153
PW17,G341
PW29,G396
PW26,G208
PW14,G126
PW30,G338
PW11,G73
PW2,G290
PW18,G334
PW22,G12
PW0,G294
PW17,G271
PW16,G305
PW8,G37
PW45,G310
PW13,G214
PW38,G367
PW13,G278
PW14,G342
PW22,G280
PW48,G165
PW7,G207
PW23,G84
PW0,G188
PW5,G146
PW49,G394
PW38,G170
PW2,G333
PW13,G69
PW10,G156
PW39,G56
PW32,G228
PW23,G244
PW10,G209
PW25,G65
PW14,G385
PW8,G329
PW35,G222
PW12,G394
PW22,G368
PW15,G384
PW41,G306
PW17,G334
PW48,G76
PW3,G306
PW26,G99
PW38,G14
PW18,G1
PW48,G56
PW36,G83
PW20,G16
PW43,G24
PW45,G119
PW45,G355
PW48,G338
PW25,G28
PW14,G3
PW33,G131
PW45,G68
PW8,G248
PW3,G85
PW34,G336
PW3,G327
PW3,G227
PW9,G243
PW38,G167
PW44,G299
PW22,G223
PW20,G110
PW5,G121
PW15,G49
PW26,G342
PW28,G244
PW2,G178
PW4,G209
PW28,G39
PW48,G262
PW4,G135
PW30,G189
PW38,G238
PW29,G63
PW1,G172
PW9,G259
PW11,G141
PW34,G159
PW35,G1
PW6,G141
PW10,G395
PW43,G363
PW34,G110
PW29,G309
PW40,G49
PW6,G23
PW24,G334
PW45,G321
PW11,G247
PW40,G108
PW37,G128
PW1,G120
PW4,G245
PW6,G155
PW41,G177
PW31,G6
PW33,G267
PW3,G80
PW9,G196
PW33,G311
PW7,G271
PW35,G108
PW41,G363
PW22,G87
PW23,G301
PW1,G160
PW17,G357
PW26,G148
PW15,G179
PW36,G165
PW48,G114
PW29,G378
PW1,G52
PW45,G243
PW37,G175
PW23,G225
PW41,G328
PW41,G56
PW30,G287
PW30,G58
PW17,G233
PW15,G326
PW41,G240
PW43,G93
PW39,G336
PW32,G355
PW17,G320
PW15,G33
PW41,G324
PW43,G295
PW15,G146
PW28,G373
PW15,G44
PW9,G152
PW46,G320
PW17,G365
PW9,G204
PW48,G25
PW46,G197
PW37,G359
PW36,G69
PW5,G180
PW8,G369
PW14,G216
PW48,G124
PW7,G341
PW45,G366
PW34,G396
PW27,G141
PW35,G165
PW37,G87
PW46,G250
PW23,G214
PW20,G381
PW15,G23
PW13,G302
PW1,G199
PW8,G144
PW35,G138
PW30,G371
PW9,G174
PW29,G177
PW39,G257
PW45,G382
PW46,G337
PW4,G270
PW23,G47
PW23,G393
PW2,G278
PW0,G392
PW21,G274
PW33,G292
PW46,G396
PW38,G351
PW42,G88
PW36,G261
PW44,G232
PW37,G24
PW16,G130
PW25,G285
