pathway_id,gene
PW19,G329
PW27,G369
PW29,G66
PW45,G367
PW33,G282
PW47,G52
PW1,G225
PW20,G366
PW22,G148
PW22,G139
PW15,G388
PW9,G176
PW20,G31
PW36,G166
PW8,G125
PW31,G257
PW34,G132
PW40,G383
PW38,G302
PW21,G159
PW6,G221
PW25,G341
PW39,G219
PW14,G345
PW48,G215
PW49,G96
PW12,G385
PW28,G30
PW17,G293
PW27,G366
PW38,G229
PW7,G118
PW12,G28
PW2,G71
PW1,G351
PW30,G52
PW18,G231
PW25,G47
PW26,G59
PW8,G110
PW38,G201
PW8,G336
PW19,G373
PW0,G290
PW7,G166
PW15,G74
PW13,G243
PW35,G119
PW35,G84
PW19,G16
PW35,G279
PW46,G352
PW0,G271
PW48,G103
PW33,G3
PW40,G244
PW35,G242
PW4,G232
PW44,G326
PW43,G47
PW41,G374
PW49,G197
PW14,G32
PW22,G79
PW45,G229
PW44,G163
PW10,G16
PW2,G285
PW8,G346
PW4,G20
PW38,G396
PW44,G282
PW15,G383
PW45,G33
PW39,G85
PW18,G301
PW43,G340
PW26,G250
PW8,G318
PW21,G251
PW40,G296
PW16,G333
PW45,G383
PW26,G130
PW40,G116
PW35,G233
PW47,G299
PW28,G224
PW13,G191
PW14,G53
PW32,G38
PW15,G302
PW25,G308
PW11,G386
PW6,G128
PW36,G4
PW13,G174
PW31,G59
PW11,G192
PW12,G160
PW14,G165
PW2,G88
PW39,G295
PW30,G384
PW5,G330
PW11,G134
PW0,G318
PW1,G261
PW4,G139
PW38,G358
PW39,G383
PW17,G312
PW44,G237
PW16,G262
PW10,G385
PW17,G37
PW19,G280
PW33,G155
PW22,G255
PW11,G181
PW24,G157
PW37,G226
PW13,G109
PW9,G24
PW8,G351
PW21,G244
PW30,G103
PW25,G94
PW26,G147
PW34,G70
PW23,G381
PW2,G132
PW42,G197
PW29,G377
PW26,G69
PW26,G76
PW14,G142
PW45,G231
PW36,G392
PW24,G264
PW11,G298
PW48,G141
PW18,G373
PW26,G117
PW38,G103
PW42,G124
PW24,G257
PW38,G84
PW23,G14
PW37,G83
PW5,G304
PW17,G42
PW1,G16
PW17,G339
PW48,G96
PW25,G393
PW6,G25
PW28,G100
PW15,G24
PW47,G203
PW32,G267
PW0,G232
PW38,G283
PW15,G287
PW9,G126
PW11,G172
PW30,G221
PW48,G227
PW12,G95
PW43,G295
PW31,G57
PW26,G44
PW24,G266
PW15,G23
PW24,G393
PW9,G129
PW36,G119
PW3,G252
PW43,G165
PW12,G227
PW20,G350
PW32,G284
PW9,G377
PW9,G168
PW10,G277
PW32,G223
PW23,G132
PW37,G120
PW7,G250
PW42,G125
PW43,G391
PW29,G228
PW9,G326
PW44,G256
PW11,G168
PW48,G139
PW21,G357
PW29,G141
PW20,G51
PW21,G287
PW20,G363
PW16,G328
PW28,G58
PW22,G295
PW19,G220
PW18,G91
PW15,G58
PW29,G290
PW13,G366
PW5,G69
PW30,G398
PW5,G49
PW44,G142
PW1,G117
PW16,G156
PW2,G115
PW35,G338
PW15,G251
PW44,G323
PW33,G66
PW22,G24
PW23,G247
PW1,G173
PW12,G41
PW49,G28
PW45,G40
PW31,G203
PW0,G371
PW48,G279
PW17,G343
PW49,G315
PW8,G320
PW41,G336
PW46,G99
PW31,G19
PW13,G299
PW44,G334
PW49,G15
PW41,G332
PW38,G333
PW28,G190
PW17,G148
PW34,G239
PW11,G141
PW13,G65
PW16,G209
PW35,G340
PW34,G19
PW22,G3
PW11,G107
PW28,G29
PW2,G192
PW35,G380
PW33,G86
PW41,G384
PW40,G180
PW10,G14
PW45,G196
PW23,G286
PW37,G223
PW42,G114
PW42,G270
PW33,G243
PW4,G172
PW34,G158
PW2,G93
PW28,G214
PW34,G8
PW35,G309
PW30,G277
PW24,G254
PW37,G111
PW29,G266
PW31,G304
PW5,G389
PW3,G228
PW43,G382
PW20,G388
PW8,G305
PW24,G190
PW48,G180
PW39,G314
PW3,G367
PW0,G40
PW11,G105
PW48,G248
PW4,G4
PW42,G98
PW7,G362
PW22,G321
PW38,G56
PW37,G189
PW16,G262
PW20,G75
PW15,G294
PW47,G17
PW31,G107
PW34,G292
PW24,G32
PW4,G278
PW31,G44
PW28,G167
PW29,G158
PW43,G226
PW49,G145
PW37,G68
PW28,G292
PW25,G155
PW23,G278
PW29,G226
PW20,G259
PW15,G114
PW13,G262
PW35,G141
PW30,G390
PW43,G167
PW23,G386
PW7,G383
PW4,G299
PW47,G321
PW43,G370
PW6,G246
PW49,G206
PW30,G108
PW49,G138
PW36,G35
PW34,G279
PW18,G153
PW32,G92
PW15,G165
PW22,G80
PW29,G397
PW14,G131
PW29,G157
PW19,G318
PW5,G369
PW40,G306
PW15,G223
PW35,G150
PW36,G367
PW2,G128
PW45,G355
PW5,G130
PW35,G17
PW26,G290
PW35,G256
PW3,G274
PW11,G13
PW23,G343
PW47,G309
PW12,G208
PW15,G75
PW36,G325
PW36,G365
PW46,G83
PW46,G90
PW33,G360
PW17,G342
PW16,G356
PW14,G102
PW9,G243
PW10,G150
PW11,G274
PW46,G311
PW44,G191
PW3,G156
PW38,G66
PW44,G371
PW9,G348
PW0,G144
PW35,G1
PW26,G368
PW46,G163
PW29,G219
PW26,G333
PW17,G133
PW35,G181
PW26,G375
PW11,G348
PW45,G20
PW21,G316
PW13,G249
PW40,G46
PW43,G348
PW48,G3
PW8,G209
PW26,G308
PW29,G228
PW14,G180
PW3,G83
PW0,G95
PW35,G349
PW10,G200
PW12,G85
PW40,G328
PW36,G261
PW14,G176
PW26,G329
PW14,G222
PW34,G74
PW0,G141
PW0,G208
PW6,G38
PW12,G133
PW23,G327
PW35,G145
PW41,G198
PW18,G182
PW33,G355
