pathway_id,gene
PW22,G29
PW2,G144
PW44,G263
PW29,G314
PW1,G361
PW45,G3
PW29,G258
PW25,G257
PW26,G261
PW21,G18
PW31,G122
PW47,G220
PW31,G141
PW26,G40
PW5,G103
PW24,G204
PW18,G228
PW39,G355
PW11,G235
PW30,G299
PW4,G155
PW0,G107
PW2,G331
PW31,G295
PW32,G221
PW44,G94
PW34,G231
PW13,G378
PW39,G362
PW20,G354
PW46,G209
PW39,G121
PW26,G193
PW30,G378
PW5,G320
PW3,G328
PW1,G133
PW3,G58
PW12,G312
PW36,G356
PW6,G1
PW3,G344
PW48,G119
PW30,G164
PW23,G237
PW49,G394
PW10,G287
PW26,G295
PW25,G239
PW6,G193
PW23,G366
PW48,G148
PW34,G327
PW1,G378
PW40,G299
PW21,G69
PW4,G197
PW16,G68
PW28,G208
PW11,G14
PW35,G180
PW28,G379
PW25,G222
PW9,G176
PW33,G360
PW45,G333
PW17,G282
PW35,G139
PW11,G24
PW42,G358
PW26,G38
PW41,G393
PW32,G12
PW24,G165
PW26,G165
PW25,G256
PW15,G49
PW44,G280
PW18,G326
PW12,G82
PW10,G291
PW38,G190
PW36,G261
PW38,G264
PW32,G57
PW18,G333
PW48,G14
PW5,G133
PW31,G284
PW2,G345
PW9,G383
PW38,G42
PW14,G336
PW15,G142
PW24,G250
PW23,G180
PW35,G332
PW2,G294
PW4,G159
PW31,G4
PW48,G88
PW36,G3
PW33,G196
PW30,G197
PW1,G95
PW31,G370
PW22,G168
PW9,G156
PW45,G127
PW14,G366
PW9,G103
PW49,G3
PW35,G142
PW18,G165
PW34,G192
PW18,G94
PW4,G247
PW23,G363
PW33,G115
PW45,G36
PW23,G110
PW47,G227
PW35,G226
PW23,G278
PW26,G301
PW9,G84
PW9,G118
PW35,G67
PW45,G49
PW33,G156
PW44,G132
PW36,G153
PW17,G399
PW26,G177
PW34,G95
PW24,G348
PW3,G39
PW22,G367
PW7,G35
PW47,G254
PW38,G113
PW3,G186
PW47,G150
PW3,G281
PW16,G360
PW11,G137
PW15,G216
PW33,G96
PW30,G24
PW48,G259
PW29,G312
PW43,G376
PW17,G125
PW1,G351
PW15,G90
PW29,G247
PW1,G139
PW0,G173
PW14,G41
PW10,G102
PW40,G374
PW40,G373
PW33,G304
PW13,G53
PW40,G115
PW24,G387
PW13,G69
PW43,G209
PW46,G129
PW46,G255
PW26,G110
PW28,G109
PW25,G332
PW37,G207
PW11,G306
PW43,G131
PW18,G191
PW49,G117
PW35,G134
PW20,G212
PW35,G148
PW4,G351
PW26,G229
PW36,G93
PW15,G120
PW14,G303
PW11,G281
PW22,G240
PW8,G277
PW44,G290
PW12,G384
PW37,G148
PW12,G120
PW38,G24
PW0,G1
PW31,G10
PW9,G264
PW6,G47
PW26,G285
PW35,G110
PW16,G386
PW10,G394
PW35,G76
PW38,G244
PW6,G62
PW11,G13
PW10,G178
PW12,G193
PW47,G125
PW35,G295
PW48,G179
PW7,G180
PW30,G286
PW26,G33
PW8,G130
PW46,G58
PW12,G247
PW18,G19
PW42,G318
PW13,G366
PW28,G334
PW0,G336
PW24,G74
