pathway_id,gene
PW32,G209
PW9,G330
PW39,G257
PW36,G146
PW39,G329
PW28,G379
PW46,G233
PW4,G203
PW45,G270
PW39,G389
PW34,G256
PW34,G186
PW37,G244
PW25,G115
PW19,G396
PW30,G324
PW39,G87
PW23,G40
PW34,G119
PW4,G83
PW27,G168
PW30,G158
PW4,G250
PW33,G37
PW16,G88
PW35,G164
PW24,G155
PW20,G266
PW8,G105
PW42,G193
PW45,G227
PW47,G390
PW12,G302
PW15,G107
PW14,G284
PW10,G204
PW24,G197
PW21,G160
PW26,G108
PW12,G281
PW5,G396
PW33,G16
PW40,G280
PW5,G13
PW18,G261
PW23,G290
PW26,G155
PW43,G295
PW48,G377
PW17,G163
PW29,G176
PW16,G66
PW2,G114
PW49,G298
PW14,G89
PW36,G220
PW30,G12
PW43,G44
PW35,G229
PW1,G58
PW2,G295
PW10,G215
PW10,G17
PW38,G382
PW1,G41
PW19,G69
PW45,G74
PW4,G298
PW34,G237
PW36,G386
PW30,G223
PW26,G348
PW9,G1
PW30,G189
PW46,G32
PW18,G114
PW33,G133
PW16,G66
PW6,G377
PW41,G258
PW41,G253
PW0,G271
PW32,G244
PW11,G291
PW43,G112
PW8,G282
PW24,G290
PW31,G131
PW2,G330
PW24,G333
PW11,G302
PW20,G355
PW6,G153
PW25,G86
PW29,G198
PW37,G214
PW9,G94
PW13,G158
PW0,G63
PW9,G66
PW24,G290
PW22,G394
PW34,G281
PW21,G362
PW33,G274
PW2,G58
PW37,G373
PW3,G391
PW17,G161
PW37,G334
PW49,G68
PW9,G159
PW35,G387
PW44,G3
PW7,G154
PW2,G137
PW2,G309
PW48,G137
PW36,G394
PW40,G325
PW15,G266
PW27,G271
PW10,G24
PW30,G142
PW26,G155
PW43,G28
PW23,G70
PW14,G228
PW29,G314
PW2,G321
PW27,G96
PW22,G388
PW46,G371
PW3,G209
PW0,G51
PW28,G141
PW1,G349
PW45,G246
PW15,G31
PW42,G306
PW28,G65
PW6,G334
PW28,G146
PW49,G133
PW42,G250
PW49,G248
PW36,G125
PW0,G226
PW25,G188
PW27,G315
PW12,G385
PW8,G128
PW44,G40
PW21,G220
PW11,G232
PW36,G318
PW36,G117
PW49,G90
PW3,G59
PW15,G222
PW26,G25
PW28,G78
PW36,G49
PW25,G134
PW30,G23
PW25,G312
PW15,G187
PW46,G120
PW25,G67
PW20,G103
PW35,G215
PW4,G351
PW2,G80
PW3,G243
PW49,G145
PW31,G334
PW0,G334
PW17,G377
PW22,G165
PW8,G165
PW4,G139
PW15,G51
PW32,G384
PW4,G16
PW26,G228
PW44,G25
PW7,G312
PW36,G208
PW1,G238
PW23,G328
PW29,G16
PW46,G368
PW17,G207
PW22,G308
PW0,G204
PW26,G264
PW14,G378
PW43,G386
PW44,G110
PW32,G233
PW36,G88
PW24,G250
PW2,G67
PW26,G321
PW32,G250
PW38,G378
PW26,G369
PW11,G278
PW4,G11
PW14,G160
PW38,G92
PW0,G180
PW14,G167
PW1,G200
PW35,G342
PW29,G243
PW38,G53
PW31,G1
PW37,G31
PW45,G271
PW6,G338
PW47,G294
PW37,G182
PW32,G71
PW44,G80
PW31,G367
PW17,G203
PW17,G144
PW24,G306
PW48,G360
PW45,G340
PW25,G153
PW8,G173
PW25,G47
PW35,G249
PW11,G341
PW17,G261
PW12,G285
PW18,G175
PW19,G37
PW28,G159
PW5,G102
PW48,G189
PW45,G341
PW0,G304
PW9,G174
PW12,G135
PW37,G232
PW29,G348
PW33,G108
PW44,G342
PW32,G366
PW37,G378
PW10,G259
PW47,G214
PW31,G392
PW49,G384
PW11,G65
PW16,G53
PW36,G209
PW33,G320
PW14,G283
PW46,G17
PW22,G373
PW13,G351
PW34,G172
PW32,G281
PW45,G333
PW18,G237
PW45,G227
PW16,G275
PW35,G75
PW41,G107
PW22,G321
PW0,G209
PW25,G197
PW19,G239
PW30,G320
PW33,G247
PW10,G333
PW18,G252
PW13,G127
PW9,G247
PW17,G368
PW46,G113
PW10,G24
PW6,G36
PW2,G262
PW13,G341
PW7,G351
PW39,G292
PW34,G312
PW38,G243
PW40,G167
PW31,G283
PW4,G196
PW46,G270
PW18,G56
PW47,G366
PW10,G355
PW29,G105
PW19,G88
PW49,G398
PW46,G31
PW18,G381
PW22,G103
PW17,G165
PW17,G8
PW34,G355
PW35,G115
PW0,G165
PW49,G264
PW34,G274
PW23,G111
PW35,G52
PW10,G201
PW20,G206
PW23,G165
PW46,G84
PW2,G132
PW20,G69
PW38,G377
PW5,G251
PW47,G371
PW9,G47
PW37,G117
PW12,G142
PW22,G83
PW24,G335
PW33,G244
PW29,G396
PW21,G181
PW29,G57
PW31,G224
PW41,G125
PW33,G205
PW23,G76
PW13,G383
PW38,G139
PW23,G109
PW16,G280
PW40,G385
PW35,G148
PW48,G74
PW24,G182
PW13,G141
PW22,G378
PW44,G226
PW29,G224
PW8,G200
PW4,G6
PW22,G333
PW30,G20
PW17,G147
PW31,G383
PW17,G197
PW27,G121
PW37,G193
PW22,G118
PW48,G255
PW0,G24
PW14,G342
PW9,G393
PW36,G4
PW4,G283
PW11,G83
PW34,G38
PW38,G23
PW48,G66
PW45,G193
PW37,G144
PW33,G131
PW33,G90
PW37,G43
PW48,G309
PW9,G388
PW3,G315
PW38,G264
PW6,G49
PW0,G141
PW39,G325
PW36,G135
PW6,G386
PW21,G219
PW11,G390
PW8,G38
PW25,G126
PW32,G183
PW33,G206
PW3,G378
PW13,G287
PW38,G70
PW23,G130
PW29,G235
PW37,G18
PW27,G75
PW20,G156
PW6,G231
PW13,G58
PW35,G299
PW17,G44
PW12,G367
PW12,G226
PW42,G195
PW29,G218
PW1,G253
PW16,G376
PW28,G163
PW15,G310
PW31,G216
PW4,G374
PW35,G243
PW48,G361
PW3,G286
PW31,G296
PW14,G167
PW25,G122
PW15,G180
PW23,G42
PW17,G256
PW1,G148
PW23,G132
PW0,G58
PW1,G176
PW37,G20
PW37,G3
PW33,G295
PW9,G327
PW0,G218
PW20,G85
PW15,G231
PW34,G148
PW43,G367
PW24,G336
PW33,G178
PW26,G152
PW48,G216
PW26,G271
PW47,G299
PW26,G295
PW17,G273
PW41,G191
PW19,G223
PW18,G299
PW19,G176
PW3,G145
PW23,G3
PW3,G348
PW41,G191
PW35,G79
PW44,G335
PW20,G318
PW38,G261
PW42,G334
PW26,G355
PW6,G180
PW11,G223
PW13,G157
PW32,G250
PW47,G394
PW2,G292
PW36,G259
PW19,G146
PW18,G303
PW8,G370
PW0,G313
PW20,G172
PW13,G328
PW19,G354
PW28,G1
PW1,G281
PW28,G72
PW2,G66
PW38,G18
PW30,G382
PW17,G373
PW2,G347
PW38,G330
PW35,G338
PW15,G166
PW21,G361
PW48,G395
PW5,G303
PW30,G257
PW11,G299
PW8,G190
PW40,G46
PW11,G279
PW41,G322
PW31,G380
PW25,G131
PW11,G309
PW41,G58
PW4,G232
PW11,G305
PW34,G92
PW43,G172
PW42,G28
PW45,G166
PW44,G245
PW8,G227
PW31,G247
PW47,G327
PW44,G279
PW26,G82
PW0,G381
PW35,G310
PW9,G180
PW29,G282
PW38,G212
PW22,G177
PW43,G123
PW47,G176
PW14,G326
PW11,G204
PW11,G189
PW6,G128
PW4,G175
PW23,G271
PW11,G16
PW27,G396
PW19,G369
PW45,G327
PW20,G88
PW25,G293
PW14,G58
PW45,G316
PW8,G160
PW9,G342
PW11,G179
PW44,G237
PW1,G199
PW48,G393
PW14,G125
PW28,G35
PW36,G49
PW30,G279
PW16,G158
PW48,G270
PW43,G187
PW20,G73
PW14,G350
PW6,G33
PW46,G338
PW39,G133
PW15,G65
PW18,G165
PW35,G109
PW27,G58
PW46,G318
PW28,G214
PW48,G95
PW29,G45
PW47,G172
PW3,G228
PW2,G212
PW14,G301
PW39,G40
PW8,G93
PW15,G63
PW38,G312
PW14,G67
PW8,G323
PW29,G337
PW3,G39
PW16,G99
PW45,G69
PW30,G332
PW4,G84
PW22,G257
PW26,G369
PW26,G134
PW13,G150
PW7,G291
PW38,G238
PW20,G230
PW44,G24
PW21,G125
PW3,G111
PW48,G353
PW33,G169
PW35,G157
PW26,G347
PW26,G49
PW0,G130
PW14,G289
PW5,G374
PW29,G344
PW23,G171
PW5,G132
PW9,G47
PW41,G266
PW3,G267
PW36,G363
PW14,G371
PW28,G211
PW18,G94
PW31,G29
PW18,G345
PW19,G119
PW7,G122
PW29,G141
PW33,G47
PW44,G124
PW1,G246
PW37,G243
PW9,G261
PW26,G393
PW34,G352
PW16,G138
PW23,G214
PW49,G328
PW5,G156
PW35,G129
PW9,G244
PW14,G141
PW8,G393
PW31,G10
PW4,G275
PW1,G320
PW40,G85
PW45,G331
PW5,G4
PW32,G278
PW15,G94
PW29,G331
PW15,G12
PW17,G154
PW30,G231
PW41,G27
PW39,G383
PW18,G340
PW26,G33
PW8,G56
PW45,G159
PW45,G25
PW14,G120
PW22,G240
PW29,G247
PW16,G3
PW45,G366
PW6,G208
PW15,G103
PW17,G278
PW40,G190
PW16,G191
PW8,G295
PW33,G255
PW31,G308
PW35,G375
PW39,G96
PW29,G267
PW20,G343
PW46,G208
PW18,G302
PW15,G153
PW2,G163
PW1,G151
PW5,G87
PW8,G192
PW38,G352
PW3,G219
PW1,G41
PW22,G295
PW33,G142
PW44,G245
PW27,G14
PW17,G139
PW28,G377
PW24,G171
PW22,G357
PW48,G359
PW42,G254
PW11,G25
PW1,G287
PW15,G356
PW13,G358
PW9,G67
PW17,G301
PW48,G52
PW23,G222
PW26,G244
PW14,G241
PW7,G32
PW30,G13
PW0,G295
PW45,G163
PW9,G96
PW0,G117
PW22,G323
PW36,G8
PW14,G223
PW34,G385
PW29,G326
PW30,G55
PW48,G64
PW2,G95
PW9,G31
PW10,G363
PW27,G304
PW43,G19
PW10,G326
PW30,G308
PW21,G272
PW15,G332
PW5,G168
PW44,G65
PW10,G365
PW25,G187
PW14,G152
PW7,G118
PW21,G91
PW45,G251
PW28,G320
PW43,G117
PW9,G114
PW13,G294
PW3,G281
PW44,G383
PW41,G336
PW41,G30
PW4,G56
PW11,G74
PW7,G84
PW4,G224
PW49,G3
PW2,G277
PW12,G52
PW37,G68
PW33,G59
PW38,G150
PW31,G225
PW32,G366
PW42,G311
PW19,G181
PW43,G242
PW35,G254
PW13,G329
PW24,G329
PW48,G116
PW33,G19
PW9,G343
PW24,G3
PW28,G306
PW15,G98
PW21,G333
PW40,G17
PW38,G189
PW15,G99
PW38,G267
PW33,G225
PW12,G229
PW40,G35
PW43,G75
PW3,G262
PW12,G292
PW38,G289
PW12,G62
PW29,G346
PW15,G343
PW19,G339
PW18,G81
PW15,G332
PW2,G220
PW4,G92
PW33,G318
PW32,G168
PW30,G196
PW36,G396
PW7,G132
PW44,G110
PW22,G360
PW30,G315
PW43,G128
PW30,G249
PW45,G93
PW40,G373
PW3,G398
PW40,G263
PW46,G100
PW48,G181
PW15,G277
PW39,G14
PW8,G317
PW49,G228
PW13,G274
PW28,G244
PW42,G103
PW10,G356
PW38,G311
PW24,G251
PW7,G351
PW37,G383
PW22,G170
PW49,G373
PW26,G368
PW30,G282
PW17,G38
PW31,G102
PW43,G367
PW3,G320
PW23,G362
PW35,G146
PW12,G177
PW26,G157
PW42,G203
PW40,G221
PW24,G195
PW6,G328
PW31,G62
PW16,G221
PW34,G148
PW35,G74
PW1,G378
PW24,G83
PW20,G46
PW48,G110
PW7,G170
PW11,G277
PW41,G51
PW48,G383
PW7,G291
PW36,G262
PW2,G127
PW40,G221
PW28,G14
PW44,G15
PW43,G209
PW37,G340
PW29,G397
PW13,G14
PW47,G299
PW19,G47
PW13,G192
PW27,G144
PW16,G399
PW14,G287
PW0,G336
PW19,G244
PW49,G341
PW42,G363
PW42,G267
PW19,G33
PW32,G119
PW21,G246
PW19,G23
PW25,G145
PW20,G76
PW44,G228
PW42,G285
PW14,G307
PW8,G103
PW13,G297
PW4,G192
