pathway_id,gene
PW26,G396
PW15,G315
PW32,G83
PW22,G191
PW41,G189
PW17,G294
PW33,G58
PW18,G331
PW19,G323
PW12,G12
PW28,G373
PW44,G310
PW13,G295
PW18,G373
PW14,G209
PW19,G4
PW4,G298
PW2,G96
PW25,G159
PW30,G374
PW3,G399
PW21,G158
PW45,G128
PW24,G326
PW24,G12
PW20,G24
PW4,G146
PW39,G349
PW25,G169
PW17,G11
PW8,G253
PW34,G271
PW39,G40
PW29,G313
PW11,G87
PW10,G263
PW27,G164
PW19,G362
PW42,G368
PW20,G128
PW16,G299
PW14,G125
PW44,G318
PW6,G366
PW23,G144
PW30,G282
PW40,G255
PW25,G62
PW29,G163
PW40,G214
PW46,G157
PW23,G253
PW49,G299
PW7,G96
PW43,G188
PW45,G251
PW11,G394
PW15,G208
PW45,G120
PW36,G66
PW46,G230
PW39,G122
PW20,G252
PW38,G18
PW15,G17
PW46,G273
PW8,G193
PW4,G142
PW36,G93
PW28,G13
PW0,G211
PW34,G160
PW33,G130
PW30,G360
PW30,G139
PW30,G196
PW18,G90
PW27,G367
PW31,G296
PW37,G66
PW37,G49
PW26,G216
PW6,G30
PW12,G125
PW35,G152
PW0,G145
PW17,G343
PW44,G368
PW36,G158
PW47,G148
PW8,G58
PW46,G381
PW30,G378
PW19,G295
PW24,G163
PW33,G83
PW3,G244
PW14,G107
PW29,G245
PW1,G6
PW45,G395
PW45,G208
PW32,G47
PW17,G141
PW25,G18
PW48,G248
PW22,G91
PW36,G95
PW11,G176
PW13,G244
PW2,G24
PW18,G165
PW28,G53
PW10,G377
PW44,G180
PW20,G163
PW15,G295
PW13,G315
PW26,G126
PW12,G131
PW11,G359
PW9,G355
PW13,G192
PW41,G225
PW33,G374
PW30,G8
PW22,G250
PW9,G64
PW38,G195
PW4,G363
PW20,G66
PW22,G361
PW35,G168
PW44,G397
PW38,G193
PW5,G141
PW8,G141
PW37,G333
PW23,G318
PW2,G308
PW17,G67
PW40,G172
PW14,G166
PW3,G84
PW9,G320
PW48,G287
PW49,G27
PW49,G227
PW29,G331
PW48,G150
PW43,G84
PW48,G384
