pathway_id,gene
PW41,G207
PW27,G119
PW15,G295
PW40,G399
PW31,G24
PW38,G102
PW41,G187
PW4,G146
PW18,G378
PW23,G342
PW44,G371
PW30,G362
PW21,G110
PW8,G326
PW20,G246
PW6,G141
PW11,G361
PW4,G378
PW37,G32
PW3,G312
PW36,G66
PW37,G267
PW33,G262
PW48,G257
PW43,G326
PW17,G166
PW25,G152
PW14,G373
PW47,G124
PW45,G1
PW13,G10
PW48,G171
PW27,G69
PW8,G75
PW35,G120
PW13,G341
PW41,G368
PW3,G159
PW11,G165
PW26,G105
PW3,G245
PW28,G39
PW17,G193
PW9,G275
PW1,G267
PW26,G31
PW34,G235
PW18,G281
PW1,G180
PW32,G52
PW27,G238
PW0,G339
PW45,G367
PW39,G90
PW26,G244
PW31,G287
PW16,G71
PW4,G304
PW20,G340
PW36,G160
PW17,G222
PW18,G99
PW40,G135
PW5,G63
PW37,G285
PW29,G64
PW11,G222
PW42,G200
PW22,G19
PW18,G176
PW17,G182
PW26,G303
PW37,G25
PW25,G102
PW38,G56
PW11,G271
PW20,G347
PW11,G301
PW37,G321
PW3,G95
PW46,G334
PW34,G93
PW20,G291
PW16,G103
PW28,G354
PW19,G249
PW23,G254
PW44,G134
PW3,G188
PW8,G24
PW19,G257
PW41,G290
PW15,G383
PW3,G220
PW48,G351
PW44,G172
PW30,G294
PW16,G85
PW19,G49
PW48,G46
PW33,G369
PW8,G377
PW38,G233
PW6,G398
PW44,G74
PW9,G59
PW44,G223
PW19,G227
PW31,G166
PW14,G132
PW1,G334
PW11,G271
PW6,G270
PW34,G168
PW20,G283
PW46,G145
PW29,G168
PW33,G38
PW37,G353
PW38,G154
PW29,G296
PW31,G247
PW27,G103
PW33,G290
PW24,G367
PW36,G362
PW9,G255
PW11,G70
PW33,G360
PW44,G343
PW29,G329
PW3,G44
PW5,G133
PW2,G96
PW30,G316
PW44,G295
PW33,G126
PW48,G156
PW9,G390
PW43,G385
PW26,G342
PW45,G334
PW46,G28
PW6,G290
PW16,G83
PW7,G220
PW22,G65
PW49,G6
PW38,G278
PW30,G65
PW7,G67
PW8,G328
PW48,G370
PW22,G157
PW7,G66
PW32,G17
PW22,G212
PW33,G133
PW21,G125
PW23,G396
PW26,G279
PW38,G189
PW45,G52
PW48,G42
PW31,G153
PW30,G47
PW37,G47
PW48,G137
PW15,G14
PW35,G338
PW4,G17
PW34,G33
PW49,G266
PW5,G154
PW10,G270
PW1,G75
PW38,G355
PW23,G122
PW38,G51
PW32,G192
PW29,G89
PW2,G144
PW43,G259
PW2,G180
PW5,G250
PW48,G348
PW15,G47
PW38,G51
PW12,G24
PW13,G367
PW10,G242
PW17,G67
PW25,G88
PW4,G214
PW9,G396
PW26,G378
PW42,G145
PW43,G209
PW36,G320
PW20,G271
PW48,G244
PW42,G334
